"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","123,426.72","125,116.12","126,177.69","122,087.10","751.03M","-1.09%"
"Apr 29, 2020","124,790.26","124,373.76","125,072.24","123,328.70","424.13M","1.05%"
"Apr 28, 2020","123,490.69","125,328.39","126,053.46","123,490.69","617.37M","-1.21%"
"Apr 27, 2020","125,004.33","122,309.00","125,084.55","122,297.00","824.14M","3.79%"
"Apr 24, 2020","120,439.10","119,668.35","121,742.47","118,742.68","566.24M","0.82%"
"Apr 22, 2020","119,463.39","120,773.57","121,640.58","119,463.39","570.60M","-0.43%"
"Apr 21, 2020","119,979.84","121,402.87","121,826.52","119,741.98","413.48M","-2.00%"
"Apr 20, 2020","122,429.76","122,679.22","123,757.12","121,593.59","561.25M","0.15%"
"Apr 17, 2020","122,240.91","123,280.52","124,217.54","121,630.03","675.81M","2.24%"
"Apr 16, 2020","119,568.53","120,180.58","120,874.65","118,316.17","567.78M","0.25%"
"Apr 15, 2020","119,269.67","125,644.11","125,644.11","119,269.67","783.17M","-4.93%"
"Apr 14, 2020","125,460.64","126,151.29","126,605.54","124,563.24","760.35M","1.00%"
"Apr 13, 2020","124,220.66","123,102.85","126,648.12","122,830.36","686.03M","-1.59%"
"Apr 10, 2020","126,228.63","124,491.72","129,159.48","122,846.80","931.22M","1.44%"
"Apr 09, 2020","124,435.28","118,463.09","124,435.28","117,449.74","1.24B","6.61%"
"Apr 08, 2020","116,718.15","115,755.30","116,718.15","115,074.57","437.06M","0.72%"
"Apr 07, 2020","115,889.24","117,710.72","119,127.94","115,889.24","892.09M","0.03%"
"Apr 06, 2020","115,848.78","114,802.52","115,994.14","113,388.85","531.65M","3.15%"
"Apr 03, 2020","112,308.09","113,281.18","113,294.42","111,749.93","351.40M","-0.88%"
"Apr 02, 2020","113,301.57","115,981.61","116,423.31","112,348.71","443.60M","-1.19%"
"Apr 01, 2020","114,671.55","115,255.47","117,073.81","114,108.18","582.71M","-2.46%"
"Mar 31, 2020","117,559.87","117,821.70","119,227.83","116,736.28","551.19M","1.44%"
"Mar 30, 2020","115,885.54","114,951.40","117,290.96","114,015.11","386.54M","0.56%"
"Mar 27, 2020","115,235.62","118,531.52","119,375.82","114,705.84","565.87M","-2.63%"
"Mar 26, 2020","118,343.79","113,691.31","118,868.05","113,185.72","767.12M","3.64%"
"Mar 25, 2020","114,188.38","118,032.34","120,221.18","113,791.73","777.60M","-1.64%"
"Mar 24, 2020","116,087.82","112,493.56","116,788.95","111,661.94","668.40M","7.84%"
"Mar 23, 2020","107,643.39","109,335.20","112,819.00","105,551.21","690.13M","-5.85%"
"Mar 20, 2020","114,334.39","118,728.55","119,194.97","113,580.97","523.22M","-1.07%"
"Mar 19, 2020","115,574.62","118,843.22","121,441.82","114,654.09","625.53M","-3.25%"
"Mar 18, 2020","119,460.83","120,419.11","125,891.58","119,460.83","538.61M","-3.59%"
"Mar 17, 2020","123,905.38","122,369.96","123,905.38","114,897.45","714.65M","2.39%"
"Mar 16, 2020","121,015.96","124,828.95","126,608.05","119,404.94","446.35M","-8.30%"
"Mar 13, 2020","131,975.67","127,711.28","136,529.34","125,744.78","599.83M","3.70%"
"Mar 12, 2020","127,261.89","134,617.89","134,991.97","126,941.24","403.29M","-8.06%"
"Mar 11, 2020","138,425.59","137,424.09","139,985.36","134,963.19","456.82M","0.55%"
"Mar 10, 2020","137,662.66","141,994.81","144,590.13","137,662.66","547.54M","-0.62%"
"Mar 09, 2020","138,528.20","143,705.73","143,959.19","138,500.13","432.48M","-6.46%"
"Mar 06, 2020","148,087.75","150,913.70","152,381.22","145,958.52","415.74M","-2.61%"
"Mar 05, 2020","152,051.09","155,575.05","155,995.75","151,873.59","413.04M","-0.43%"
"Mar 04, 2020","152,709.09","150,231.39","155,893.00","149,806.05","584.78M","1.12%"
"Mar 03, 2020","151,011.09","145,101.47","151,011.09","145,020.59","544.77M","6.06%"
"Mar 02, 2020","142,388.09","144,565.94","145,299.16","141,208.80","421.86M","1.76%"
"Feb 28, 2020","139,920.64","131,270.45","144,353.80","131,270.45","480.30M","-6.35%"
"Feb 27, 2020","149,400.34","154,547.41","155,512.55","149,400.34","485.38M","-4.62%"
"Feb 26, 2020","156,639.19","154,990.66","157,091.66","153,713.88","522.49M","0.92%"
"Feb 25, 2020","155,204.59","157,904.44","158,251.63","154,748.20","406.40M","-0.76%"
"Feb 24, 2020","156,392.89","156,465.63","156,794.95","154,660.80","368.99M","-2.61%"
"Feb 21, 2020","160,581.42","158,186.69","162,756.06","157,176.94","635.90M","0.66%"
"Feb 20, 2020","159,522.00","166,448.36","166,539.05","158,241.92","720.41M","-4.22%"
"Feb 19, 2020","166,552.94","169,439.47","170,172.13","165,713.61","439.44M","-1.50%"
"Feb 18, 2020","169,089.05","169,800.73","170,419.39","168,054.05","471.64M","-0.86%"
"Feb 17, 2020","170,548.41","171,806.17","172,029.81","170,548.41","410.43M","0.27%"
"Feb 14, 2020","170,082.06","172,387.08","173,773.38","170,082.06","473.71M","-0.75%"
"Feb 13, 2020","171,360.31","170,760.30","172,013.02","169,425.94","506.87M","0.04%"
"Feb 12, 2020","171,289.83","174,445.58","175,994.64","171,289.83","739.97M","-1.75%"
"Feb 11, 2020","174,334.06","174,939.59","174,939.59","169,654.66","707.10M","0.64%"
"Feb 10, 2020","173,231.53","175,128.41","176,645.30","170,602.67","589.36M","-1.86%"
"Feb 07, 2020","176,517.13","180,646.44","181,094.84","176,210.66","446.03M","-2.06%"
"Feb 06, 2020","180,224.16","180,840.58","183,478.67","179,195.92","643.84M","-0.01%"
"Feb 05, 2020","180,241.42","180,295.80","182,919.66","179,648.48","605.06M","0.09%"
"Feb 04, 2020","180,072.70","176,556.58","180,563.06","176,244.56","508.23M","3.58%"
"Feb 03, 2020","173,855.34","174,147.41","174,288.81","172,705.91","383.25M","0.22%"
