"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","218,686.48","220,244.56","220,666.19","215,364.53","224.44M","-1.55%"
"Apr 29, 2020","222,121.98","216,464.06","222,121.98","216,291.91","279.75M","3.17%"
"Apr 28, 2020","215,305.91","219,078.05","219,209.31","215,305.91","268.44M","-1.44%"
"Apr 27, 2020","218,441.94","216,958.84","219,743.44","216,665.64","213.34M","1.70%"
"Apr 24, 2020","214,795.20","216,778.52","217,525.73","214,171.78","153.05M","-1.13%"
"Apr 22, 2020","217,244.19","219,167.02","219,673.95","216,711.81","155.75M","-0.90%"
"Apr 21, 2020","219,227.66","221,074.52","221,304.45","217,245.55","206.54M","-1.56%"
"Apr 20, 2020","222,697.98","219,651.36","222,697.98","218,480.73","296.49M","2.28%"
"Apr 17, 2020","217,733.08","215,482.84","218,210.92","214,292.31","259.08M","2.68%"
"Apr 16, 2020","212,049.58","211,861.39","214,825.86","210,313.64","207.38M","0.93%"
"Apr 15, 2020","210,090.56","211,247.38","213,313.00","204,749.38","345.66M","-0.37%"
"Apr 14, 2020","210,870.30","207,743.45","211,187.11","207,689.31","305.65M","2.50%"
"Apr 13, 2020","205,729.69","203,193.27","208,966.27","202,680.91","279.02M","0.37%"
"Apr 10, 2020","204,973.84","205,215.77","206,322.06","203,384.55","243.32M","0.31%"
"Apr 09, 2020","204,349.05","202,750.91","205,211.53","201,683.27","220.98M","1.73%"
"Apr 08, 2020","200,872.17","204,239.59","204,929.98","199,693.66","168.57M","-1.66%"
"Apr 07, 2020","204,266.94","208,467.81","210,984.17","204,056.03","281.55M","-0.88%"
"Apr 06, 2020","206,079.69","203,145.95","206,737.52","202,292.53","222.96M","2.63%"
"Apr 03, 2020","200,801.91","199,845.27","201,047.77","198,155.23","165.19M","0.05%"
"Apr 02, 2020","200,702.77","202,942.41","203,770.55","198,366.91","207.22M","-0.58%"
"Apr 01, 2020","201,883.05","194,130.64","202,999.25","193,820.34","405.16M","2.33%"
"Mar 31, 2020","197,289.00","196,639.45","199,701.16","195,201.98","181.72M","1.11%"
"Mar 30, 2020","195,127.05","190,922.91","197,733.36","187,329.95","157.85M","1.46%"
"Mar 27, 2020","192,318.14","199,684.19","200,580.23","192,318.14","207.14M","-3.58%"
"Mar 26, 2020","199,453.08","198,093.70","200,541.09","194,664.55","266.13M","0.18%"
"Mar 25, 2020","199,089.27","207,410.98","211,479.61","198,423.88","265.60M","-2.79%"
"Mar 24, 2020","204,796.53","199,502.94","205,764.45","198,027.75","217.11M","5.86%"
"Mar 23, 2020","193,468.84","192,560.66","197,278.48","188,462.89","156.02M","-3.57%"
"Mar 20, 2020","200,627.55","199,166.20","202,132.42","191,108.81","139.68M","2.19%"
"Mar 19, 2020","196,323.56","190,006.25","196,323.56","189,350.48","151.46M","1.72%"
"Mar 18, 2020","193,006.91","184,995.47","194,832.13","184,221.11","150.66M","1.19%"
"Mar 17, 2020","190,729.64","194,003.48","195,987.48","175,659.69","235.53M","-1.34%"
"Mar 16, 2020","193,319.77","203,119.27","203,119.27","188,655.34","170.54M","-7.30%"
"Mar 13, 2020","208,551.11","206,723.88","218,418.66","201,525.58","390.07M","0.31%"
"Mar 12, 2020","207,901.80","212,707.53","212,707.53","202,207.14","235.08M","-5.38%"
"Mar 11, 2020","219,729.27","225,451.80","228,782.05","213,615.81","318.83M","-3.04%"
"Mar 10, 2020","226,623.80","232,531.34","237,580.31","223,783.53","243.00M","-0.34%"
"Mar 09, 2020","227,403.00","234,690.25","235,097.48","219,660.25","225.54M","-5.20%"
"Mar 06, 2020","239,873.67","239,500.77","246,812.70","237,010.56","216.45M","0.74%"
"Mar 05, 2020","238,103.34","232,321.95","238,423.48","232,024.83","180.00M","3.73%"
"Mar 04, 2020","229,548.20","235,219.52","237,329.53","229,548.20","251.55M","-2.45%"
"Mar 03, 2020","235,306.30","231,941.31","235,306.30","230,877.69","239.49M","2.98%"
"Mar 02, 2020","228,490.14","231,725.88","234,079.17","225,626.73","208.33M","1.25%"
"Feb 28, 2020","225,675.84","202,273.02","231,093.84","202,273.02","253.69M","-3.71%"
"Feb 27, 2020","234,368.95","241,917.52","244,358.69","234,368.95","547.65M","-4.47%"
"Feb 26, 2020","245,340.41","238,249.69","246,112.70","235,844.66","387.55M","2.71%"
"Feb 25, 2020","238,859.55","240,030.55","241,993.84","236,850.92","440.20M","0.17%"
"Feb 24, 2020","238,459.14","240,484.63","240,484.63","234,062.77","441.66M","-2.40%"
"Feb 21, 2020","244,333.34","237,294.98","245,244.05","234,680.97","416.36M","1.97%"
"Feb 20, 2020","239,610.86","242,241.09","243,686.98","235,453.02","528.36M","-1.24%"
"Feb 19, 2020","242,615.34","247,395.89","247,464.73","241,421.02","430.28M","-1.58%"
"Feb 18, 2020","246,520.42","248,287.13","248,287.13","244,959.66","377.46M","-1.25%"
"Feb 17, 2020","249,647.97","251,383.39","251,789.61","248,781.41","274.90M","-0.09%"
"Feb 14, 2020","249,864.31","250,659.94","252,715.16","248,532.98","300.90M","-0.10%"
"Feb 13, 2020","250,102.94","251,224.45","252,573.73","249,210.81","206.58M","-0.52%"
"Feb 12, 2020","251,414.48","250,727.16","254,804.00","248,309.64","358.58M","-0.91%"
"Feb 11, 2020","253,730.95","251,756.06","254,403.31","248,346.56","268.34M","1.89%"
"Feb 10, 2020","249,032.02","253,544.06","255,562.33","244,503.95","413.53M","-2.35%"
"Feb 07, 2020","255,013.59","258,242.63","259,329.45","253,692.66","300.93M","-1.26%"
"Feb 06, 2020","258,269.44","261,201.94","262,591.53","258,238.23","496.34M","-0.30%"
"Feb 05, 2020","259,049.34","260,639.19","263,698.25","258,157.17","329.94M","-0.04%"
"Feb 04, 2020","259,165.20","255,691.45","259,201.30","254,949.69","299.04M","2.62%"
"Feb 03, 2020","252,552.80","254,295.25","255,039.47","250,841.59","181.59M","-0.87%"
