"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","107,946.00","108,451.38","109,433.74","105,957.06","258.45M","0.59%"
"Apr 29, 2020","107,312.64","105,503.23","107,646.10","104,870.93","308.95M","2.60%"
"Apr 28, 2020","104,590.84","105,005.91","105,509.84","104,039.30","197.36M","0.03%"
"Apr 27, 2020","104,562.70","104,510.13","104,862.57","103,952.19","185.64M","10,067.52%"
"Apr 24, 2020","1,028.40","1,025.80","1,038.76","1,025.80","229.25M","-98.99%"
"Apr 22, 2020","101,589.76","100,461.96","102,847.55","100,459.92","221.44M","1.65%"
"Apr 21, 2020","99,938.44","99,671.08","100,440.20","98,834.50","155.02M","-0.69%"
"Apr 20, 2020","100,634.18","100,542.73","101,160.11","99,746.45","144.22M","0.59%"
"Apr 17, 2020","100,039.65","99,929.73","100,870.33","99,599.69","160.75M","1.87%"
"Apr 16, 2020","98,206.10","98,236.22","99,049.20","96,440.26","173.12M","0.39%"
"Apr 15, 2020","97,824.82","101,531.70","101,555.22","96,896.36","184.89M","-3.21%"
"Apr 14, 2020","101,065.58","100,957.71","101,471.27","100,533.65","281.93M","1.17%"
"Apr 13, 2020","99,894.56","101,139.90","101,435.39","99,894.56","138.12M","-1.51%"
"Apr 10, 2020","101,423.53","102,387.74","102,387.74","100,404.06","215.01M","-0.83%"
"Apr 09, 2020","102,275.54","101,265.01","102,845.19","100,721.32","182.11M","2.58%"
"Apr 08, 2020","99,704.31","99,346.79","100,701.58","97,767.51","176.00M","0.70%"
"Apr 07, 2020","99,009.53","98,143.51","102,342.05","97,870.78","354.78M","1.81%"
"Apr 06, 2020","97,253.70","96,478.30","97,673.28","96,230.16","263.19M","1.91%"
"Apr 03, 2020","95,433.99","94,520.31","96,651.03","93,676.63","407.61M","1.25%"
"Apr 02, 2020","94,252.37","93,763.04","94,967.31","91,272.74","839.17M","3.68%"
"Apr 01, 2020","90,902.76","88,202.86","94,930.21","88,102.94","274.17M","1.91%"
"Mar 31, 2020","89,201.14","88,242.63","89,608.37","88,242.63","149.12M","2.40%"
"Mar 30, 2020","87,106.48","87,305.32","88,039.38","85,478.82","134.83M","-0.22%"
"Mar 27, 2020","87,300.01","90,393.53","91,435.99","87,300.01","168.19M","-2.82%"
"Mar 26, 2020","89,830.86","87,399.40","90,252.29","86,731.89","159.45M","2.86%"
"Mar 25, 2020","87,336.41","86,759.60","88,823.03","84,734.61","217.22M","2.55%"
"Mar 24, 2020","85,168.29","83,108.48","85,411.69","82,787.05","130.80M","6.77%"
"Mar 23, 2020","79,766.78","77,289.00","80,508.38","76,679.76","105.12M","0.18%"
"Mar 20, 2020","79,624.69","79,396.93","80,555.12","78,667.90","123.79M","2.58%"
"Mar 19, 2020","77,625.45","77,541.81","78,663.39","76,773.55","123.15M","-0.66%"
"Mar 18, 2020","78,144.49","79,163.99","81,791.67","77,810.38","99.43M","-3.01%"
"Mar 17, 2020","80,567.17","85,163.85","85,462.03","77,913.13","169.15M","-5.23%"
"Mar 16, 2020","85,013.10","89,652.98","89,652.98","84,839.55","142.12M","-8.07%"
"Mar 13, 2020","92,471.14","89,636.76","94,880.02","88,665.89","201.14M","2.65%"
"Mar 12, 2020","90,082.50","94,212.02","94,280.88","89,228.36","171.43M","-6.43%"
"Mar 11, 2020","96,272.65","97,624.32","98,842.91","95,042.97","141.92M","-1.97%"
"Mar 10, 2020","98,207.55","103,109.00","103,482.07","98,207.55","135.54M","-2.66%"
"Mar 09, 2020","100,892.02","101,362.06","103,313.56","98,846.30","159.48M","-4.32%"
"Mar 06, 2020","105,444.64","109,916.79","110,473.21","105,444.64","111.81M","-4.10%"
"Mar 05, 2020","109,955.57","110,986.78","111,063.72","109,769.06","123.57M","0.17%"
"Mar 04, 2020","109,763.90","111,597.37","112,193.11","109,583.95","151.02M","-1.81%"
"Mar 03, 2020","111,791.37","111,588.99","112,166.06","110,973.32","133.19M","1.61%"
"Mar 02, 2020","110,017.92","111,088.48","112,086.43","109,149.68","101.53M","1.15%"
"Feb 28, 2020","108,766.66","101,864.27","110,155.14","101,386.43","106.13M","-2.33%"
"Feb 27, 2020","111,361.05","116,544.26","116,981.96","111,361.05","149.92M","-5.15%"
"Feb 26, 2020","117,404.18","117,153.00","117,996.88","116,612.57","157.29M","-0.03%"
"Feb 25, 2020","117,436.29","119,215.81","119,443.15","117,357.25","134.44M","-0.68%"
"Feb 24, 2020","118,237.32","116,814.19","118,278.35","116,321.23","146.44M","-0.18%"
"Feb 21, 2020","118,445.28","116,104.62","119,182.23","115,515.50","184.82M","1.36%"
"Feb 20, 2020","116,855.29","119,783.04","119,907.08","115,973.39","212.91M","-2.17%"
"Feb 19, 2020","119,447.74","119,949.88","120,704.52","118,746.61","171.31M","0.23%"
"Feb 18, 2020","119,172.38","120,908.48","120,908.48","118,773.85","190.72M","-1.49%"
"Feb 17, 2020","120,970.98","120,343.61","121,863.24","119,597.44","225.34M","1.19%"
"Feb 14, 2020","119,544.36","120,648.36","121,245.92","119,544.36","220.11M","-0.53%"
"Feb 13, 2020","120,185.78","119,913.52","120,831.92","118,972.87","236.25M","-0.10%"
"Feb 12, 2020","120,308.76","119,296.60","120,726.13","118,521.80","206.87M","0.98%"
"Feb 11, 2020","119,140.03","118,025.79","119,178.44","116,954.91","229.84M","1.80%"
