"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","4,599.04","4,618.55","4,691.99","4,511.43","258.34M","-0.01%"
"Apr 29, 2020","4,599.66","4,507.28","4,615.06","4,494.31","339.55M","2.82%"
"Apr 28, 2020","4,473.40","4,437.03","4,538.19","4,368.04","454.21M","1.78%"
"Apr 27, 2020","4,395.02","4,318.51","4,403.46","4,292.31","235.32M","3.66%"
"Apr 24, 2020","4,239.83","4,099.96","4,295.85","4,096.59","230.48M","3.85%"
"Apr 22, 2020","4,082.82","4,054.26","4,146.33","4,039.35","198.15M","1.45%"
"Apr 21, 2020","4,024.47","4,026.16","4,065.93","3,975.73","377.70M","-0.59%"
"Apr 20, 2020","4,048.21","3,965.70","4,053.70","3,942.62","320.84M","2.79%"
"Apr 17, 2020","3,938.41","3,946.70","3,960.22","3,896.27","143.94M","1.29%"
"Apr 16, 2020","3,888.27","3,859.80","3,888.56","3,774.12","157.24M","1.36%"
"Apr 15, 2020","3,836.09","4,019.04","4,020.38","3,825.80","166.14M","-4.28%"
"Apr 14, 2020","4,007.42","4,000.51","4,030.88","3,981.11","170.71M","1.11%"
"Apr 13, 2020","3,963.56","3,902.54","4,010.74","3,878.93","218.51M","0.82%"
"Apr 10, 2020","3,931.37","3,925.29","3,957.15","3,889.28","156.67M","0.24%"
"Apr 09, 2020","3,922.06","3,926.45","3,939.86","3,860.50","148.38M","1.08%"
"Apr 08, 2020","3,880.07","3,883.57","3,915.89","3,796.14","141.29M","0.17%"
"Apr 07, 2020","3,873.61","3,985.83","4,032.69","3,872.12","231.91M","-1.61%"
"Apr 06, 2020","3,936.95","3,879.76","3,949.34","3,857.60","152.12M","3.31%"
"Apr 03, 2020","3,810.86","3,810.64","3,843.55","3,761.39","125.42M","0.95%"
"Apr 02, 2020","3,775.05","3,788.36","3,815.62","3,691.74","287.71M","1.19%"
"Apr 01, 2020","3,730.63","3,689.23","3,815.75","3,647.32","294.66M","-4.09%"
"Mar 31, 2020","3,889.52","3,749.51","3,901.82","3,740.55","158.47M","5.34%"
"Mar 30, 2020","3,692.41","3,651.01","3,716.17","3,600.36","89.73M","1.47%"
"Mar 27, 2020","3,638.74","3,898.61","3,926.08","3,635.97","216.89M","-6.39%"
"Mar 26, 2020","3,887.09","3,754.94","3,903.62","3,752.16","224.47M","2.97%"
"Mar 25, 2020","3,774.96","3,822.67","3,895.81","3,728.89","223.85M","0.49%"
"Mar 24, 2020","3,756.73","3,713.09","3,757.98","3,654.94","151.46M","6.44%"
"Mar 23, 2020","3,529.29","3,396.40","3,621.57","3,396.40","125.25M","-3.33%"
"Mar 20, 2020","3,650.97","3,689.25","3,716.29","3,620.85","149.36M","1.24%"
"Mar 19, 2020","3,606.42","3,635.72","3,680.32","3,539.95","138.42M","-1.56%"
"Mar 18, 2020","3,663.61","3,570.34","3,724.79","3,540.61","161.54M","0.27%"
"Mar 17, 2020","3,653.65","3,782.88","3,798.20","3,516.50","170.41M","-3.16%"
"Mar 16, 2020","3,772.72","3,824.36","3,863.52","3,680.12","116.18M","-4.73%"
"Mar 13, 2020","3,959.93","3,795.30","4,038.23","3,674.00","318.73M","4.98%"
"Mar 12, 2020","3,772.00","4,003.78","4,011.72","3,702.87","206.61M","-9.49%"
"Mar 11, 2020","4,167.47","4,344.26","4,427.32","4,092.64","243.84M","-5.42%"
