"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","109,690.89","110,969.29","111,636.62","108,026.08","1.95B","-0.58%"
"Apr 29, 2020","110,327.04","109,827.55","110,585.48","109,216.47","1.65B","1.10%"
"Apr 28, 2020","109,130.38","110,983.17","111,151.03","109,130.38","1.89B","-1.14%"
"Apr 27, 2020","110,391.46","108,553.90","110,431.93","108,553.90","2.13B","3.22%"
"Apr 24, 2020","106,952.83","106,152.11","107,842.87","105,425.87","1.67B","0.87%"
"Apr 22, 2020","106,026.98","106,467.03","107,367.06","106,026.98","1.77B","0.15%"
"Apr 21, 2020","105,865.85","106,703.95","106,831.18","105,440.44","1.77B","-1.43%"
"Apr 20, 2020","107,406.05","107,607.66","108,345.22","106,629.31","1.76B","0.31%"
"Apr 17, 2020","107,076.45","107,577.27","108,278.16","106,535.73","2.08B","2.21%"
"Apr 16, 2020","104,756.49","105,314.71","105,766.83","103,389.44","1.89B","0.38%"
"Apr 15, 2020","104,360.67","109,743.07","109,789.58","104,360.67","2.19B","-4.55%"
"Apr 14, 2020","109,335.65","108,740.73","109,576.42","108,113.83","1.99B","1.91%"
"Apr 13, 2020","107,285.68","105,937.33","108,757.52","105,667.97","1.75B","-0.49%"
"Apr 10, 2020","107,808.93","106,579.24","109,460.12","105,433.31","2.03B","1.34%"
"Apr 09, 2020","106,383.88","103,022.70","106,383.88","102,341.45","2.66B","4.60%"
"Apr 08, 2020","101,708.04","101,030.64","101,708.04","100,201.41","1.45B","0.72%"
"Apr 07, 2020","100,977.14","102,309.52","103,980.41","100,977.14","2.27B","0.06%"
"Apr 06, 2020","100,919.41","99,597.14","100,919.41","98,852.32","1.42B","3.32%"
"Apr 03, 2020","97,679.17","98,038.60","98,224.94","97,148.58","1.06B","-0.24%"
"Apr 02, 2020","97,918.23","99,624.47","99,847.60","96,782.50","1.48B","-0.45%"
"Apr 01, 2020","98,360.31","98,100.43","100,384.13","97,752.67","2.19B","-1.82%"
"Mar 31, 2020","100,183.63","99,463.25","100,759.37","98,979.87","1.82B","2.27%"
"Mar 30, 2020","97,958.54","97,771.44","99,012.03","96,737.99","1.28B","0.05%"
"Mar 27, 2020","97,908.35","101,406.09","101,974.63","97,872.47","1.77B","-3.02%"
"Mar 26, 2020","100,953.05","97,145.97","101,502.20","96,817.96","1.95B","3.61%"
"Mar 25, 2020","97,436.35","99,538.08","101,307.46","96,816.82","1.96B","-0.58%"
"Mar 24, 2020","98,004.68","95,380.89","98,317.94","94,737.19","1.50B","7.22%"
"Mar 23, 2020","91,401.98","91,935.81","95,143.94","89,389.93","1.49B","-4.42%"
"Mar 20, 2020","95,628.96","98,412.08","99,067.07","95,400.56","1.31B","-0.45%"
"Mar 19, 2020","96,065.06","96,823.21","98,986.77","94,889.73","1.46B","-1.41%"
"Mar 18, 2020","97,438.47","97,705.87","101,856.97","97,066.68","1.27B","-2.82%"
"Mar 17, 2020","100,270.97","100,795.43","101,096.49","93,799.00","1.55B","0.24%"
"Mar 16, 2020","100,030.71","103,671.00","104,378.98","98,821.92","1.06B","-8.26%"
"Mar 13, 2020","109,032.68","105,199.48","111,833.37","103,655.04","1.63B","3.82%"
"Mar 12, 2020","105,019.51","110,806.27","110,969.96","104,448.08","1.32B","-7.94%"
"Mar 11, 2020","114,074.13","114,803.07","116,582.49","111,394.74","1.46B","-1.01%"
"Mar 10, 2020","115,233.66","120,307.04","121,703.43","115,233.66","1.43B","-1.80%"
"Mar 09, 2020","117,348.49","121,210.19","121,536.87","116,257.16","1.15B","-6.06%"
"Mar 06, 2020","124,913.36","127,695.21","128,569.47","123,745.74","1.01B","-2.67%"
"Mar 05, 2020","128,338.39","130,722.20","131,374.45","128,338.39","1.08B","-0.19%"
"Mar 04, 2020","128,578.75","127,956.87","131,201.44","127,567.29","1.60B","0.18%"
"Mar 03, 2020","128,349.32","124,734.64","128,349.32","124,734.64","1.48B","4.77%"
"Mar 02, 2020","122,500.97","123,214.33","124,530.36","121,276.33","1.12B","2.32%"
"Feb 28, 2020","119,726.21","112,723.71","123,153.30","112,723.71","1.36B","-5.76%"
"Feb 27, 2020","127,043.35","131,770.94","132,392.02","127,043.35","1.67B","-4.68%"
"Feb 26, 2020","133,282.84","131,871.33","133,662.59","130,846.35","1.47B","0.77%"
"Feb 25, 2020","132,260.44","134,134.80","134,674.91","131,735.53","1.39B","-0.49%"
"Feb 24, 2020","132,909.66","133,019.73","133,186.41","131,460.64","1.17B","-2.14%"
"Feb 21, 2020","135,817.78","133,543.23","136,788.47","132,696.53","1.96B","0.92%"
"Feb 20, 2020","134,574.22","140,633.30","140,633.30","133,995.25","2.25B","-4.25%"
"Feb 19, 2020","140,552.03","142,679.09","143,172.38","140,006.38","1.69B","-1.25%"
"Feb 18, 2020","142,336.95","143,241.41","143,534.08","141,781.88","2.22B","-1.08%"
"Feb 17, 2020","143,884.72","144,623.48","144,809.30","143,758.56","1.62B","0.29%"
"Feb 14, 2020","143,468.44","144,755.89","145,611.81","143,398.95","1.82B","-0.24%"
"Feb 13, 2020","143,815.06","143,247.56","144,095.81","142,425.89","1.79B","0.22%"
"Feb 12, 2020","143,504.31","145,248.95","146,145.23","143,504.31","2.11B","-1.09%"
"Feb 11, 2020","145,080.59","145,020.88","145,377.81","141,564.94","1.99B","1.08%"
"Feb 10, 2020","143,528.41","146,138.55","147,357.00","141,203.25","2.14B","-2.29%"
"Feb 07, 2020","146,891.41","149,526.23","149,901.61","146,743.69","1.63B","-1.42%"
"Feb 06, 2020","149,004.63","150,732.66","151,426.02","148,495.36","1.84B","0.12%"
"Feb 05, 2020","148,827.28","149,037.94","150,907.92","148,648.28","2.24B","0.13%"
"Feb 04, 2020","148,633.97","146,082.28","148,831.06","145,813.30","2.00B","3.03%"
"Feb 03, 2020","144,263.34","144,373.80","144,600.94","143,520.05","1.52B","0.32%"
"Jan 31, 2020","143,801.81","144,725.03","145,132.27","143,784.56","1.76B","-0.52%"
"Jan 30, 2020","144,555.48","143,246.88","144,682.48","142,258.28","1.41B","0.34%"
"Jan 29, 2020","144,061.25","146,230.80","146,410.25","144,061.25","1.65B","-0.77%"
"Jan 28, 2020","145,175.84","146,696.33","147,116.22","144,861.44","1.86B","-0.38%"
"Jan 27, 2020","145,730.11","145,593.92","147,566.56","145,593.92","2.08B","-1.61%"
"Jan 24, 2020","148,117.44","149,759.78","150,115.52","145,780.48","2.08B","-0.04%"
"Jan 23, 2020","148,171.70","147,978.55","149,830.73","147,738.25","2.03B","-0.10%"
"Jan 22, 2020","148,327.30","151,176.61","151,616.59","148,266.95","2.25B","-1.07%"
"Jan 21, 2020","149,935.53","147,391.56","150,582.44","146,979.63","2.32B","1.07%"
