"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","144,240.75","149,785.69","149,905.95","141,810.44","249.44M","-2.27%"
"Apr 29, 2020","147,597.58","146,714.38","148,471.06","146,539.64","220.97M","1.94%"
"Apr 28, 2020","144,789.89","145,860.31","147,340.42","144,763.52","220.07M","0.45%"
"Apr 27, 2020","144,141.80","144,195.31","144,875.36","143,653.69","201.97M","10,074.41%"
"Apr 24, 2020","1,416.71","1,400.03","1,427.64","1,398.97","247.19M","-98.98%"
"Apr 22, 2020","139,004.89","137,037.48","140,102.25","136,788.95","169.40M","2.27%"
"Apr 21, 2020","135,914.95","137,233.88","138,696.91","135,914.95","183.70M","-1.05%"
"Apr 20, 2020","137,357.53","135,538.67","137,357.53","135,460.63","159.24M","2.10%"
"Apr 17, 2020","134,528.75","137,639.70","137,824.48","133,613.06","143.04M","-1.04%"
"Apr 16, 2020","135,941.80","134,868.94","137,458.31","134,369.45","274.09M","1.93%"
"Apr 15, 2020","133,368.95","132,592.84","133,508.78","125,873.45","362.71M","1.10%"
"Apr 14, 2020","131,921.17","130,742.06","132,262.34","130,477.55","177.37M","2.16%"
"Apr 13, 2020","129,125.69","126,613.73","129,125.69","125,673.03","191.19M","1.64%"
"Apr 10, 2020","127,047.29","126,835.84","127,899.10","126,270.27","91.80M","0.23%"
"Apr 09, 2020","126,759.70","127,324.20","127,559.27","125,692.13","98.28M","0.97%"
"Apr 08, 2020","125,536.89","124,879.90","125,858.70","122,925.01","71.26M","0.94%"
"Apr 07, 2020","124,372.78","125,354.41","128,694.70","123,684.31","131.09M","0.15%"
"Apr 06, 2020","124,189.54","122,342.97","124,866.21","122,260.81","96.81M","2.71%"
"Apr 03, 2020","120,910.48","121,134.43","121,241.86","119,686.39","107.49M","0.04%"
"Apr 02, 2020","120,859.09","121,010.01","122,194.83","118,421.65","82.35M","0.46%"
"Apr 01, 2020","120,305.64","118,979.28","121,182.44","118,285.55","152.07M","0.65%"
"Mar 31, 2020","119,526.40","119,149.31","120,827.48","118,079.92","135.12M","1.71%"
"Mar 30, 2020","117,520.36","117,013.62","118,097.54","116,194.84","126.40M","0.43%"
"Mar 27, 2020","117,022.57","122,984.49","123,951.93","116,912.32","121.99M","-4.10%"
"Mar 26, 2020","122,024.66","122,282.05","123,456.35","120,195.77","107.47M","-0.13%"
"Mar 25, 2020","122,186.61","121,228.16","122,757.71","118,073.70","121.41M","2.53%"
"Mar 24, 2020","119,174.71","117,636.58","120,126.59","116,694.19","67.02M","5.18%"
"Mar 23, 2020","113,304.66","110,776.37","118,961.27","109,920.86","97.32M","0.10%"
"Mar 20, 2020","113,196.35","114,636.42","114,858.64","111,628.24","63.78M","2.72%"
"Mar 19, 2020","110,198.64","106,262.28","111,485.73","105,284.67","74.88M","2.68%"
"Mar 18, 2020","107,321.47","106,192.39","110,648.61","105,540.64","64.09M","-1.08%"
"Mar 17, 2020","108,494.73","113,220.08","114,667.22","103,688.75","57.05M","-4.57%"
"Mar 16, 2020","113,688.98","122,710.86","122,710.86","113,583.28","37.44M","-9.09%"
"Mar 13, 2020","125,056.49","121,236.43","128,257.28","117,934.46","96.79M","2.95%"
"Mar 12, 2020","121,476.00","129,915.01","132,570.16","121,414.81","193.12M","-8.41%"
"Mar 11, 2020","132,633.59","131,063.92","139,730.88","129,773.90","197.54M","0.12%"
"Mar 10, 2020","132,476.56","140,138.83","141,937.11","131,999.72","66.44M","-3.26%"
"Mar 09, 2020","136,947.70","141,529.00","143,588.33","132,071.39","56.90M","-6.45%"
"Mar 06, 2020","146,385.48","147,087.47","148,309.52","143,489.30","53.39M","-0.03%"
"Mar 05, 2020","146,436.69","145,604.30","147,883.00","145,604.30","37.62M","1.69%"
"Mar 04, 2020","144,005.44","144,890.05","146,611.81","144,005.44","99.29M","-0.37%"
"Mar 03, 2020","144,545.81","145,640.16","146,003.67","143,828.84","102.16M","1.04%"
"Mar 02, 2020","143,052.55","142,332.83","144,594.27","141,777.91","54.87M","2.13%"
"Feb 28, 2020","140,074.66","136,111.39","143,707.09","132,706.70","57.58M","-6.03%"
"Feb 27, 2020","149,068.86","150,194.72","153,062.77","148,193.22","102.89M","-0.74%"
"Feb 26, 2020","150,178.19","148,154.50","151,017.94","147,953.92","88.32M","0.85%"
"Feb 25, 2020","148,908.83","148,455.33","150,034.48","147,109.00","84.14M","0.98%"
"Feb 24, 2020","147,465.95","148,349.44","148,499.28","145,643.20","78.75M","-1.89%"
"Feb 21, 2020","150,303.97","150,473.44","151,349.33","147,398.16","87.90M","-0.09%"
"Feb 20, 2020","150,435.19","154,471.70","155,400.34","149,029.61","86.09M","-2.38%"
"Feb 19, 2020","154,107.42","154,896.59","155,887.19","153,089.08","100.58M","-0.02%"
"Feb 18, 2020","154,145.55","155,832.98","155,890.52","153,272.98","89.50M","-1.06%"
"Feb 17, 2020","155,800.06","155,799.56","156,437.63","155,368.41","87.29M","0.39%"
"Feb 14, 2020","155,201.72","156,539.34","157,149.73","154,402.63","109.28M","-1.64%"
"Feb 13, 2020","157,784.80","157,953.16","158,262.38","157,154.88","174.53M","0.24%"
"Feb 12, 2020","157,411.56","155,705.58","158,250.66","155,470.19","218.52M","1.38%"
"Feb 11, 2020","155,273.22","156,258.94","156,536.13","153,344.52","100.23M","0.18%"
"Feb 10, 2020","155,001.88","159,989.64","160,587.73","151,757.44","126.24M","-3.09%"
"Feb 07, 2020","159,946.84","160,308.47","160,727.44","159,447.22","96.75M","-0.05%"
"Feb 06, 2020","160,024.27","159,847.64","160,708.34","159,453.31","121.89M","0.49%"
"Feb 05, 2020","159,238.52","159,842.91","161,062.09","158,760.22","83.95M","-0.09%"
"Feb 04, 2020","159,385.66","158,605.63","160,152.94","157,559.34","111.55M","1.12%"
"Feb 03, 2020","157,622.73","155,574.69","158,313.30","154,782.34","93.49M","1.43%"
"Jan 31, 2020","155,407.98","155,594.31","156,009.52","152,249.31","134.02M","0.31%"
"Jan 30, 2020","154,925.34","156,123.63","156,123.63","152,564.02","190.94M","-0.92%"
"Jan 29, 2020","156,370.50","157,519.73","157,558.89","155,151.88","321.04M","-0.32%"
"Jan 28, 2020","156,873.09","160,137.00","160,713.53","156,417.22","253.90M","-1.46%"
"Jan 27, 2020","159,204.69","158,836.98","161,097.09","158,198.63","229.02M","-0.53%"
"Jan 24, 2020","160,053.28","160,976.81","161,960.92","158,593.13","179.37M","-0.17%"
"Jan 23, 2020","160,333.42","158,002.77","160,503.66","157,526.14","374.15M","1.38%"
"Jan 22, 2020","158,145.52","157,408.38","158,429.84","156,853.48","245.30M","0.75%"
"Jan 21, 2020","156,973.44","155,903.23","157,112.33","154,775.02","121.13M","0.53%"
"Jan 20, 2020","156,144.34","155,074.67","156,733.55","154,925.34","280.72M","0.95%"
"Jan 17, 2020","154,677.92","153,647.80","155,030.70","153,226.05","123.89M","0.83%"
"Jan 16, 2020","153,400.06","151,549.23","154,056.97","151,549.23","115.57M","1.68%"
"Jan 15, 2020","150,872.67","150,821.19","151,750.70","148,781.69","122.59M","0.28%"
"Jan 14, 2020","150,453.58","147,564.66","150,453.58","146,145.63","257.36M","2.22%"
"Jan 13, 2020","147,192.39","146,643.20","148,142.55","146,643.20","145.97M","0.85%"
