"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","83,530.33","83,863.87","84,621.94","81,910.77","498.83M","0.26%"
"Apr 29, 2020","83,314.85","82,887.00","83,577.07","82,497.12","569.78M","1.09%"
"Apr 28, 2020","82,418.53","84,062.62","84,112.56","82,418.53","637.11M","-1.21%"
"Apr 27, 2020","83,426.35","82,482.91","83,522.27","82,393.25","655.89M","10,154.42%"
"Apr 24, 2020","813.56","807.93","819.67","800.98","518.70M","-98.99%"
"Apr 22, 2020","80,827.30","80,508.58","81,441.79","80,327.12","620.65M","0.86%"
"Apr 21, 2020","80,140.98","80,611.00","80,611.00","79,572.71","624.33M","-0.99%"
"Apr 20, 2020","80,938.55","81,427.78","81,725.55","80,373.25","516.38M","-0.03%"
"Apr 17, 2020","80,964.26","81,215.83","81,533.73","80,373.20","650.35M","2.04%"
"Apr 16, 2020","79,348.39","79,773.54","80,184.35","78,174.26","817.70M","0.42%"
"Apr 15, 2020","79,014.43","83,116.34","83,225.32","78,600.07","852.45M","-4.24%"
"Apr 14, 2020","82,511.31","80,528.70","82,511.31","80,528.70","678.84M","3.74%"
"Apr 13, 2020","79,533.53","78,063.10","80,212.24","77,694.97","541.26M","0.97%"
"Apr 10, 2020","78,771.06","78,020.44","79,281.96","77,369.29","467.86M","1.30%"
"Apr 09, 2020","77,761.58","76,635.56","77,868.37","76,497.87","725.50M","2.59%"
"Apr 08, 2020","75,800.47","75,460.20","76,071.92","74,739.52","400.14M","0.65%"
"Apr 07, 2020","75,310.11","76,010.34","78,062.64","75,310.11","632.13M","0.38%"
"Apr 06, 2020","75,022.87","73,542.79","75,022.87","73,252.35","469.10M","3.72%"
"Apr 03, 2020","72,331.19","72,121.36","72,743.03","71,634.39","336.40M","0.57%"
"Apr 02, 2020","71,924.36","72,194.34","72,382.28","70,710.07","559.31M","1.06%"
"Apr 01, 2020","71,169.20","70,595.36","72,842.05","70,256.11","791.86M","-1.62%"
"Mar 31, 2020","72,343.61","70,996.77","72,549.61","70,979.01","689.24M","3.19%"
"Mar 30, 2020","70,104.91","70,998.81","71,037.44","69,768.42","532.31M","-1.31%"
