"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","46,626.12","48,308.21","48,325.17","45,303.85","86.23M","-3.59%"
"Apr 29, 2020","48,363.93","47,970.35","50,995.35","47,965.48","111.35M","1.45%"
"Apr 28, 2020","47,671.43","49,288.51","49,426.07","47,308.79","69.89M","-1.48%"
"Apr 27, 2020","48,386.55","47,860.43","49,352.18","47,860.43","61.73M","10,210.35%"
"Apr 24, 2020","469.30","471.22","488.81","460.17","119.46M","-98.99%"
"Apr 22, 2020","46,272.73","43,603.27","46,616.90","43,603.27","152.76M","7.78%"
"Apr 21, 2020","42,932.64","41,471.58","43,042.47","41,357.37","75.39M","4.71%"
"Apr 20, 2020","40,999.80","40,024.92","41,165.62","39,866.06","70.44M","3.43%"
"Apr 17, 2020","39,641.07","39,419.36","39,904.00","38,980.20","52.48M","3.01%"
"Apr 16, 2020","38,481.53","38,348.33","39,053.19","37,281.74","54.36M","0.89%"
"Apr 15, 2020","38,140.78","40,410.76","40,450.88","37,577.19","40.29M","-5.50%"
"Apr 14, 2020","40,360.23","41,130.01","41,233.16","40,107.71","47.52M","0.12%"
"Apr 13, 2020","40,312.05","39,222.91","41,093.32","38,808.92","48.12M","1.10%"
"Apr 10, 2020","39,872.70","39,698.41","40,254.40","38,873.90","76.77M","0.98%"
"Apr 09, 2020","39,487.29","38,425.57","39,633.00","38,425.57","73.41M","4.75%"
"Apr 08, 2020","37,696.54","36,730.88","37,700.84","35,751.27","39.84M","2.93%"
"Apr 07, 2020","36,623.03","37,473.61","38,213.22","36,142.41","56.83M","-0.30%"
"Apr 06, 2020","36,733.12","35,650.79","36,890.15","35,499.04","46.70M","5.54%"
"Apr 03, 2020","34,804.63","35,030.82","35,501.10","34,382.75","46.11M","0.05%"
"Apr 02, 2020","34,786.70","35,058.77","35,464.77","33,697.91","59.07M","-0.22%"
"Apr 01, 2020","34,863.35","35,003.38","36,121.56","34,493.00","42.70M","-2.65%"
"Mar 31, 2020","35,811.82","35,313.21","36,025.87","34,704.72","39.65M","4.62%"
"Mar 30, 2020","34,229.79","34,563.16","34,839.30","33,226.73","35.14M","-1.10%"
"Mar 27, 2020","34,609.31","36,984.20","37,395.92","34,020.54","66.89M","-3.91%"
"Mar 26, 2020","36,017.73","34,061.59","36,229.81","33,927.53","46.98M","6.14%"
"Mar 25, 2020","33,935.60","33,338.68","34,410.94","31,980.42","48.73M","6.93%"
"Mar 24, 2020","31,736.69","30,345.19","31,753.72","30,345.19","26.78M","9.84%"
"Mar 23, 2020","28,894.62","26,078.78","29,292.72","26,051.42","47.51M","5.25%"
"Mar 20, 2020","27,453.20","27,055.83","27,984.21","26,860.38","35.42M","4.24%"
"Mar 19, 2020","26,336.82","25,821.88","26,686.80","25,603.59","31.50M","0.34%"
"Mar 18, 2020","26,247.11","25,917.60","27,476.63","25,453.42","27.83M","-1.57%"
"Mar 17, 2020","26,665.72","27,610.31","27,958.66","25,270.05","25.05M","-3.82%"
"Mar 16, 2020","27,726.18","28,631.62","29,504.93","27,547.74","13.90M","-9.31%"
"Mar 13, 2020","30,572.87","30,527.22","32,888.57","29,050.28","40.66M","-0.62%"
"Mar 12, 2020","30,763.71","33,384.19","33,715.89","30,076.92","28.96M","-14.24%"
"Mar 11, 2020","35,871.81","37,275.68","37,753.20","34,760.93","30.49M","-5.23%"
"Mar 10, 2020","37,852.70","41,877.28","42,099.29","37,852.70","46.86M","-6.91%"
"Mar 09, 2020","40,660.98","42,552.82","42,838.72","39,399.07","21.26M","-7.59%"
"Mar 06, 2020","44,001.08","44,380.88","44,466.35","42,692.51","17.39M","-1.29%"
"Mar 05, 2020","44,576.57","44,726.44","45,090.56","43,988.90","34.70M","1.25%"
"Mar 04, 2020","44,025.05","44,951.66","45,248.03","43,929.55","18.13M","-2.40%"
"Mar 03, 2020","45,109.35","44,144.80","45,109.35","43,766.03","20.15M","3.91%"
"Mar 02, 2020","43,410.73","43,440.75","43,817.77","42,093.08","15.38M","3.99%"
"Feb 28, 2020","41,745.84","35,629.50","42,094.21","35,580.71","17.95M","-4.02%"
"Feb 27, 2020","43,494.13","44,832.26","45,038.62","43,189.39","21.01M","-3.84%"
"Feb 26, 2020","45,233.34","45,225.02","45,802.81","44,393.43","21.13M","-0.37%"
"Feb 25, 2020","45,399.20","44,956.61","45,677.53","44,430.58","26.12M","2.39%"
