"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","12,826.26","12,521.24","12,826.26","12,099.30","103.21M","2.99%"
"Apr 29, 2020","12,454.47","12,715.70","12,802.10","12,350.52","40.72M","-0.69%"
"Apr 28, 2020","12,541.08","12,557.63","12,733.03","12,197.89","50.93M","1.58%"
"Apr 27, 2020","12,345.53","11,733.15","12,385.24","11,733.15","75.99M","10,577.46%"
"Apr 24, 2020","115.62","113.39","117.01","111.32","88.13M","-98.98%"
"Apr 22, 2020","11,285.94","11,248.64","11,524.34","11,189.55","79.51M","1.28%"
"Apr 21, 2020","11,143.85","11,283.50","11,433.93","11,076.57","42.12M","-2.12%"
"Apr 20, 2020","11,384.66","11,351.81","11,613.03","11,228.49","55.91M","2.58%"
"Apr 17, 2020","11,098.86","10,702.09","11,220.57","10,643.86","53.23M","5.23%"
"Apr 16, 2020","10,547.63","10,600.95","10,756.47","10,202.10","44.38M","-0.17%"
"Apr 15, 2020","10,565.90","11,122.51","11,266.84","10,273.24","82.65M","-5.13%"
"Apr 14, 2020","11,137.54","11,261.70","11,445.71","11,137.54","48.67M","0.59%"
"Apr 13, 2020","11,071.69","10,770.39","11,252.30","10,636.78","66.49M","2.01%"
"Apr 10, 2020","10,853.13","10,625.93","10,936.82","10,473.28","79.60M","2.74%"
"Apr 09, 2020","10,563.76","10,441.07","10,665.18","10,316.50","78.73M","2.16%"
"Apr 08, 2020","10,340.67","10,048.51","10,392.79","9,701.69","118.57M","1.75%"
"Apr 07, 2020","10,162.96","10,048.63","10,618.60","9,978.59","101.33M","3.34%"
"Apr 06, 2020","9,834.57","9,396.26","9,915.74","9,371.31","53.75M","7.28%"
"Apr 03, 2020","9,167.61","8,917.16","9,274.75","8,629.69","53.58M","2.11%"
"Apr 02, 2020","8,978.48","9,267.29","9,457.69","8,925.67","61.65M","-1.97%"
"Apr 01, 2020","9,159.01","8,490.45","9,206.30","8,429.60","60.13M","6.29%"
"Mar 31, 2020","8,617.15","8,119.89","8,640.74","8,119.89","51.08M","8.37%"
"Mar 30, 2020","7,951.29","7,674.57","8,062.64","7,456.16","32.05M","3.40%"
"Mar 27, 2020","7,689.68","7,832.47","8,069.31","7,587.07","44.85M","-1.24%"
"Mar 26, 2020","7,786.19","7,316.55","7,796.41","7,228.98","61.99M","6.85%"
"Mar 25, 2020","7,286.91","7,207.03","7,510.47","7,074.75","49.66M","1.01%"
"Mar 24, 2020","7,214.20","7,122.37","7,272.17","6,979.11","27.24M","5.47%"
"Mar 23, 2020","6,840.32","6,913.16","7,010.82","6,700.20","29.91M","-5.64%"
"Mar 20, 2020","7,249.15","7,200.48","7,323.05","7,010.38","20.15M","3.19%"
"Mar 19, 2020","7,025.36","6,981.19","7,290.60","6,887.00","19.43M","-2.64%"
"Mar 18, 2020","7,215.57","7,080.41","7,440.59","7,043.15","19.65M","-2.65%"
"Mar 17, 2020","7,411.85","7,749.82","7,869.94","7,152.16","24.75M","-6.16%"
"Mar 16, 2020","7,897.98","8,298.49","8,461.34","7,886.68","21.62M","-9.57%"
"Mar 13, 2020","8,734.07","8,184.28","8,854.07","7,899.42","36.26M","4.25%"
"Mar 12, 2020","8,377.66","9,352.83","9,352.83","8,302.20","45.22M","-14.57%"
"Mar 11, 2020","9,806.31","10,363.70","10,592.13","9,392.88","58.28M","-7.09%"
"Mar 10, 2020","10,554.96","11,611.63","11,832.71","10,437.03","43.18M","-6.54%"
"Mar 09, 2020","11,294.10","11,913.42","12,239.73","11,021.30","36.20M","-10.43%"
"Mar 06, 2020","12,609.59","12,878.48","13,061.14","12,562.76","31.67M","-2.79%"
"Mar 05, 2020","12,971.51","13,040.14","13,133.23","12,692.58","19.65M","1.05%"
"Mar 04, 2020","12,836.47","13,097.35","13,392.58","12,665.58","57.02M","-2.21%"
"Mar 03, 2020","13,126.77","12,980.88","13,263.42","12,947.01","47.04M","3.16%"
"Mar 02, 2020","12,724.72","12,563.52","12,783.08","12,268.88","45.50M","4.77%"
"Feb 28, 2020","12,145.76","10,745.85","12,435.97","10,745.85","42.51M","-7.11%"
"Feb 27, 2020","13,075.09","13,894.31","14,004.01","12,990.55","48.09M","-6.79%"
"Feb 26, 2020","14,027.86","14,047.20","14,203.98","13,780.89","44.72M","-0.48%"
"Feb 25, 2020","14,096.07","14,319.39","14,449.77","13,856.71","53.91M","0.23%"
"Feb 24, 2020","14,063.53","13,666.43","14,123.74","13,510.40","94.52M","-0.25%"
"Feb 21, 2020","14,098.23","13,442.59","14,098.23","13,100.43","107.08M","4.18%"
"Feb 20, 2020","13,532.33","14,672.84","14,676.80","13,410.07","62.88M","-7.75%"
"Feb 19, 2020","14,669.52","14,793.25","14,948.21","14,441.69","63.78M","0.01%"
"Feb 18, 2020","14,667.55","14,990.13","14,990.13","14,519.30","47.25M","-2.08%"
"Feb 17, 2020","14,979.42","14,887.19","15,191.46","14,664.28","97.58M","1.60%"
"Feb 14, 2020","14,744.23","14,941.59","15,115.59","14,677.64","48.97M","-0.47%"
"Feb 13, 2020","14,814.03","14,721.28","14,924.95","14,591.64","49.99M","0.69%"
"Feb 12, 2020","14,712.42","14,792.34","14,883.59","14,590.07","61.27M","0.11%"
"Feb 11, 2020","14,695.78","14,677.15","14,776.46","14,244.18","80.31M","2.01%"
"Feb 10, 2020","14,406.77","15,140.50","15,489.20","13,786.88","123.80M","-4.39%"
"Feb 07, 2020","15,068.35","15,406.00","15,436.28","15,039.30","87.46M","-2.04%"
"Feb 06, 2020","15,381.44","15,329.47","15,575.24","15,213.24","192.79M","1.94%"
"Feb 05, 2020","15,089.11","14,981.33","15,880.31","14,981.33","477.89M","1.06%"
"Feb 04, 2020","14,931.55","14,098.60","14,946.45","14,019.87","219.45M","7.15%"
"Feb 03, 2020","13,935.78","14,105.20","14,186.36","13,889.14","22.77M","-1.28%"
"Jan 31, 2020","14,116.96","14,133.51","14,252.56","13,924.08","31.32M","0.45%"
"Jan 30, 2020","14,053.98","14,310.79","14,365.56","14,016.77","52.77M","-2.22%"
"Jan 29, 2020","14,373.31","14,407.68","14,634.46","14,252.88","96.86M","0.38%"
"Jan 28, 2020","14,319.36","14,328.72","14,430.20","14,044.94","63.60M","1.37%"
"Jan 27, 2020","14,125.94","13,868.34","14,445.37","13,757.33","58.70M","0.73%"
"Jan 24, 2020","14,023.62","14,234.70","14,293.31","13,821.48","66.09M","-0.36%"
"Jan 23, 2020","14,074.95","13,710.59","14,210.76","13,670.15","34.33M","2.66%"
"Jan 22, 2020","13,710.73","13,887.21","14,066.16","13,507.99","36.06M","-0.59%"
"Jan 21, 2020","13,791.63","13,077.90","13,827.57","12,940.78","34.71M","5.13%"
"Jan 20, 2020","13,118.11","13,142.53","13,396.61","13,045.80","42.52M","0.38%"
"Jan 17, 2020","13,069.03","13,247.48","13,281.66","12,910.83","36.06M","-0.61%"
"Jan 16, 2020","13,149.69","13,531.88","13,684.68","13,149.69","67.70M","-2.19%"
"Jan 15, 2020","13,443.72","13,175.13","13,660.45","12,881.80","189.18M","2.20%"
"Jan 14, 2020","13,153.83","13,308.19","13,358.49","12,846.06","39.41M","-0.79%"
"Jan 13, 2020","13,258.69","13,166.34","13,488.42","13,038.39","45.21M","1.74%"
"Jan 10, 2020","13,031.54","12,315.31","13,233.21","12,314.09","125.03M","6.45%"
"Jan 09, 2020","12,241.56","11,792.54","12,256.06","11,792.54","34.92M","6.46%"
"Jan 08, 2020","11,498.43","11,240.35","11,696.75","11,141.74","33.48M","-1.92%"
"Jan 07, 2020","11,723.55","11,439.87","11,813.22","11,439.87","41.70M","3.82%"
"Jan 06, 2020","11,292.22","11,557.31","11,593.81","11,177.78","30.30M","-3.73%"
"Jan 03, 2020","11,729.26","12,194.16","12,194.16","11,236.23","45.70M","-4.23%"
"Jan 02, 2020","12,246.85","11,920.15","12,307.88","11,920.15","47.93M","3.12%"
"Dec 31, 2019","11,876.33","11,364.84","11,963.61","11,364.84","33.62M","0.91%"
"Dec 30, 2019","11,769.50","11,703.33","11,878.26","11,626.88","20.14M","1.23%"
"Dec 27, 2019","11,626.51","11,529.26","11,833.66","11,429.93","38.64M","1.58%"
"Dec 26, 2019","11,445.44","11,382.95","11,558.82","11,359.10","28.65M","0.91%"
"Dec 25, 2019","11,342.39","11,196.22","11,447.41","11,141.09","40.97M","1.57%"
