"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,800.69","2,865.87","2,884.89","2,787.98","-","-2.27%"
"Apr 29, 2020","2,865.86","2,787.03","2,886.05","2,785.85","-","2.85%"
"Apr 28, 2020","2,786.34","2,762.16","2,833.78","2,754.60","-","0.89%"
"Apr 27, 2020","2,761.84","2,681.06","2,778.88","2,681.06","-","3.15%"
"Apr 24, 2020","2,677.56","2,697.13","2,745.71","2,527.06","-","-0.72%"
"Apr 23, 2020","2,697.10","2,652.52","2,755.72","2,652.52","-","1.71%"
"Apr 22, 2020","2,651.79","2,618.03","2,672.82","2,616.68","-","1.34%"
"Apr 20, 2020","2,616.84","2,675.74","2,677.14","2,607.71","-","-2.32%"
"Apr 17, 2020","2,678.87","2,636.30","2,702.46","2,636.30","-","1.63%"
"Apr 16, 2020","2,636.00","2,654.17","2,698.63","2,591.37","-","-0.56%"
"Apr 15, 2020","2,650.85","2,713.08","2,713.08","2,616.35","-","-2.31%"
"Apr 14, 2020","2,713.66","2,618.70","2,737.77","2,618.70","-","3.63%"
"Apr 13, 2020","2,618.67","2,544.40","2,623.63","2,529.24","-","2.90%"
"Apr 09, 2020","2,544.79","2,622.59","2,669.62","2,530.79","-","-2.95%"
"Apr 08, 2020","2,622.26","2,566.91","2,637.74","2,537.96","-","2.11%"
"Apr 07, 2020","2,568.00","2,578.30","2,704.15","2,553.16","-","-0.34%"
"Apr 06, 2020","2,576.77","2,507.96","2,638.35","2,507.96","-","3.20%"
"Apr 03, 2020","2,496.93","2,611.80","2,624.04","2,427.76","-","-4.39%"
"Apr 02, 2020","2,611.56","2,533.32","2,662.55","2,529.55","-","3.12%"
"Apr 01, 2020","2,532.65","2,543.53","2,565.95","2,433.14","-","-0.54%"
"Mar 31, 2020","2,546.37","2,483.19","2,644.00","2,482.97","-","2.54%"
"Mar 30, 2020","2,483.19","2,424.55","2,559.79","2,424.55","-","2.42%"
"Mar 27, 2020","2,424.55","2,406.37","2,505.63","2,287.77","-","0.63%"
"Mar 26, 2020","2,409.37","2,343.07","2,482.74","2,337.59","-","2.74%"
"Mar 25, 2020","2,345.13","2,160.89","2,397.69","2,160.89","-","8.49%"
"Mar 24, 2020","2,161.60","2,070.27","2,243.96","2,070.27","-","5.32%"
"Mar 23, 2020","2,052.41","2,103.63","2,123.47","1,985.10","-","-2.43%"
"Mar 20, 2020","2,103.63","2,168.73","2,318.91","2,017.77","-","-2.78%"
"Mar 19, 2020","2,163.76","2,133.64","2,247.91","1,936.37","-","1.40%"
"Mar 18, 2020","2,133.98","2,407.46","2,407.46","2,024.13","-","-11.41%"
"Mar 17, 2020","2,408.76","2,350.08","2,562.25","2,328.18","-","2.75%"
"Mar 16, 2020","2,344.31","2,601.37","2,604.29","2,274.33","-","-11.58%"
"Mar 13, 2020","2,651.25","2,332.07","2,693.50","2,315.79","-","13.84%"
"Mar 12, 2020","2,328.86","2,713.58","2,713.58","2,175.26","-","-15.81%"
"Mar 11, 2020","2,766.19","3,060.92","3,060.92","2,612.19","-","-9.64%"
"Mar 10, 2020","3,061.34","2,816.22","3,064.74","2,816.22","-","8.80%"
"Mar 09, 2020","2,813.75","3,212.21","3,212.21","2,798.26","-","-12.89%"
"Mar 06, 2020","3,230.15","3,416.17","3,416.17","3,199.41","-","-5.47%"
"Mar 05, 2020","3,416.98","3,555.16","3,555.16","3,349.64","-","-3.90%"
"Mar 04, 2020","3,555.55","3,373.94","3,575.25","3,373.83","-","5.41%"
"Mar 03, 2020","3,373.14","3,363.12","3,505.04","3,320.85","-","0.31%"
"Mar 02, 2020","3,362.74","3,225.00","3,390.36","3,225.00","-","4.29%"
"Feb 28, 2020","3,224.54","3,232.31","3,232.57","3,106.81","-","-0.24%"
"Feb 27, 2020","3,232.24","3,304.16","3,329.87","3,211.73","-","-2.18%"
"Feb 26, 2020","3,304.18","3,615.88","3,615.88","3,296.00","-","-8.77%"
"Feb 21, 2020","3,621.80","3,651.75","3,651.75","3,570.01","-","-0.84%"
"Feb 20, 2020","3,652.39","3,715.92","3,724.97","3,645.90","-","-1.71%"
"Feb 19, 2020","3,715.81","3,688.40","3,731.99","3,626.67","-","0.77%"
"Feb 18, 2020","3,687.38","3,694.71","3,694.85","3,627.66","-","-0.21%"
"Feb 17, 2020","3,695.04","3,642.85","3,708.36","3,639.69","-","1.53%"
"Feb 14, 2020","3,639.39","3,727.13","3,734.74","3,621.07","-","-2.35%"
"Feb 13, 2020","3,727.13","3,722.43","3,743.00","3,655.60","-","0.11%"
"Feb 12, 2020","3,723.04","3,648.97","3,761.74","3,648.97","-","2.10%"
"Feb 11, 2020","3,646.58","3,496.47","3,652.22","3,496.47","-","4.30%"
"Feb 10, 2020","3,496.29","3,581.79","3,597.44","3,486.70","-","-2.39%"
"Feb 07, 2020","3,581.74","3,693.04","3,693.04","3,581.74","-","-3.01%"
"Feb 06, 2020","3,692.72","3,714.93","3,772.40","3,684.04","-","-0.58%"
"Feb 05, 2020","3,714.25","3,696.66","3,778.82","3,696.53","-","0.49%"
"Feb 04, 2020","3,696.17","3,638.60","3,731.03","3,638.60","-","1.62%"
"Feb 03, 2020","3,637.10","3,589.20","3,651.17","3,549.82","-","1.31%"
"Jan 31, 2020","3,590.15","3,677.76","3,678.31","3,585.50","-","-2.50%"
"Jan 30, 2020","3,682.36","3,665.71","3,683.06","3,559.47","-","0.38%"
"Jan 29, 2020","3,668.60","3,722.27","3,754.88","3,659.36","-","-1.22%"
"Jan 28, 2020","3,714.08","3,685.11","3,783.79","3,685.11","-","0.80%"
"Jan 27, 2020","3,684.56","3,937.75","3,937.75","3,684.56","-","-6.47%"
