"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","80,505.89","83,169.34","83,169.34","80,168.06","11.80M","-3.20%"
"Apr 29, 2020","83,170.80","81,312.89","83,598.01","81,312.89","11.72M","2.29%"
"Apr 28, 2020","81,312.23","78,243.32","81,427.32","78,243.32","12.94M","3.93%"
"Apr 27, 2020","78,238.60","75,334.28","78,562.71","75,326.58","10.66M","3.86%"
"Apr 24, 2020","75,330.61","79,666.62","79,666.62","72,040.82","16.53M","-5.45%"
"Apr 23, 2020","79,673.30","80,690.35","81,933.50","78,621.92","10.82M","-1.26%"
"Apr 22, 2020","80,687.15","78,972.83","81,183.73","78,972.76","9.85M","2.17%"
"Apr 20, 2020","78,972.76","78,988.64","80,105.99","76,942.89","8.87M","-0.02%"
"Apr 17, 2020","78,990.29","77,817.46","79,846.43","77,754.45","8.32M","1.51%"
"Apr 16, 2020","77,811.85","78,836.72","80,167.22","77,452.36","9.03M","-1.29%"
"Apr 15, 2020","78,831.46","79,911.33","80,034.78","77,545.67","9.76M","-1.36%"
"Apr 14, 2020","79,918.36","78,847.67","81,667.81","78,847.67","8.59M","1.37%"
"Apr 13, 2020","78,835.82","77,681.94","78,835.82","76,405.36","7.65M","1.49%"
"Apr 09, 2020","77,681.94","78,639.74","80,427.60","77,456.86","10.75M","-1.20%"
"Apr 08, 2020","78,624.62","76,334.79","79,058.13","76,115.19","10.21M","2.97%"
"Apr 07, 2020","76,358.09","74,078.01","79,855.48","74,078.01","11.29M","3.08%"
"Apr 06, 2020","74,072.98","69,555.61","75,259.70","69,555.61","9.69M","6.52%"
"Apr 03, 2020","69,537.56","72,241.09","72,241.09","67,802.47","10.41M","-3.76%"
"Apr 02, 2020","72,253.46","70,968.53","73,861.00","70,956.84","10.54M","1.81%"
"Apr 01, 2020","70,966.70","73,010.78","73,010.78","69,568.56","10.09M","-2.81%"
"Mar 31, 2020","73,019.76","74,629.42","75,511.03","72,385.14","11.14M","-2.17%"
"Mar 30, 2020","74,639.48","73,430.65","75,429.74","73,184.22","9.03M","1.65%"
"Mar 27, 2020","73,428.78","77,707.88","77,707.88","73,057.12","10.30M","-5.51%"
"Mar 26, 2020","77,709.66","74,956.05","78,846.34","74,923.27","12.76M","3.67%"
"Mar 25, 2020","74,955.57","69,727.12","76,713.93","69,359.58","12.95M","7.50%"
"Mar 24, 2020","69,729.30","63,604.42","71,535.44","63,604.42","11.68M","9.69%"
"Mar 23, 2020","63,569.62","67,067.03","67,603.83","62,161.38","11.96M","-5.22%"
"Mar 20, 2020","67,069.36","68,344.38","72,247.43","66,120.06","15.15M","-1.85%"
"Mar 19, 2020","68,331.80","66,882.80","70,071.33","61,690.53","16.14M","2.15%"
"Mar 18, 2020","66,894.95","74,576.38","74,576.38","63,546.74","16.75M","-10.35%"
"Mar 17, 2020","74,617.24","71,177.56","77,254.59","70,782.50","14.95M","4.85%"
"Mar 16, 2020","71,168.05","82,564.88","82,564.88","70,854.82","12.85M","-13.92%"
