"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","15,716.73","16,104.77","16,122.07","15,595.98","-","-2.41%"
"Apr 29, 2020","16,105.35","15,846.63","16,264.03","15,846.63","-","1.64%"
"Apr 28, 2020","15,845.96","15,506.97","16,039.03","15,506.97","-","2.20%"
"Apr 27, 2020","15,505.19","14,766.84","15,591.45","14,766.84","-","5.00%"
"Apr 24, 2020","14,766.61","15,274.88","15,275.14","13,994.63","-","-3.33%"
"Apr 23, 2020","15,275.76","15,298.50","15,579.57","15,008.81","-","-0.14%"
"Apr 22, 2020","15,296.48","14,928.06","15,377.96","14,924.63","-","2.47%"
"Apr 20, 2020","14,928.19","14,905.70","15,139.76","14,507.94","-","0.13%"
"Apr 17, 2020","14,909.28","14,754.57","15,126.16","14,733.59","-","1.05%"
"Apr 16, 2020","14,754.38","14,851.55","15,086.15","14,637.74","-","-0.65%"
"Apr 15, 2020","14,851.51","14,894.82","14,931.28","14,512.75","-","-0.29%"
"Apr 14, 2020","14,895.28","14,547.46","15,090.20","14,547.46","-","2.40%"
"Apr 13, 2020","14,545.92","14,355.43","14,570.74","14,216.91","-","1.33%"
"Apr 09, 2020","14,355.39","14,637.81","14,884.37","14,355.39","-","-1.92%"
"Apr 08, 2020","14,636.78","14,374.46","14,710.53","14,171.89","-","1.82%"
"Apr 07, 2020","14,374.62","14,101.69","15,118.08","14,101.69","-","1.98%"
"Apr 06, 2020","14,095.73","13,566.68","14,538.59","13,566.68","-","3.95%"
"Apr 03, 2020","13,560.73","14,066.96","14,070.08","13,042.63","-","-3.60%"
"Apr 02, 2020","14,066.48","13,772.38","14,338.44","13,685.93","-","2.17%"
"Apr 01, 2020","13,767.93","13,912.89","13,913.90","13,252.98","-","-1.06%"
"Mar 31, 2020","13,915.24","14,249.02","14,362.09","13,850.07","-","-2.34%"
"Mar 30, 2020","14,249.17","14,224.62","14,741.02","14,174.08","-","0.17%"
"Mar 27, 2020","14,224.42","14,609.36","14,692.95","13,825.03","-","-2.64%"
"Mar 26, 2020","14,609.43","14,127.80","14,970.20","14,127.80","-","3.39%"
"Mar 25, 2020","14,130.52","13,298.28","14,586.76","13,290.68","-","6.26%"
"Mar 24, 2020","13,298.28","12,656.80","13,946.43","12,656.76","-","5.08%"
"Mar 23, 2020","12,654.94","12,938.46","13,037.17","12,323.84","-","-2.18%"
"Mar 20, 2020","12,936.48","12,935.25","13,937.84","12,624.81","-","0.02%"
"Mar 19, 2020","12,933.52","11,925.77","13,228.01","10,949.82","-","8.45%"
"Mar 18, 2020","11,926.08","13,399.76","13,399.85","11,331.16","-","-11.01%"
"Mar 17, 2020","13,401.15","12,950.33","14,134.96","12,936.10","-","3.48%"
"Mar 16, 2020","12,950.03","15,228.14","15,228.14","12,882.18","-","-14.98%"
"Mar 13, 2020","15,232.32","13,620.99","15,488.65","13,588.17","-","11.91%"
"Mar 12, 2020","13,610.85","16,344.52","16,344.52","13,111.44","-","-16.76%"
"Mar 11, 2020","16,350.36","17,666.71","17,666.71","15,393.43","-","-7.45%"
"Mar 10, 2020","17,666.44","16,715.51","17,692.04","16,682.78","-","5.72%"
"Mar 09, 2020","16,711.32","18,736.29","18,736.29","16,711.32","-","-10.83%"
"Mar 06, 2020","18,740.47","19,579.04","19,579.04","18,584.43","-","-4.30%"
"Mar 05, 2020","19,582.03","20,487.90","20,487.90","19,217.15","-","-4.44%"
"Mar 04, 2020","20,491.80","19,798.73","20,534.77","19,798.73","-","3.51%"
"Mar 03, 2020","19,796.77","19,958.26","20,506.87","19,634.55","-","-0.81%"
"Mar 02, 2020","19,957.86","19,278.09","20,060.99","19,278.09","-","3.52%"
"Feb 28, 2020","19,278.97","19,305.81","19,305.81","18,477.01","-","-0.14%"
"Feb 27, 2020","19,306.17","20,191.19","20,191.19","19,306.17","-","-4.40%"
"Feb 26, 2020","20,194.02","21,634.43","21,634.43","20,081.12","-","-6.68%"
"Feb 21, 2020","21,640.26","21,552.88","21,666.39","21,331.13","-","0.40%"
"Feb 20, 2020","21,553.86","21,822.10","21,844.13","21,549.94","-","-1.23%"
"Feb 19, 2020","21,821.92","21,397.97","21,864.28","21,355.58","-","1.98%"
"Feb 18, 2020","21,397.80","21,551.60","21,551.60","21,175.92","-","-0.71%"
"Feb 17, 2020","21,551.60","21,387.39","21,668.92","21,387.39","-","0.77%"
"Feb 14, 2020","21,386.72","21,578.51","21,603.32","21,252.46","-","-0.89%"
"Feb 13, 2020","21,578.62","21,492.46","21,605.45","21,125.97","-","0.39%"
"Feb 12, 2020","21,495.60","21,248.78","21,718.70","21,239.15","-","1.17%"
"Feb 11, 2020","21,247.94","20,655.61","21,248.88","20,655.35","-","2.87%"
"Feb 10, 2020","20,654.64","20,998.17","21,199.68","20,528.80","-","-1.64%"
"Feb 07, 2020","20,998.17","21,517.64","21,517.64","20,997.85","-","-2.42%"
"Feb 06, 2020","21,518.65","21,731.76","21,949.32","21,469.40","-","-0.97%"
"Feb 05, 2020","21,728.91","21,777.92","22,147.47","21,669.42","-","-0.22%"
"Feb 04, 2020","21,776.29","21,657.27","22,112.08","21,657.27","-","0.56%"
"Feb 03, 2020","21,655.67","21,426.53","21,886.84","21,421.56","-","1.07%"
"Jan 31, 2020","21,426.53","21,790.45","21,790.45","21,359.00","-","-1.71%"
"Jan 30, 2020","21,799.71","21,982.46","21,982.46","21,273.94","-","-0.84%"
"Jan 29, 2020","21,983.57","22,257.21","22,472.31","21,978.79","-","-1.22%"
"Jan 28, 2020","22,255.34","21,932.59","22,416.91","21,931.09","-","1.48%"
"Jan 27, 2020","21,931.48","22,976.25","22,976.37","21,922.99","-","-4.56%"
"Jan 24, 2020","22,978.56","23,117.63","23,123.77","22,898.82","-","-0.59%"
"Jan 23, 2020","23,115.74","23,142.30","23,142.30","22,764.30","-","-0.11%"
"Jan 22, 2020","23,142.21","22,695.70","23,142.21","22,677.98","-","1.97%"
"Jan 21, 2020","22,694.70","22,865.86","22,925.95","22,692.01","-","-0.75%"
"Jan 20, 2020","22,865.86","22,677.12","22,865.86","22,576.76","-","0.84%"
"Jan 17, 2020","22,674.36","22,491.05","22,674.36","22,489.74","-","0.82%"
"Jan 16, 2020","22,490.84","22,459.49","22,628.40","22,309.47","-","0.14%"
"Jan 15, 2020","22,458.76","22,609.43","22,611.57","22,434.43","-","-0.67%"
"Jan 14, 2020","22,609.43","22,565.43","22,697.21","22,475.12","-","0.20%"
"Jan 13, 2020","22,564.32","22,098.58","22,564.32","22,098.58","-","2.11%"
"Jan 10, 2020","22,097.91","22,036.41","22,263.62","21,983.05","-","0.28%"
"Jan 09, 2020","22,035.74","22,015.45","22,130.29","21,901.21","-","0.09%"
"Jan 08, 2020","22,014.94","21,885.52","22,135.75","21,856.92","-","0.59%"
"Jan 07, 2020","21,885.52","21,749.72","21,912.22","21,652.12","-","0.63%"
"Jan 06, 2020","21,748.67","21,861.07","21,881.25","21,629.33","-","-0.53%"
"Jan 03, 2020","21,864.04","21,767.01","21,934.86","21,484.90","-","0.44%"
"Jan 02, 2020","21,767.50","21,193.97","21,767.50","21,193.97","-","2.74%"
"Dec 30, 2019","21,187.16","21,380.97","21,490.36","21,176.66","-","-0.91%"
