"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","5,628.41","5,728.29","5,786.57","5,613.65","332.66M","-1.74%"
"Apr 29, 2020","5,728.29","5,609.50","5,730.97","5,598.80","293.10M","2.12%"
"Apr 28, 2020","5,609.50","5,532.90","5,645.43","5,517.28","261.87M","1.38%"
"Apr 27, 2020","5,532.90","5,406.80","5,532.90","5,406.80","206.54M","2.33%"
"Apr 24, 2020","5,406.81","5,476.78","5,476.78","5,384.22","210.38M","-1.28%"
"Apr 23, 2020","5,476.78","5,427.50","5,516.57","5,415.56","192.43M","0.91%"
"Apr 22, 2020","5,427.50","5,366.45","5,433.80","5,366.45","172.80M","1.14%"
"Apr 21, 2020","5,366.45","5,550.02","5,550.02","5,366.45","194.16M","-3.31%"
"Apr 20, 2020","5,550.02","5,515.53","5,560.19","5,448.24","208.77M","0.63%"
"Apr 17, 2020","5,515.42","5,332.68","5,564.94","5,332.68","298.99M","3.43%"
"Apr 16, 2020","5,332.68","5,350.07","5,427.39","5,307.81","247.68M","-0.33%"
"Apr 15, 2020","5,350.07","5,546.26","5,560.51","5,337.77","299.55M","-3.54%"
"Apr 14, 2020","5,546.26","5,524.33","5,600.23","5,524.33","257.51M","0.40%"
"Apr 09, 2020","5,524.38","5,436.33","5,559.90","5,421.31","290.33M","1.62%"
"Apr 08, 2020","5,436.33","5,422.27","5,436.33","5,331.66","213.22M","0.26%"
"Apr 07, 2020","5,422.27","5,303.13","5,508.99","5,303.13","320.71M","2.25%"
"Apr 06, 2020","5,303.13","5,083.59","5,307.87","5,083.59","256.38M","4.32%"
"Apr 03, 2020","5,083.57","5,160.44","5,163.80","5,072.87","312.81M","-1.49%"
"Apr 02, 2020","5,160.40","5,143.06","5,198.26","5,077.92","287.38M","0.34%"
"Apr 01, 2020","5,143.06","5,349.83","5,349.83","5,125.67","257.97M","-3.87%"
"Mar 31, 2020","5,350.08","5,326.93","5,432.30","5,257.93","294.10M","0.43%"
"Mar 30, 2020","5,326.93","5,330.62","5,359.36","5,180.07","222.88M","-0.07%"
"Mar 27, 2020","5,330.62","5,570.96","5,570.96","5,273.23","309.60M","-4.31%"
"Mar 26, 2020","5,570.95","5,441.70","5,570.95","5,283.77","307.03M","2.38%"
"Mar 25, 2020","5,441.70","5,224.90","5,484.01","5,221.00","351.47M","4.15%"
"Mar 24, 2020","5,224.66","4,825.83","5,224.66","4,825.83","336.45M","8.26%"
"Mar 23, 2020","4,825.83","4,991.58","5,013.37","4,766.12","323.49M","-3.32%"
"Mar 20, 2020","4,991.74","4,741.40","5,061.61","4,741.40","527.50M","5.28%"
"Mar 19, 2020","4,741.19","4,612.00","4,791.61","4,573.83","358.15M","2.80%"
"Mar 18, 2020","4,611.99","4,848.82","4,848.82","4,576.48","366.98M","-4.88%"
"Mar 17, 2020","4,848.82","4,750.05","4,945.16","4,618.36","397.40M","2.08%"
"Mar 16, 2020","4,750.05","5,078.91","5,078.91","4,480.03","583.99M","-6.49%"
"Mar 13, 2020","5,079.58","5,001.04","5,455.47","5,001.04","555.27M","1.57%"
"Mar 12, 2020","5,000.95","5,662.35","5,662.35","4,985.11","611.91M","-11.68%"
"Mar 11, 2020","5,662.35","5,717.82","5,849.41","5,654.74","397.23M","-0.97%"
"Mar 10, 2020","5,717.82","5,804.18","6,053.96","5,697.85","497.25M","-1.49%"
"Mar 09, 2020","5,804.18","6,288.21","6,288.21","5,784.54","576.92M","-7.70%"
"Mar 06, 2020","6,288.21","6,541.17","6,541.17","6,249.53","354.12M","-3.87%"
"Mar 05, 2020","6,541.17","6,669.03","6,712.45","6,510.50","284.60M","-1.92%"
"Mar 04, 2020","6,669.03","6,582.55","6,702.31","6,546.41","262.42M","1.31%"
"Mar 03, 2020","6,582.55","6,513.33","6,713.14","6,513.33","326.97M","1.06%"
"Mar 02, 2020","6,513.33","6,491.43","6,629.48","6,358.00","356.56M","0.34%"
"Feb 28, 2020","6,491.43","6,700.45","6,700.45","6,399.94","443.78M","-3.12%"
"Feb 27, 2020","6,700.45","6,919.45","6,919.45","6,611.58","362.84M","-3.16%"
"Feb 26, 2020","6,919.45","6,908.44","6,944.79","6,721.77","313.58M","0.16%"
"Feb 25, 2020","6,908.44","7,036.27","7,075.44","6,896.59","283.23M","-1.82%"
"Feb 24, 2020","7,036.25","7,308.85","7,308.85","6,996.08","342.87M","-3.73%"
"Feb 21, 2020","7,308.85","7,345.34","7,351.58","7,274.19","230.68M","-0.50%"
"Feb 20, 2020","7,345.34","7,412.58","7,415.07","7,345.34","245.89M","-0.91%"
"Feb 19, 2020","7,412.58","7,345.14","7,412.58","7,345.14","242.32M","0.92%"
"Feb 18, 2020","7,345.14","7,375.29","7,375.29","7,319.96","198.80M","-0.41%"
"Feb 17, 2020","7,375.28","7,354.35","7,379.27","7,353.46","153.36M","0.28%"
"Feb 14, 2020","7,354.35","7,371.70","7,381.19","7,351.38","181.54M","-0.24%"
"Feb 13, 2020","7,371.70","7,380.73","7,380.73","7,298.03","198.94M","-0.12%"
"Feb 12, 2020","7,380.73","7,319.44","7,380.75","7,319.44","228.26M","0.84%"
"Feb 11, 2020","7,319.45","7,276.33","7,331.19","7,276.33","160.82M","0.59%"
"Feb 10, 2020","7,276.35","7,284.61","7,284.61","7,241.79","129.70M","-0.11%"
"Feb 07, 2020","7,284.61","7,297.10","7,307.17","7,249.64","162.16M","-0.17%"
"Feb 06, 2020","7,297.07","7,248.24","7,317.62","7,248.24","191.01M","0.67%"
"Feb 05, 2020","7,248.24","7,183.48","7,271.91","7,166.06","201.78M","0.90%"
"Feb 04, 2020","7,183.50","7,069.56","7,184.36","7,069.56","158.41M","1.61%"
"Feb 03, 2020","7,069.56","7,029.28","7,094.92","7,024.77","153.18M","0.57%"
"Jan 31, 2020","7,029.28","7,096.91","7,126.22","7,021.89","184.10M","-0.95%"
"Jan 30, 2020","7,096.90","7,189.24","7,189.24","7,071.70","170.34M","-1.28%"
"Jan 29, 2020","7,189.24","7,164.19","7,213.85","7,152.85","151.51M","0.35%"
"Jan 28, 2020","7,164.16","7,090.75","7,171.18","7,084.98","156.08M","1.04%"
"Jan 27, 2020","7,090.70","7,270.62","7,270.62","7,070.50","198.12M","-2.48%"
"Jan 24, 2020","7,270.70","7,218.24","7,316.18","7,218.24","173.53M","0.73%"
"Jan 23, 2020","7,218.24","7,276.63","7,277.49","7,207.06","174.34M","-0.80%"
"Jan 22, 2020","7,276.64","7,307.05","7,332.58","7,272.04","152.74M","-0.42%"
"Jan 21, 2020","7,307.05","7,351.40","7,351.40","7,248.75","155.05M","-0.60%"
"Jan 20, 2020","7,351.40","7,371.50","7,371.50","7,343.82","119.61M","-0.27%"
"Jan 17, 2020","7,371.50","7,296.49","7,376.49","7,296.49","187.62M","1.03%"
"Jan 16, 2020","7,296.50","7,288.52","7,314.20","7,274.85","167.23M","0.11%"
"Jan 15, 2020","7,288.52","7,283.48","7,299.83","7,260.33","230.49M","0.07%"
"Jan 14, 2020","7,283.48","7,270.60","7,283.48","7,212.66","337.01M","0.18%"
"Jan 13, 2020","7,270.60","7,269.25","7,296.17","7,251.00","148.24M","0.02%"
"Jan 10, 2020","7,269.24","7,278.26","7,292.43","7,262.54","136.05M","-0.12%"
"Jan 09, 2020","7,278.26","7,258.61","7,306.48","7,258.61","139.15M","0.27%"
"Jan 08, 2020","7,258.61","7,235.85","7,258.61","7,189.08","147.90M","0.31%"
"Jan 07, 2020","7,235.85","7,226.86","7,289.86","7,221.15","150.90M","0.12%"
"Jan 06, 2020","7,226.83","7,269.71","7,269.71","7,155.19","145.95M","-0.59%"
"Jan 03, 2020","7,269.71","7,274.93","7,274.93","7,214.50","143.92M","-0.08%"
"Jan 02, 2020","7,275.20","7,199.59","7,294.13","7,199.59","166.48M","1.05%"
"Dec 31, 2019","7,199.59","7,208.67","7,214.39","7,182.60","55.47M","-0.13%"
"Dec 30, 2019","7,208.67","7,262.35","7,267.88","7,208.67","88.79M","-0.74%"
"Dec 27, 2019","7,262.35","7,251.05","7,291.07","7,251.05","109.42M","0.16%"
"Dec 24, 2019","7,251.10","7,243.88","7,254.13","7,240.26","43.39M","0.10%"
"Dec 23, 2019","7,243.89","7,229.47","7,253.59","7,217.35","109.51M","0.20%"
"Dec 20, 2019","7,229.42","7,170.82","7,229.44","7,164.81","255.21M","0.82%"
"Dec 19, 2019","7,170.82","7,157.57","7,170.82","7,137.56","134.44M","0.19%"
"Dec 18, 2019","7,157.57","7,168.15","7,179.68","7,156.68","156.90M","-0.15%"
"Dec 17, 2019","7,168.16","7,198.67","7,198.67","7,156.35","194.28M","-0.42%"
"Dec 16, 2019","7,198.68","7,116.12","7,214.92","7,116.12","195.64M","1.16%"
"Dec 13, 2019","7,116.12","7,074.49","7,170.69","7,074.49","266.45M","0.59%"
"Dec 12, 2019","7,074.49","7,051.84","7,111.81","7,031.80","357.08M","0.32%"
"Dec 11, 2019","7,051.84","7,041.50","7,056.87","7,013.43","146.35M","0.15%"
"Dec 10, 2019","7,041.52","7,034.73","7,044.87","6,961.69","156.10M","0.10%"
"Dec 09, 2019","7,034.72","7,069.38","7,070.63","7,034.01","132.87M","-0.49%"
"Dec 06, 2019","7,069.38","6,996.87","7,069.38","6,996.87","178.54M","1.04%"
"Dec 05, 2019","6,996.85","6,986.65","7,046.26","6,986.65","146.65M","0.15%"
"Dec 04, 2019","6,986.52","6,908.69","7,001.80","6,905.96","167.62M","1.13%"
"Dec 03, 2019","6,908.69","6,980.82","6,990.45","6,872.55","161.36M","-1.03%"
"Dec 02, 2019","6,980.83","7,109.05","7,158.89","6,974.00","185.33M","-1.80%"
"Nov 29, 2019","7,109.04","7,119.95","7,135.74","7,086.95","127.90M","-0.15%"
"Nov 28, 2019","7,119.92","7,137.53","7,137.53","7,107.24","116.42M","-0.25%"
"Nov 27, 2019","7,137.53","7,134.22","7,157.24","7,129.85","142.60M","0.05%"
"Nov 26, 2019","7,134.23","7,116.01","7,146.19","7,103.19","232.01M","0.26%"
"Nov 25, 2019","7,116.04","7,082.63","7,135.20","7,082.63","139.51M","0.66%"
"Nov 22, 2019","7,069.72","7,051.14","7,114.36","7,051.14","142.06M","0.26%"
"Nov 21, 2019","7,051.12","7,078.54","7,078.54","7,003.56","140.89M","-0.39%"
"Nov 20, 2019","7,078.75","7,093.21","7,093.21","7,038.12","162.72M","-0.20%"
"Nov 19, 2019","7,093.21","7,117.38","7,161.05","7,078.94","159.32M","-0.34%"
"Nov 18, 2019","7,117.38","7,128.87","7,134.14","7,083.72","190.34M","-0.16%"
"Nov 15, 2019","7,128.87","7,087.45","7,134.83","7,087.45","165.90M","0.58%"
"Nov 14, 2019","7,087.45","7,083.54","7,103.08","7,077.49","142.80M","0.06%"
"Nov 13, 2019","7,083.54","7,100.29","7,100.29","7,046.25","159.64M","-0.24%"
"Nov 12, 2019","7,100.29","7,076.32","7,114.47","7,076.32","171.19M","0.34%"
"Nov 11, 2019","7,076.33","7,073.06","7,092.00","7,049.00","153.42M","0.05%"
"Nov 08, 2019","7,073.05","7,079.79","7,079.79","7,044.60","188.25M","-0.10%"
"Nov 07, 2019","7,079.79","7,044.79","7,085.03","7,044.79","207.46M","0.50%"
"Nov 06, 2019","7,044.79","7,029.85","7,058.96","7,017.94","253.17M","0.21%"
"Nov 05, 2019","7,029.85","7,007.02","7,033.30","7,000.57","169.00M","0.33%"
"Nov 04, 2019","7,007.02","6,941.16","7,018.87","6,941.16","161.09M","0.95%"
"Nov 01, 2019","6,941.16","6,901.38","6,957.23","6,901.38","126.56M","0.58%"
"Oct 31, 2019","6,901.36","6,935.49","6,949.77","6,880.27","196.52M","-0.49%"
"Oct 30, 2019","6,935.49","6,901.07","6,935.49","6,887.42","171.26M","0.49%"
"Oct 29, 2019","6,901.42","6,887.59","6,902.40","6,867.58","137.16M","0.20%"
"Oct 28, 2019","6,887.59","6,876.98","6,904.05","6,869.61","133.76M","0.15%"
"Oct 25, 2019","6,876.98","6,823.77","6,877.30","6,821.72","133.02M","0.78%"
"Oct 24, 2019","6,823.77","6,788.69","6,829.49","6,788.69","157.21M","0.52%"
"Oct 23, 2019","6,788.69","6,796.21","6,796.21","6,747.44","136.76M","-0.11%"
"Oct 22, 2019","6,796.21","6,792.44","6,796.21","6,747.62","124.66M","0.06%"
"Oct 21, 2019","6,792.44","6,777.66","6,805.74","6,764.76","145.39M","0.22%"
"Oct 18, 2019","6,777.66","6,816.45","6,816.45","6,758.50","157.22M","-0.57%"
"Oct 17, 2019","6,816.47","6,839.58","6,885.49","6,813.80","156.90M","-0.34%"
"Oct 16, 2019","6,839.58","6,852.74","6,858.07","6,823.44","151.18M","-0.19%"
"Oct 15, 2019","6,852.74","6,788.54","6,876.78","6,788.54","147.80M","0.95%"
"Oct 14, 2019","6,788.54","6,805.51","6,805.51","6,735.88","129.24M","-0.24%"
"Oct 11, 2019","6,805.18","6,701.48","6,808.32","6,701.48","192.67M","1.55%"
"Oct 10, 2019","6,701.12","6,614.84","6,712.58","6,611.41","165.28M","1.30%"
"Oct 09, 2019","6,614.84","6,568.99","6,630.11","6,552.98","129.40M","0.70%"
"Oct 08, 2019","6,568.99","6,644.12","6,656.86","6,560.79","139.45M","-1.13%"
"Oct 07, 2019","6,644.14","6,605.22","6,644.16","6,578.91","118.02M","0.59%"
"Oct 04, 2019","6,605.22","6,550.43","6,605.22","6,537.47","140.32M","0.84%"
"Oct 03, 2019","6,550.47","6,535.60","6,593.46","6,502.45","149.77M","0.23%"
"Oct 02, 2019","6,535.61","6,732.60","6,732.60","6,535.61","188.61M","-2.93%"
"Oct 01, 2019","6,732.61","6,823.81","6,858.91","6,728.54","145.41M","-1.34%"
"Sep 30, 2019","6,823.82","6,785.35","6,824.31","6,771.43","129.21M","0.57%"
"Sep 27, 2019","6,785.35","6,760.91","6,789.98","6,760.91","125.37M","0.36%"
"Sep 26, 2019","6,760.91","6,718.51","6,778.25","6,705.60","131.68M","0.63%"
"Sep 25, 2019","6,718.51","6,776.12","6,776.12","6,659.41","158.92M","-0.85%"
"Sep 24, 2019","6,776.14","6,773.14","6,800.12","6,773.14","120.35M","0.04%"
"Sep 23, 2019","6,773.14","6,845.94","6,845.94","6,759.01","152.96M","-1.06%"
"Sep 20, 2019","6,845.94","6,819.62","6,852.94","6,805.35","283.27M","0.39%"
"Sep 19, 2019","6,819.61","6,774.53","6,822.92","6,771.95","148.75M","0.67%"
"Sep 18, 2019","6,774.53","6,775.47","6,793.19","6,763.00","127.07M","-0.01%"
"Sep 17, 2019","6,775.47","6,764.20","6,775.47","6,737.09","144.43M","0.17%"
