"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,596.38","1,653.95","1,656.20","1,590.72","-","-3.48%"
"Apr 29, 2020","1,653.96","1,617.06","1,653.96","1,602.52","-","2.28%"
"Apr 28, 2020","1,617.06","1,579.15","1,619.88","1,576.45","-","2.40%"
"Apr 27, 2020","1,579.13","1,546.49","1,585.34","1,546.49","-","2.17%"
"Apr 24, 2020","1,545.53","1,578.21","1,578.21","1,544.47","-","-2.07%"
"Apr 23, 2020","1,578.26","1,561.25","1,592.40","1,551.28","-","1.09%"
"Apr 22, 2020","1,561.25","1,538.61","1,561.48","1,535.89","-","1.47%"
"Apr 21, 2020","1,538.61","1,608.14","1,608.14","1,538.61","-","-4.37%"
"Apr 20, 2020","1,609.00","1,602.32","1,615.49","1,578.06","-","0.48%"
"Apr 17, 2020","1,601.24","1,566.46","1,612.90","1,566.46","-","2.22%"
"Apr 16, 2020","1,566.46","1,577.56","1,594.44","1,564.84","-","-0.65%"
"Apr 15, 2020","1,576.75","1,646.97","1,646.97","1,568.83","-","-4.22%"
"Apr 14, 2020","1,646.26","1,603.32","1,648.03","1,603.32","-","2.70%"
"Apr 09, 2020","1,603.03","1,590.56","1,620.56","1,575.08","-","0.78%"
"Apr 08, 2020","1,590.56","1,607.61","1,609.14","1,563.51","-","-1.06%"
"Apr 07, 2020","1,607.61","1,543.13","1,614.15","1,543.13","-","4.18%"
"Apr 06, 2020","1,543.13","1,508.92","1,562.73","1,508.92","-","2.64%"
"Apr 03, 2020","1,503.40","1,492.99","1,510.23","1,484.51","-","0.70%"
"Apr 02, 2020","1,492.97","1,493.60","1,498.53","1,444.63","-","0.22%"
"Apr 01, 2020","1,489.66","1,529.45","1,529.45","1,468.25","-","-2.71%"
"Mar 31, 2020","1,531.09","1,475.88","1,531.09","1,475.88","-","3.92%"
"Mar 30, 2020","1,473.30","1,431.60","1,473.32","1,405.66","-","3.03%"
"Mar 27, 2020","1,429.95","1,473.41","1,473.41","1,414.06","-","-3.47%"
"Mar 26, 2020","1,481.29","1,469.31","1,481.29","1,421.56","-","0.79%"
"Mar 25, 2020","1,469.71","1,462.64","1,507.56","1,428.66","-","0.48%"
"Mar 24, 2020","1,462.64","1,378.00","1,469.52","1,378.00","-","6.18%"
"Mar 23, 2020","1,377.52","1,412.77","1,444.38","1,342.15","-","-2.49%"
"Mar 20, 2020","1,412.72","1,386.14","1,468.50","1,363.00","-","1.92%"
"Mar 19, 2020","1,386.13","1,311.47","1,392.08","1,305.59","-","5.69%"
"Mar 18, 2020","1,311.54","1,366.18","1,369.60","1,282.69","-","-4.01%"
"Mar 17, 2020","1,366.38","1,309.24","1,382.04","1,287.20","-","4.37%"
"Mar 16, 2020","1,309.23","1,401.04","1,401.04","1,248.36","-","-6.56%"
"Mar 13, 2020","1,401.21","1,343.18","1,493.61","1,343.18","-","4.32%"
"Mar 12, 2020","1,343.20","1,528.94","1,528.94","1,335.43","-","-12.50%"
"Mar 11, 2020","1,535.00","1,532.49","1,590.96","1,530.30","-","0.16%"
"Mar 10, 2020","1,532.48","1,560.89","1,633.44","1,525.63","-","-1.62%"
"Mar 09, 2020","1,557.75","1,696.55","1,696.55","1,542.08","-","-8.92%"
"Mar 06, 2020","1,710.26","1,773.66","1,773.66","1,704.82","-","-3.57%"
"Mar 05, 2020","1,773.64","1,812.36","1,830.04","1,765.86","-","-2.14%"
"Mar 04, 2020","1,812.36","1,794.73","1,826.50","1,791.99","-","0.98%"
"Mar 03, 2020","1,794.73","1,771.74","1,840.09","1,771.74","-","1.30%"
"Mar 02, 2020","1,771.76","1,776.54","1,803.35","1,727.45","-","0.45%"
"Feb 28, 2020","1,763.81","1,824.94","1,824.94","1,737.99","-","-3.57%"
"Feb 27, 2020","1,829.16","1,890.72","1,890.72","1,800.37","-","-3.26%"
"Feb 26, 2020","1,890.72","1,888.31","1,896.09","1,835.56","-","0.12%"
"Feb 25, 2020","1,888.52","1,912.73","1,927.01","1,884.11","-","-1.27%"
"Feb 24, 2020","1,912.74","1,995.67","1,995.67","1,906.47","-","-4.21%"
"Feb 21, 2020","1,996.79","2,002.00","2,007.46","1,985.09","-","-0.26%"
"Feb 20, 2020","2,002.02","2,019.78","2,022.23","2,002.02","-","-0.88%"
"Feb 19, 2020","2,019.78","2,016.32","2,027.34","2,010.47","-","0.22%"
"Feb 18, 2020","2,015.42","2,033.64","2,033.64","2,012.12","-","-0.90%"
"Feb 17, 2020","2,033.70","2,030.36","2,039.39","2,029.98","-","0.29%"
"Feb 14, 2020","2,027.74","2,046.26","2,046.26","2,026.18","-","-0.91%"
"Feb 13, 2020","2,046.29","2,039.17","2,046.29","2,013.51","-","0.35%"
"Feb 12, 2020","2,039.16","2,028.71","2,047.03","2,028.41","-","0.52%"
"Feb 11, 2020","2,028.68","1,989.34","2,036.87","1,989.34","-","2.02%"
"Feb 10, 2020","1,988.60","1,993.25","1,995.70","1,978.14","-","-0.25%"
"Feb 07, 2020","1,993.68","1,991.55","1,994.59","1,975.64","-","0.11%"
"Feb 06, 2020","1,991.56","1,954.31","1,998.80","1,954.31","-","1.98%"
"Feb 05, 2020","1,952.82","1,918.23","1,961.07","1,918.23","-","1.81%"
"Feb 04, 2020","1,918.15","1,886.31","1,922.92","1,886.29","-","1.69%"
"Feb 03, 2020","1,886.29","1,874.83","1,891.97","1,874.83","-","0.63%"
"Jan 31, 2020","1,874.44","1,885.95","1,899.31","1,873.43","-","-0.61%"
"Jan 30, 2020","1,885.94","1,900.72","1,900.72","1,870.52","-","-0.82%"
"Jan 29, 2020","1,901.56","1,886.51","1,907.97","1,885.72","-","0.95%"
"Jan 28, 2020","1,883.64","1,853.79","1,888.15","1,848.28","-","1.61%"
"Jan 27, 2020","1,853.79","1,898.86","1,898.86","1,842.66","-","-2.38%"
"Jan 24, 2020","1,898.89","1,875.87","1,906.19","1,875.87","-","1.23%"
"Jan 23, 2020","1,875.87","1,895.29","1,897.10","1,869.71","-","-1.02%"
"Jan 22, 2020","1,895.29","1,900.62","1,905.37","1,889.40","-","-0.28%"
"Jan 21, 2020","1,900.62","1,901.60","1,901.60","1,880.34","-","-0.06%"
"Jan 20, 2020","1,901.82","1,906.81","1,911.86","1,898.76","-","-0.26%"
"Jan 17, 2020","1,906.81","1,889.25","1,913.80","1,889.25","-","0.93%"
"Jan 16, 2020","1,889.24","1,886.63","1,893.77","1,877.30","-","0.14%"
"Jan 15, 2020","1,886.63","1,904.50","1,908.64","1,881.67","-","-0.93%"
"Jan 14, 2020","1,904.43","1,900.76","1,909.89","1,887.70","-","0.19%"
"Jan 13, 2020","1,900.76","1,891.30","1,902.58","1,891.30","-","0.49%"
"Jan 10, 2020","1,891.52","1,897.97","1,897.97","1,889.54","-","-0.34%"
"Jan 09, 2020","1,897.97","1,895.56","1,913.82","1,895.39","-","0.19%"
"Jan 08, 2020","1,894.39","1,893.00","1,899.01","1,861.99","-","0.07%"
"Jan 07, 2020","1,893.09","1,894.78","1,911.71","1,883.76","-","-0.04%"
"Jan 06, 2020","1,893.76","1,908.63","1,908.63","1,869.08","-","-0.81%"
"Jan 03, 2020","1,909.17","1,928.05","1,928.05","1,903.82","-","-1.25%"
"Jan 02, 2020","1,933.30","1,920.50","1,944.05","1,920.50","-","0.67%"
"Dec 31, 2019","1,920.49","1,919.04","1,920.49","1,911.80","-","0.08%"
"Dec 30, 2019","1,919.04","1,926.69","1,930.44","1,917.65","-","-0.40%"
"Dec 27, 2019","1,926.66","1,923.29","1,935.95","1,922.76","-","0.17%"
"Dec 24, 2019","1,923.39","1,927.40","1,929.18","1,922.01","-","-0.21%"
"Dec 23, 2019","1,927.40","1,936.07","1,940.74","1,921.91","-","-0.43%"
"Dec 20, 2019","1,935.72","1,924.38","1,952.77","1,922.88","-","0.56%"
"Dec 19, 2019","1,924.96","1,914.09","1,924.96","1,909.75","-","0.58%"
"Dec 18, 2019","1,913.89","1,907.67","1,915.80","1,904.00","-","0.33%"
"Dec 17, 2019","1,907.51","1,924.44","1,924.44","1,904.45","-","-0.92%"
"Dec 16, 2019","1,925.13","1,910.96","1,932.65","1,910.96","-","0.97%"
"Dec 13, 2019","1,906.72","1,896.63","1,932.15","1,896.63","-","0.55%"
"Dec 12, 2019","1,896.38","1,880.34","1,905.49","1,869.28","-","0.88%"
"Dec 11, 2019","1,879.87","1,880.14","1,884.73","1,866.92","-","-0.01%"
"Dec 10, 2019","1,880.13","1,891.29","1,891.29","1,856.16","-","-0.59%"
"Dec 09, 2019","1,891.29","1,887.29","1,896.56","1,884.34","-","0.21%"
"Dec 06, 2019","1,887.29","1,861.88","1,887.95","1,861.88","-","1.37%"
"Dec 05, 2019","1,861.79","1,856.06","1,871.05","1,853.40","-","0.38%"
"Dec 04, 2019","1,854.81","1,818.69","1,860.32","1,814.83","-","1.99%"
"Dec 03, 2019","1,818.69","1,857.61","1,859.69","1,808.57","-","-1.68%"
"Dec 02, 2019","1,849.74","1,886.98","1,902.13","1,849.06","-","-1.98%"
"Nov 29, 2019","1,887.01","1,886.11","1,892.59","1,871.65","-","0.05%"
"Nov 28, 2019","1,886.11","1,883.41","1,888.18","1,875.59","-","0.14%"
"Nov 27, 2019","1,883.41","1,892.14","1,899.01","1,880.49","-","-0.46%"
"Nov 26, 2019","1,892.12","1,891.57","1,894.65","1,879.91","-","0.02%"
"Nov 25, 2019","1,891.77","1,878.71","1,895.99","1,877.93","-","0.70%"
"Nov 22, 2019","1,878.71","1,844.61","1,879.71","1,844.61","-","1.85%"
"Nov 21, 2019","1,844.66","1,855.80","1,855.80","1,832.32","-","-0.60%"
"Nov 20, 2019","1,855.72","1,856.66","1,858.53","1,834.14","-","-0.05%"
"Nov 19, 2019","1,856.67","1,867.76","1,881.10","1,852.54","-","-0.59%"
"Nov 18, 2019","1,867.76","1,874.81","1,876.87","1,855.71","-","-0.39%"
"Nov 15, 2019","1,875.15","1,850.44","1,875.15","1,850.44","-","1.58%"
"Nov 14, 2019","1,846.01","1,854.48","1,854.48","1,840.64","-","-0.46%"
"Nov 13, 2019","1,854.48","1,856.29","1,862.21","1,838.39","-","-0.10%"
"Nov 12, 2019","1,856.29","1,846.00","1,864.21","1,845.17","-","0.56%"
"Nov 11, 2019","1,846.00","1,856.94","1,856.94","1,838.60","-","-0.59%"
"Nov 08, 2019","1,856.90","1,849.72","1,862.75","1,840.30","-","0.38%"
"Nov 07, 2019","1,849.78","1,841.39","1,873.22","1,841.39","-","0.46%"
"Nov 06, 2019","1,841.40","1,846.03","1,848.71","1,834.86","-","-0.25%"
"Nov 05, 2019","1,846.03","1,828.42","1,852.40","1,828.42","-","0.95%"
"Nov 04, 2019","1,828.58","1,803.17","1,833.39","1,803.17","-","1.42%"
"Nov 01, 2019","1,802.96","1,778.54","1,807.24","1,776.44","-","1.37%"
"Oct 31, 2019","1,778.54","1,776.58","1,787.77","1,746.04","-","0.11%"
"Oct 30, 2019","1,776.60","1,790.63","1,798.96","1,767.10","-","-0.78%"
"Oct 29, 2019","1,790.63","1,794.46","1,794.46","1,780.24","-","-0.21%"
"Oct 28, 2019","1,794.40","1,783.94","1,797.74","1,778.85","-","0.59%"
"Oct 25, 2019","1,783.89","1,765.08","1,783.89","1,765.08","-","1.07%"
"Oct 24, 2019","1,765.08","1,765.87","1,772.69","1,749.40","-","0.10%"
"Oct 23, 2019","1,763.24","1,748.24","1,766.44","1,734.51","-","0.85%"
"Oct 22, 2019","1,748.45","1,765.66","1,766.22","1,742.71","-","-1.01%"
"Oct 21, 2019","1,766.34","1,758.49","1,777.57","1,753.87","-","0.45%"
"Oct 18, 2019","1,758.49","1,752.54","1,769.15","1,745.84","-","0.34%"
"Oct 17, 2019","1,752.54","1,764.03","1,778.24","1,752.54","-","-0.75%"
"Oct 16, 2019","1,765.78","1,769.25","1,769.25","1,746.78","-","-0.20%"
"Oct 15, 2019","1,769.25","1,761.05","1,780.66","1,760.05","-","0.71%"
"Oct 14, 2019","1,756.81","1,772.70","1,772.70","1,740.59","-","-0.82%"
"Oct 11, 2019","1,771.37","1,729.99","1,777.51","1,729.99","-","2.53%"
"Oct 10, 2019","1,727.73","1,690.94","1,735.35","1,690.13","-","2.18%"
"Oct 09, 2019","1,690.93","1,681.90","1,702.54","1,680.83","-","0.54%"
"Oct 08, 2019","1,681.90","1,715.76","1,725.61","1,681.90","-","-1.97%"
"Oct 07, 2019","1,715.75","1,688.34","1,718.51","1,675.74","-","1.80%"
"Oct 04, 2019","1,685.36","1,676.18","1,693.52","1,668.56","-","0.98%"
"Oct 03, 2019","1,669.03","1,675.71","1,681.61","1,659.55","-","-0.38%"
"Oct 02, 2019","1,675.47","1,734.52","1,734.52","1,675.34","-","-3.41%"
"Oct 01, 2019","1,734.62","1,756.73","1,768.52","1,732.46","-","-1.26%"
"Sep 30, 2019","1,756.73","1,748.09","1,761.08","1,742.84","-","0.49%"
"Sep 27, 2019","1,748.09","1,732.59","1,752.34","1,732.59","-","0.97%"
"Sep 26, 2019","1,731.29","1,735.88","1,749.81","1,730.88","-","-0.26%"
"Sep 25, 2019","1,735.88","1,740.51","1,740.51","1,708.87","-","-0.27%"
"Sep 24, 2019","1,740.52","1,753.33","1,760.71","1,739.93","-","-0.73%"
"Sep 23, 2019","1,753.33","1,783.47","1,783.47","1,746.08","-","-1.69%"
"Sep 20, 2019","1,783.47","1,784.15","1,787.22","1,768.07","-","-0.04%"
"Sep 19, 2019","1,784.13","1,779.80","1,788.46","1,768.84","-","0.24%"
"Sep 18, 2019","1,779.81","1,779.71","1,785.80","1,773.13","-","0.01%"
"Sep 17, 2019","1,779.71","1,784.71","1,784.71","1,761.58","-","-0.28%"
"Sep 16, 2019","1,784.70","1,805.53","1,805.53","1,781.79","-","-1.16%"
"Sep 13, 2019","1,805.56","1,794.07","1,811.85","1,790.76","-","0.65%"
"Sep 12, 2019","1,793.96","1,774.16","1,798.01","1,773.26","-","1.12%"
"Sep 11, 2019","1,774.12","1,757.53","1,777.83","1,757.53","-","0.94%"
"Sep 10, 2019","1,757.53","1,726.66","1,758.78","1,726.62","-","1.80%"
"Sep 09, 2019","1,726.48","1,726.93","1,729.34","1,715.14","-","-0.03%"
"Sep 06, 2019","1,726.96","1,718.88","1,726.96","1,711.79","-","0.47%"
"Sep 05, 2019","1,718.89","1,713.62","1,730.73","1,713.62","-","0.31%"
"Sep 04, 2019","1,713.62","1,687.55","1,717.47","1,687.55","-","1.57%"
"Sep 03, 2019","1,687.11","1,712.30","1,712.30","1,685.38","-","-1.47%"
"Sep 02, 2019","1,712.30","1,711.53","1,722.25","1,705.81","-","0.05%"
"Aug 30, 2019","1,711.51","1,696.55","1,714.87","1,694.67","-","0.88%"
"Aug 29, 2019","1,696.55","1,659.32","1,697.14","1,652.86","-","2.24%"
"Aug 28, 2019","1,659.32","1,659.03","1,661.07","1,637.62","-","0.02%"
"Aug 27, 2019","1,659.03","1,658.30","1,666.87","1,643.94","-","0.04%"
"Aug 26, 2019","1,658.30","1,640.77","1,663.06","1,634.81","-","0.97%"
"Aug 23, 2019","1,642.36","1,672.07","1,688.07","1,642.36","-","-1.78%"
"Aug 22, 2019","1,672.07","1,670.10","1,688.38","1,656.93","-","0.12%"
"Aug 21, 2019","1,670.10","1,639.75","1,671.70","1,639.75","-","1.85%"
"Aug 20, 2019","1,639.76","1,654.10","1,661.48","1,634.76","-","-0.86%"
"Aug 19, 2019","1,653.94","1,634.29","1,659.60","1,634.29","-","1.30%"
"Aug 16, 2019","1,632.70","1,606.76","1,634.58","1,606.76","-","1.61%"
"Aug 15, 2019","1,606.76","1,614.19","1,629.23","1,584.85","-","-0.47%"
"Aug 14, 2019","1,614.39","1,673.99","1,673.99","1,610.03","-","-3.56%"
"Aug 13, 2019","1,673.99","1,641.17","1,686.95","1,625.46","-","1.99%"
"Aug 12, 2019","1,641.25","1,642.91","1,666.35","1,634.47","-","-0.10%"
"Aug 09, 2019","1,642.83","1,685.49","1,685.49","1,642.41","-","-2.53%"
"Aug 08, 2019","1,685.50","1,633.71","1,685.50","1,633.71","-","3.17%"
"Aug 07, 2019","1,633.69","1,633.12","1,656.98","1,623.49","-","0.15%"
"Aug 06, 2019","1,631.23","1,639.37","1,665.45","1,631.23","-","-0.50%"
"Aug 05, 2019","1,639.37","1,665.18","1,665.18","1,631.59","-","-1.59%"
"Aug 02, 2019","1,665.82","1,743.67","1,743.67","1,658.52","-","-4.47%"
"Aug 01, 2019","1,743.81","1,730.56","1,744.88","1,722.80","-","0.77%"
"Jul 31, 2019","1,730.56","1,731.22","1,750.85","1,730.34","-","-0.04%"
"Jul 30, 2019","1,731.27","1,742.41","1,764.08","1,725.23","-","-0.64%"
"Jul 29, 2019","1,742.41","1,747.49","1,747.49","1,732.96","-","-0.29%"
"Jul 26, 2019","1,747.48","1,752.31","1,756.54","1,740.52","-","-0.27%"
"Jul 25, 2019","1,752.19","1,777.44","1,790.06","1,731.33","-","-1.42%"
"Jul 24, 2019","1,777.44","1,783.67","1,788.79","1,767.92","-","-0.33%"
"Jul 23, 2019","1,783.36","1,740.69","1,790.83","1,740.69","-","2.45%"
"Jul 22, 2019","1,740.71","1,719.74","1,747.23","1,719.74","-","1.25%"
"Jul 19, 2019","1,719.27","1,715.12","1,738.96","1,708.74","-","0.28%"
"Jul 18, 2019","1,714.49","1,730.41","1,730.41","1,713.87","-","-0.92%"
"Jul 17, 2019","1,730.41","1,752.63","1,752.63","1,725.30","-","-1.29%"
"Jul 16, 2019","1,753.04","1,734.85","1,755.48","1,734.85","-","1.04%"
"Jul 15, 2019","1,735.07","1,728.60","1,746.42","1,722.57","-","0.57%"
"Jul 12, 2019","1,725.23","1,702.57","1,732.82","1,702.57","-","1.33%"
"Jul 11, 2019","1,702.57","1,718.98","1,727.38","1,700.54","-","-0.95%"
"Jul 10, 2019","1,718.98","1,710.21","1,727.02","1,707.27","-","0.51%"
"Jul 09, 2019","1,710.21","1,739.14","1,739.14","1,698.53","-","-1.66%"
"Jul 08, 2019","1,739.16","1,737.04","1,751.19","1,727.14","-","0.12%"
"Jul 05, 2019","1,737.04","1,754.24","1,754.24","1,726.11","-","-0.98%"
"Jul 04, 2019","1,754.23","1,754.95","1,765.20","1,753.54","-","-0.04%"
"Jul 03, 2019","1,754.95","1,751.42","1,759.67","1,746.27","-","0.20%"
"Jul 02, 2019","1,751.42","1,762.39","1,769.07","1,740.85","-","-0.61%"
"Jul 01, 2019","1,762.21","1,760.21","1,792.17","1,760.21","-","0.16%"
"Jun 28, 2019","1,759.46","1,745.10","1,761.34","1,742.25","-","0.82%"
"Jun 27, 2019","1,745.10","1,734.48","1,750.53","1,733.00","-","0.73%"
"Jun 26, 2019","1,732.50","1,725.27","1,747.24","1,725.27","-","0.41%"
"Jun 25, 2019","1,725.34","1,724.47","1,730.24","1,711.83","-","0.04%"
"Jun 24, 2019","1,724.66","1,737.06","1,744.77","1,723.89","-","-0.71%"
"Jun 21, 2019","1,737.06","1,726.01","1,742.93","1,722.64","-","0.64%"
"Jun 20, 2019","1,726.01","1,723.88","1,762.47","1,723.88","-","0.13%"
"Jun 19, 2019","1,723.84","1,720.86","1,736.34","1,720.04","-","0.17%"
"Jun 18, 2019","1,720.86","1,669.71","1,720.86","1,660.60","-","3.06%"
