"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","3,036.16","3,049.20","3,072.60","3,024.93","-","-0.43%"
"Apr 29, 2020","3,049.20","3,017.10","3,053.22","2,992.56","-","1.06%"
"Apr 28, 2020","3,017.09","2,984.51","3,039.06","2,961.84","-","1.09%"
"Apr 27, 2020","2,984.51","2,915.69","2,984.51","2,915.69","-","2.36%"
"Apr 24, 2020","2,915.69","2,960.78","2,960.78","2,910.79","-","-1.52%"
"Apr 23, 2020","2,960.78","2,958.22","2,988.22","2,935.77","-","0.08%"
"Apr 22, 2020","2,958.31","2,937.17","2,968.54","2,937.17","-","0.75%"
"Apr 21, 2020","2,936.25","3,027.14","3,027.14","2,936.25","-","-3.12%"
"Apr 20, 2020","3,030.82","2,989.92","3,030.82","2,966.29","-","1.37%"
"Apr 17, 2020","2,989.91","2,895.60","3,025.07","2,895.60","-","3.26%"
"Apr 16, 2020","2,895.55","2,906.18","2,941.30","2,882.78","-","-0.11%"
"Apr 15, 2020","2,898.81","2,957.34","2,979.84","2,888.45","-","-1.98%"
"Apr 14, 2020","2,957.34","2,909.28","2,983.64","2,909.28","-","1.65%"
"Apr 09, 2020","2,909.28","2,868.27","2,936.50","2,857.04","-","1.43%"
"Apr 08, 2020","2,868.22","2,861.12","2,868.87","2,832.34","-","0.24%"
"Apr 07, 2020","2,861.47","2,818.13","2,904.73","2,818.13","-","1.76%"
"Apr 06, 2020","2,811.97","2,726.21","2,835.21","2,726.21","-","3.15%"
"Apr 03, 2020","2,726.19","2,740.47","2,749.40","2,713.81","-","-0.52%"
"Apr 02, 2020","2,740.48","2,729.56","2,753.29","2,686.60","-","0.40%"
"Apr 01, 2020","2,729.57","2,825.71","2,825.71","2,708.41","-","-3.40%"
"Mar 31, 2020","2,825.71","2,854.33","2,881.90","2,776.09","-","-1.00%"
"Mar 30, 2020","2,854.32","2,824.81","2,857.25","2,757.80","-","1.05%"
"Mar 27, 2020","2,824.76","2,987.51","2,987.51","2,798.51","-","-5.45%"
