"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","965.97","995.22","1,001.20","961.74","-","-2.94%"
"Apr 29, 2020","995.26","968.83","996.54","963.30","-","2.73%"
"Apr 28, 2020","968.81","964.58","981.23","961.61","-","0.44%"
"Apr 27, 2020","964.55","944.91","965.72","944.91","-","2.21%"
"Apr 24, 2020","943.69","955.99","955.99","941.13","-","-1.29%"
"Apr 23, 2020","955.99","960.83","964.79","948.26","-","-0.51%"
"Apr 22, 2020","960.87","981.52","981.52","951.93","-","-2.10%"
"Apr 21, 2020","981.50","1,017.61","1,017.61","980.73","-","-3.55%"
"Apr 20, 2020","1,017.61","1,004.85","1,021.28","1,004.85","-","1.27%"
"Apr 17, 2020","1,004.85","960.76","1,009.40","960.76","-","4.59%"
"Apr 16, 2020","960.76","972.76","984.74","956.34","-","-1.16%"
"Apr 15, 2020","972.02","1,006.68","1,011.71","971.03","-","-3.43%"
"Apr 14, 2020","1,006.54","1,000.93","1,018.56","998.95","-","0.68%"
"Apr 09, 2020","999.72","988.84","1,008.47","978.42","-","1.10%"
"Apr 08, 2020","988.85","986.45","988.85","970.39","-","0.24%"
"Apr 07, 2020","986.45","966.21","1,007.05","966.21","-","2.09%"
"Apr 06, 2020","966.21","930.88","967.16","930.88","-","3.82%"
"Apr 03, 2020","930.62","932.53","940.46","924.42","-","-0.29%"
"Apr 02, 2020","933.28","933.90","942.51","913.95","-","-0.07%"
"Apr 01, 2020","933.90","955.64","955.64","925.34","-","-2.60%"
"Mar 31, 2020","958.84","940.81","980.30","940.81","-","1.92%"
"Mar 30, 2020","940.80","944.95","948.56","912.65","-","-0.43%"
"Mar 27, 2020","944.86","984.11","984.11","937.64","-","-3.98%"
"Mar 26, 2020","983.99","951.36","983.99","928.98","-","3.42%"
"Mar 25, 2020","951.44","928.57","974.26","925.14","-","2.57%"
"Mar 24, 2020","927.63","858.50","927.63","858.50","-","8.07%"
"Mar 23, 2020","858.38","887.42","890.71","845.32","-","-3.27%"
"Mar 20, 2020","887.42","844.88","897.73","844.88","-","5.04%"
"Mar 19, 2020","844.86","820.33","861.05","816.43","-","2.99%"
"Mar 18, 2020","820.32","848.08","848.08","812.08","-","-3.28%"
"Mar 17, 2020","848.10","823.50","862.93","806.52","-","3.00%"
"Mar 16, 2020","823.40","883.52","883.52","782.36","-","-6.81%"
"Mar 13, 2020","883.55","853.66","952.60","853.58","-","3.50%"
"Mar 12, 2020","853.66","972.68","972.68","850.01","-","-12.25%"
"Mar 11, 2020","972.82","992.57","1,011.22","971.01","-","-1.99%"
"Mar 10, 2020","992.56","1,009.85","1,056.52","989.27","-","-1.65%"
"Mar 09, 2020","1,009.20","1,077.30","1,077.30","998.66","-","-6.32%"
"Mar 06, 2020","1,077.31","1,113.01","1,113.01","1,064.21","-","-3.24%"
"Mar 05, 2020","1,113.39","1,138.57","1,145.92","1,111.72","-","-2.21%"
"Mar 04, 2020","1,138.53","1,133.60","1,151.06","1,126.50","-","0.43%"
"Mar 03, 2020","1,133.62","1,126.33","1,153.79","1,126.33","-","0.76%"
"Mar 02, 2020","1,125.02","1,132.86","1,151.67","1,102.42","-","-0.69%"
"Feb 28, 2020","1,132.86","1,160.17","1,160.17","1,115.31","-","-2.35%"
"Feb 27, 2020","1,160.17","1,195.52","1,195.52","1,146.97","-","-3.01%"
"Feb 26, 2020","1,196.22","1,192.94","1,200.15","1,167.23","-","0.14%"
"Feb 25, 2020","1,194.53","1,214.29","1,220.51","1,191.10","-","-1.63%"
"Feb 24, 2020","1,214.29","1,260.44","1,260.44","1,203.15","-","-3.66%"
"Feb 21, 2020","1,260.44","1,265.76","1,266.30","1,252.30","-","-0.42%"
"Feb 20, 2020","1,265.81","1,283.32","1,283.32","1,265.74","-","-1.36%"
"Feb 19, 2020","1,283.29","1,270.33","1,284.40","1,269.01","-","1.02%"
"Feb 18, 2020","1,270.33","1,274.02","1,274.02","1,263.94","-","-0.29%"
"Feb 17, 2020","1,274.00","1,273.38","1,278.42","1,269.47","-","0.03%"
"Feb 14, 2020","1,273.61","1,285.23","1,290.97","1,272.72","-","-0.89%"
"Feb 13, 2020","1,285.08","1,285.81","1,285.81","1,263.06","-","-0.06%"
"Feb 12, 2020","1,285.90","1,253.25","1,287.57","1,253.25","-","2.60%"
"Feb 11, 2020","1,253.26","1,252.23","1,262.63","1,251.14","-","0.08%"
"Feb 10, 2020","1,252.23","1,255.35","1,255.73","1,247.48","-","-0.25%"
"Feb 07, 2020","1,255.35","1,265.86","1,265.96","1,249.15","-","-0.82%"
"Feb 06, 2020","1,265.79","1,260.50","1,272.01","1,260.50","-","0.42%"
"Feb 05, 2020","1,260.46","1,250.63","1,269.65","1,246.15","-","0.78%"
"Feb 04, 2020","1,250.65","1,228.55","1,252.17","1,228.55","-","1.80%"
"Feb 03, 2020","1,228.58","1,227.19","1,231.69","1,222.23","-","0.11%"
"Jan 31, 2020","1,227.20","1,232.68","1,242.71","1,225.26","-","-0.44%"
"Jan 30, 2020","1,232.68","1,249.32","1,249.32","1,225.33","-","-1.33%"
"Jan 29, 2020","1,249.28","1,249.31","1,255.98","1,242.96","-","0.00%"
"Jan 28, 2020","1,249.26","1,235.05","1,250.19","1,231.10","-","1.16%"
"Jan 27, 2020","1,234.93","1,239.80","1,240.86","1,225.81","-","-2.31%"
"Jan 24, 2020","1,264.13","1,260.54","1,276.30","1,260.54","-","0.29%"
"Jan 23, 2020","1,260.53","1,278.94","1,278.94","1,257.47","-","-1.44%"
"Jan 22, 2020","1,278.94","1,282.24","1,289.40","1,278.94","-","-0.26%"
"Jan 21, 2020","1,282.24","1,296.01","1,296.01","1,270.80","-","-1.06%"
"Jan 20, 2020","1,296.02","1,307.09","1,308.20","1,295.43","-","-0.85%"
"Jan 17, 2020","1,307.09","1,307.77","1,312.92","1,303.23","-","0.02%"
"Jan 16, 2020","1,306.86","1,299.79","1,310.25","1,298.45","-","0.54%"
"Jan 15, 2020","1,299.79","1,302.34","1,306.78","1,294.59","-","-0.20%"
"Jan 14, 2020","1,302.34","1,303.36","1,305.28","1,291.30","-","-0.08%"
"Jan 13, 2020","1,303.33","1,301.17","1,309.07","1,301.17","-","0.17%"
"Jan 10, 2020","1,301.08","1,306.64","1,309.90","1,300.00","-","-0.43%"
"Jan 09, 2020","1,306.64","1,312.12","1,319.74","1,304.93","-","-0.42%"
"Jan 08, 2020","1,312.12","1,309.68","1,312.12","1,293.95","-","0.19%"
"Jan 07, 2020","1,309.68","1,303.50","1,317.84","1,303.50","-","0.49%"
"Jan 06, 2020","1,303.34","1,318.71","1,318.71","1,292.16","-","-1.17%"
"Jan 03, 2020","1,318.71","1,321.62","1,321.62","1,309.05","-","-0.22%"
"Jan 02, 2020","1,321.56","1,303.98","1,324.53","1,303.98","-","1.35%"
"Dec 31, 2019","1,303.98","1,307.92","1,310.03","1,303.42","-","-0.29%"
"Dec 30, 2019","1,307.73","1,316.11","1,318.46","1,306.92","-","-0.65%"
"Dec 27, 2019","1,316.24","1,311.48","1,320.42","1,311.48","-","0.37%"
"Dec 24, 2019","1,311.45","1,305.77","1,313.08","1,305.32","-","0.44%"
"Dec 23, 2019","1,305.74","1,298.78","1,308.08","1,297.45","-","0.51%"
"Dec 20, 2019","1,299.12","1,293.69","1,299.93","1,289.33","-","0.42%"
"Dec 19, 2019","1,293.68","1,292.83","1,294.13","1,288.66","-","0.07%"
"Dec 18, 2019","1,292.77","1,291.39","1,296.26","1,288.41","-","0.02%"
"Dec 17, 2019","1,292.47","1,298.89","1,302.87","1,290.19","-","-0.49%"
"Dec 16, 2019","1,298.89","1,278.37","1,302.42","1,278.37","-","1.72%"
"Dec 13, 2019","1,276.98","1,262.21","1,284.40","1,262.21","-","1.17%"
"Dec 12, 2019","1,262.18","1,257.73","1,268.79","1,255.20","-","0.35%"
"Dec 11, 2019","1,257.73","1,252.05","1,261.73","1,249.82","-","0.45%"
"Dec 10, 2019","1,252.11","1,251.10","1,253.57","1,235.01","-","0.08%"
"Dec 09, 2019","1,251.10","1,252.71","1,256.06","1,250.75","-","-0.13%"
"Dec 06, 2019","1,252.72","1,237.15","1,252.84","1,237.15","-","1.27%"
"Dec 05, 2019","1,237.02","1,230.08","1,244.97","1,230.08","-","0.57%"
"Dec 04, 2019","1,230.06","1,219.72","1,235.99","1,219.42","-","0.85%"
"Dec 03, 2019","1,219.71","1,233.96","1,236.14","1,209.89","-","-1.16%"
"Dec 02, 2019","1,233.99","1,250.23","1,257.61","1,231.18","-","-1.30%"
"Nov 29, 2019","1,250.22","1,255.94","1,258.18","1,248.94","-","-0.46%"
"Nov 28, 2019","1,255.94","1,257.05","1,257.05","1,251.90","-","-0.09%"
"Nov 27, 2019","1,257.05","1,254.21","1,260.77","1,253.08","-","0.23%"
"Nov 26, 2019","1,254.20","1,253.61","1,257.58","1,251.19","-","0.05%"
"Nov 25, 2019","1,253.61","1,279.08","1,289.83","1,253.01","-","0.28%"
"Nov 22, 2019","1,250.13","1,247.51","1,291.22","1,247.51","-","0.21%"
"Nov 21, 2019","1,247.51","1,254.95","1,254.95","1,241.08","-","-0.59%"
"Nov 20, 2019","1,254.95","1,257.54","1,257.54","1,246.32","-","-0.21%"
"Nov 19, 2019","1,257.54","1,259.61","1,263.77","1,251.88","-","-0.16%"
"Nov 18, 2019","1,259.61","1,265.09","1,267.73","1,253.74","-","-0.43%"
"Nov 15, 2019","1,265.10","1,252.85","1,265.10","1,252.85","-","0.98%"
"Nov 14, 2019","1,252.85","1,251.55","1,257.31","1,247.85","-","0.10%"
"Nov 13, 2019","1,251.65","1,262.96","1,262.96","1,245.87","-","-0.90%"
"Nov 12, 2019","1,263.03","1,257.67","1,267.39","1,257.30","-","0.72%"
"Nov 11, 2019","1,253.98","1,251.40","1,258.08","1,242.18","-","0.20%"
"Nov 08, 2019","1,251.44","1,258.37","1,258.37","1,247.03","-","-0.55%"
"Nov 07, 2019","1,258.37","1,244.15","1,259.56","1,244.15","-","1.14%"
"Nov 06, 2019","1,244.16","1,253.84","1,253.84","1,243.38","-","-0.78%"
"Nov 05, 2019","1,253.88","1,250.04","1,253.88","1,247.64","-","0.31%"
"Nov 04, 2019","1,250.04","1,240.25","1,251.06","1,240.25","-","0.86%"
"Nov 01, 2019","1,239.33","1,232.67","1,244.31","1,232.67","-","0.54%"
"Oct 31, 2019","1,232.62","1,238.11","1,238.11","1,226.21","-","-0.44%"
"Oct 30, 2019","1,238.11","1,240.92","1,242.58","1,236.09","-","-0.37%"
"Oct 29, 2019","1,242.68","1,238.05","1,243.16","1,235.33","-","0.38%"
"Oct 28, 2019","1,238.03","1,236.92","1,241.89","1,235.40","-","0.08%"
"Oct 25, 2019","1,237.01","1,200.15","1,242.79","1,200.15","-","3.07%"
"Oct 24, 2019","1,200.15","1,208.33","1,216.78","1,198.09","-","-0.68%"
"Oct 23, 2019","1,208.35","1,203.61","1,209.68","1,193.87","-","0.39%"
"Oct 22, 2019","1,203.61","1,202.54","1,204.75","1,196.73","-","0.09%"
"Oct 21, 2019","1,202.54","1,194.30","1,206.06","1,194.30","-","0.69%"
"Oct 18, 2019","1,194.32","1,201.20","1,205.79","1,190.02","-","-0.57%"
"Oct 17, 2019","1,201.20","1,202.50","1,207.34","1,196.99","-","-0.11%"
"Oct 16, 2019","1,202.49","1,207.51","1,209.07","1,196.02","-","-0.42%"
"Oct 15, 2019","1,207.52","1,192.23","1,212.81","1,192.23","-","1.29%"
"Oct 14, 2019","1,192.19","1,193.38","1,193.38","1,181.45","-","-0.09%"
"Oct 11, 2019","1,193.22","1,186.84","1,194.45","1,178.77","-","0.52%"
"Oct 10, 2019","1,187.00","1,165.66","1,188.04","1,165.22","-","1.83%"
"Oct 09, 2019","1,165.66","1,160.16","1,169.28","1,157.13","-","0.48%"
"Oct 08, 2019","1,160.06","1,173.72","1,175.84","1,158.24","-","-1.17%"
"Oct 07, 2019","1,173.74","1,171.05","1,174.46","1,162.63","-","0.23%"
"Oct 04, 2019","1,171.04","1,159.37","1,171.04","1,157.64","-","1.01%"
"Oct 03, 2019","1,159.37","1,164.10","1,168.68","1,152.33","-","-0.41%"
"Oct 02, 2019","1,164.11","1,199.86","1,200.79","1,164.11","-","-2.98%"
"Oct 01, 2019","1,199.86","1,216.75","1,221.99","1,199.03","-","-1.20%"
"Sep 30, 2019","1,214.41","1,213.56","1,216.50","1,210.82","-","0.07%"
"Sep 27, 2019","1,213.56","1,207.85","1,215.77","1,207.85","-","0.47%"
"Sep 26, 2019","1,207.86","1,198.22","1,215.39","1,195.96","-","0.80%"
"Sep 25, 2019","1,198.23","1,202.76","1,203.12","1,184.91","-","-0.38%"
"Sep 24, 2019","1,202.76","1,200.50","1,207.83","1,200.46","-","0.19%"
"Sep 23, 2019","1,200.53","1,218.64","1,218.64","1,198.01","-","-1.49%"
"Sep 20, 2019","1,218.70","1,213.66","1,222.85","1,213.66","-","0.42%"
"Sep 19, 2019","1,213.66","1,206.46","1,215.42","1,206.46","-","0.60%"
"Sep 18, 2019","1,206.46","1,206.28","1,212.09","1,204.53","-","0.02%"
"Sep 17, 2019","1,206.27","1,213.05","1,214.12","1,199.86","-","-0.56%"
"Sep 16, 2019","1,213.05","1,221.68","1,221.68","1,210.07","-","-0.71%"
