"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","537.70","559.14","564.28","534.76","-","-3.83%"
"Apr 29, 2020","559.14","537.37","559.38","537.30","-","4.05%"
"Apr 28, 2020","537.37","516.04","543.00","516.04","-","4.13%"
"Apr 27, 2020","516.04","500.70","516.04","500.70","-","3.06%"
"Apr 24, 2020","500.70","508.62","508.62","496.64","-","-1.56%"
"Apr 23, 2020","508.62","497.71","512.59","497.71","-","2.19%"
"Apr 22, 2020","497.71","490.71","498.26","490.71","-","1.43%"
"Apr 21, 2020","490.71","504.27","504.27","490.71","-","-2.69%"
"Apr 20, 2020","504.27","506.73","512.65","499.15","-","-0.47%"
"Apr 17, 2020","506.63","493.13","513.22","493.13","-","2.76%"
"Apr 16, 2020","493.04","500.36","510.77","490.33","-","-1.46%"
"Apr 15, 2020","500.36","526.63","527.80","500.36","-","-4.99%"
"Apr 14, 2020","526.63","540.80","545.38","526.63","-","-2.37%"
"Apr 09, 2020","539.41","521.87","541.62","521.87","-","3.36%"
"Apr 08, 2020","521.87","523.39","523.39","510.24","-","-0.29%"
"Apr 07, 2020","523.39","502.53","533.80","502.53","-","4.15%"
"Apr 06, 2020","502.53","476.87","502.53","476.87","-","5.38%"
"Apr 03, 2020","476.87","498.35","498.35","476.87","-","-4.30%"
"Apr 02, 2020","498.31","498.50","505.12","489.61","-","-0.00%"
"Apr 01, 2020","498.33","525.11","525.11","498.03","-","-5.10%"
"Mar 31, 2020","525.11","524.40","539.92","517.55","-","0.14%"
"Mar 30, 2020","524.40","544.16","545.12","518.45","-","-3.63%"
"Mar 27, 2020","544.16","570.29","570.29","536.97","-","-4.78%"
"Mar 26, 2020","571.49","561.85","571.49","539.91","-","1.72%"
"Mar 25, 2020","561.85","535.87","570.97","535.87","-","4.88%"
"Mar 24, 2020","535.72","485.46","535.72","485.46","-","10.35%"
"Mar 23, 2020","485.46","507.42","507.42","481.31","-","-4.33%"
"Mar 20, 2020","507.42","472.07","512.91","472.07","-","7.53%"
"Mar 19, 2020","471.89","461.30","478.65","451.11","-","2.30%"
"Mar 18, 2020","461.30","484.99","484.99","455.12","-","-4.88%"
"Mar 17, 2020","484.99","480.68","501.90","458.99","-","0.90%"
"Mar 16, 2020","480.68","544.69","544.69","460.29","-","-11.86%"
"Mar 13, 2020","545.38","537.31","588.26","537.31","-","1.52%"
"Mar 12, 2020","537.24","624.89","624.89","537.24","-","-14.03%"
"Mar 11, 2020","624.89","623.89","649.67","619.28","-","0.16%"
"Mar 10, 2020","623.89","628.27","657.75","620.79","-","-0.42%"
"Mar 09, 2020","626.52","699.58","699.58","626.52","-","-10.44%"
"Mar 06, 2020","699.58","726.26","726.26","692.99","-","-3.79%"
"Mar 05, 2020","727.17","750.40","754.89","722.30","-","-3.10%"
"Mar 04, 2020","750.40","750.73","757.93","742.79","-","-0.04%"
"Mar 03, 2020","750.73","751.06","768.85","748.80","-","-0.04%"
"Mar 02, 2020","751.06","757.23","766.14","734.51","-","-0.81%"
"Feb 28, 2020","757.16","787.50","787.50","747.34","-","-3.85%"
"Feb 27, 2020","787.50","821.38","821.38","779.02","-","-4.13%"
"Feb 26, 2020","821.39","825.80","825.80","806.08","-","-0.53%"
"Feb 25, 2020","825.80","850.42","853.75","823.87","-","-2.90%"
"Feb 24, 2020","850.42","876.75","876.75","844.39","-","-3.00%"
"Feb 21, 2020","876.75","882.81","882.81","873.06","-","-0.69%"
"Feb 20, 2020","882.81","895.43","895.46","882.81","-","-1.41%"
"Feb 19, 2020","895.43","893.87","898.29","892.99","-","0.17%"
"Feb 18, 2020","893.88","898.51","898.51","892.32","-","-0.52%"
"Feb 17, 2020","898.51","895.05","899.70","895.05","-","0.39%"
"Feb 14, 2020","895.06","892.25","896.70","891.84","-","0.31%"
"Feb 13, 2020","892.25","890.00","892.29","883.96","-","0.25%"
"Feb 12, 2020","890.03","883.71","892.20","881.30","-","0.72%"
"Feb 11, 2020","883.71","874.84","884.47","874.84","-","1.01%"
"Feb 10, 2020","874.84","873.80","875.95","871.53","-","0.12%"
"Feb 07, 2020","873.80","866.02","873.80","863.67","-","0.90%"
"Feb 06, 2020","865.99","862.28","871.98","862.28","-","0.43%"
"Feb 05, 2020","862.28","851.90","864.19","850.78","-","1.22%"
"Feb 04, 2020","851.90","841.83","853.47","841.83","-","1.20%"
"Feb 03, 2020","841.83","838.86","846.27","837.33","-","0.35%"
"Jan 31, 2020","838.86","845.55","850.18","836.95","-","-0.79%"
"Jan 30, 2020","845.53","850.25","850.25","839.29","-","-0.59%"
"Jan 29, 2020","850.53","849.03","854.94","848.66","-","0.18%"
"Jan 28, 2020","849.02","843.78","851.26","839.67","-","0.63%"
"Jan 27, 2020","843.68","857.85","857.85","840.68","-","-1.65%"
"Jan 24, 2020","857.85","852.82","864.97","852.82","-","0.59%"
"Jan 23, 2020","852.82","857.61","860.31","848.85","-","-0.56%"
"Jan 22, 2020","857.61","859.43","864.25","855.33","-","-0.21%"
"Jan 21, 2020","859.39","860.85","862.40","853.07","-","-0.17%"
"Jan 20, 2020","860.84","861.02","863.83","858.45","-","-0.02%"
"Jan 17, 2020","861.02","858.05","862.75","858.05","-","0.35%"
"Jan 16, 2020","858.04","857.87","861.02","853.16","-","0.02%"
"Jan 15, 2020","857.88","866.54","866.79","855.31","-","-0.99%"
"Jan 14, 2020","866.46","868.15","869.04","860.83","-","-0.19%"
"Jan 13, 2020","868.15","869.84","873.02","865.73","-","-0.19%"
"Jan 10, 2020","869.84","873.28","875.19","869.10","-","-0.39%"
"Jan 09, 2020","873.28","873.58","880.46","871.61","-","-0.03%"
"Jan 08, 2020","873.58","875.17","875.17","867.11","-","-0.18%"
"Jan 07, 2020","875.17","871.65","877.74","871.65","-","0.41%"
"Jan 06, 2020","871.62","880.09","880.09","862.26","-","-0.96%"
"Jan 03, 2020","880.09","883.00","883.00","874.39","-","-0.33%"
"Jan 02, 2020","883.00","871.91","885.96","871.91","-","1.27%"
"Dec 31, 2019","871.90","871.05","871.90","867.43","-","0.10%"
"Dec 30, 2019","871.05","874.12","876.02","871.05","-","-0.35%"
"Dec 27, 2019","874.12","873.33","877.20","872.97","-","0.08%"
"Dec 24, 2019","873.38","873.19","873.87","870.70","-","0.02%"
"Dec 23, 2019","873.19","875.09","875.09","869.76","-","-0.22%"
"Dec 20, 2019","875.12","870.91","875.15","869.54","-","0.48%"
"Dec 19, 2019","870.92","870.41","871.72","866.92","-","0.06%"
"Dec 18, 2019","870.43","869.69","871.19","867.33","-","0.08%"
"Dec 17, 2019","869.71","868.72","870.48","863.33","-","0.05%"
"Dec 16, 2019","869.28","860.85","870.61","860.85","-","0.98%"
"Dec 13, 2019","860.85","857.58","874.89","857.58","-","0.38%"
"Dec 12, 2019","857.58","850.35","861.32","847.22","-","0.85%"
"Dec 11, 2019","850.35","852.29","852.83","848.34","-","-0.23%"
"Dec 10, 2019","852.29","854.23","854.23","845.49","-","-0.23%"
"Dec 09, 2019","854.23","854.82","857.34","852.78","-","-0.07%"
"Dec 06, 2019","854.82","847.52","856.52","847.52","-","0.86%"
"Dec 05, 2019","847.52","844.80","853.47","844.80","-","0.34%"
"Dec 04, 2019","844.68","834.01","846.77","834.01","-","1.28%"
"Dec 03, 2019","834.01","843.74","847.97","830.13","-","-1.15%"
"Dec 02, 2019","843.74","850.70","858.58","842.12","-","-0.82%"
"Nov 29, 2019","850.71","853.06","853.93","849.53","-","-0.28%"
"Nov 28, 2019","853.12","856.43","856.43","851.61","-","-0.39%"
"Nov 27, 2019","856.43","856.86","858.63","855.72","-","-0.05%"
"Nov 26, 2019","856.85","858.91","859.81","855.73","-","-0.24%"
"Nov 25, 2019","858.94","858.04","863.73","858.04","-","0.18%"
"Nov 22, 2019","857.43","854.37","861.84","854.20","-","0.36%"
"Nov 21, 2019","854.37","853.83","855.66","846.99","-","0.04%"
"Nov 20, 2019","854.01","856.87","856.87","846.64","-","-0.35%"
"Nov 19, 2019","857.02","856.98","864.26","855.43","-","0.00%"
"Nov 18, 2019","856.98","856.66","861.35","850.75","-","0.04%"
"Nov 15, 2019","856.65","853.94","858.80","851.10","-","0.32%"
"Nov 14, 2019","853.94","851.29","854.96","848.07","-","0.29%"
"Nov 13, 2019","851.49","860.15","860.15","847.33","-","-1.01%"
"Nov 12, 2019","860.15","857.26","861.69","855.32","-","0.34%"
"Nov 11, 2019","857.26","856.13","859.44","850.03","-","0.13%"
"Nov 08, 2019","856.12","862.75","862.75","851.99","-","-0.77%"
"Nov 07, 2019","862.75","847.45","862.75","847.45","-","1.81%"
"Nov 06, 2019","847.45","842.06","853.28","842.06","-","0.64%"
"Nov 05, 2019","842.06","835.38","843.55","835.38","-","0.80%"
"Nov 04, 2019","835.38","824.52","837.07","824.52","-","1.32%"
"Nov 01, 2019","824.48","819.26","827.66","819.26","-","0.64%"
"Oct 31, 2019","819.27","821.18","822.21","812.87","-","-0.23%"
"Oct 30, 2019","821.18","829.94","830.15","815.26","-","-1.05%"
"Oct 29, 2019","829.93","830.56","831.70","824.91","-","-0.08%"
"Oct 28, 2019","830.56","828.89","831.80","827.44","-","0.20%"
"Oct 25, 2019","828.89","828.36","829.84","820.90","-","0.06%"
"Oct 24, 2019","828.36","827.08","832.30","826.00","-","0.15%"
"Oct 23, 2019","827.08","824.46","827.83","817.81","-","0.32%"
"Oct 22, 2019","824.46","824.40","825.74","818.88","-","0.01%"
"Oct 21, 2019","824.37","815.40","828.23","815.40","-","1.10%"
"Oct 18, 2019","815.44","817.05","818.48","812.43","-","-0.20%"
"Oct 17, 2019","817.08","816.44","827.08","812.34","-","0.06%"
"Oct 16, 2019","816.57","814.81","818.99","807.86","-","0.22%"
"Oct 15, 2019","814.81","802.17","815.53","800.73","-","1.73%"
"Oct 14, 2019","800.92","802.57","802.57","792.54","-","-0.21%"
"Oct 11, 2019","802.57","778.41","803.37","778.41","-","3.10%"
"Oct 10, 2019","778.41","766.75","779.69","765.59","-","1.52%"
"Oct 09, 2019","766.74","763.44","768.71","761.25","-","0.43%"
