"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,741.71","1,752.22","1,770.37","1,731.87","-","-0.60%"
"Apr 29, 2020","1,752.21","1,761.13","1,762.17","1,737.68","-","-0.51%"
"Apr 28, 2020","1,761.14","1,766.02","1,777.65","1,755.54","-","-0.28%"
"Apr 27, 2020","1,766.02","1,714.06","1,776.27","1,714.06","-","3.03%"
"Apr 24, 2020","1,714.06","1,702.94","1,735.28","1,678.13","-","0.25%"
"Apr 23, 2020","1,709.75","1,692.70","1,729.34","1,690.68","-","1.01%"
"Apr 22, 2020","1,692.70","1,678.06","1,699.60","1,672.78","-","0.87%"
"Apr 21, 2020","1,678.06","1,691.25","1,703.95","1,670.90","-","-0.79%"
"Apr 20, 2020","1,691.39","1,665.38","1,692.50","1,650.58","-","1.56%"
"Apr 17, 2020","1,665.35","1,620.08","1,666.27","1,620.08","-","2.79%"
"Apr 16, 2020","1,620.08","1,602.82","1,639.11","1,602.82","-","1.12%"
"Apr 15, 2020","1,602.19","1,621.41","1,645.77","1,599.18","-","-1.19%"
"Apr 14, 2020","1,621.41","1,597.33","1,644.57","1,597.33","-","1.51%"
"Apr 09, 2020","1,597.33","1,592.71","1,619.12","1,577.06","-","0.29%"
"Apr 08, 2020","1,592.72","1,611.28","1,611.28","1,572.35","-","-1.10%"
"Apr 07, 2020","1,610.37","1,607.08","1,638.53","1,583.51","-","0.20%"
"Apr 06, 2020","1,607.08","1,533.65","1,614.73","1,533.65","-","4.79%"
"Apr 03, 2020","1,533.65","1,524.88","1,546.14","1,524.88","-","0.58%"
"Apr 02, 2020","1,524.87","1,509.76","1,537.20","1,498.91","-","1.00%"
"Apr 01, 2020","1,509.75","1,535.18","1,535.18","1,468.91","-","-1.66%"
"Mar 31, 2020","1,535.29","1,530.16","1,567.24","1,503.64","-","0.34%"
"Mar 30, 2020","1,530.16","1,499.60","1,541.49","1,464.92","-","2.04%"
"Mar 27, 2020","1,499.61","1,535.43","1,544.23","1,483.23","-","-2.33%"
"Mar 26, 2020","1,535.43","1,527.93","1,535.43","1,478.86","-","0.49%"
"Mar 25, 2020","1,527.94","1,496.46","1,527.94","1,461.32","-","2.15%"
"Mar 24, 2020","1,495.84","1,419.91","1,513.07","1,419.91","-","5.36%"
"Mar 23, 2020","1,419.77","1,477.48","1,480.80","1,395.88","-","-3.91%"
"Mar 20, 2020","1,477.48","1,470.33","1,551.39","1,464.44","-","0.49%"
"Mar 19, 2020","1,470.31","1,436.42","1,534.74","1,406.19","-","2.36%"
"Mar 18, 2020","1,436.39","1,446.65","1,447.54","1,353.44","-","-0.71%"
"Mar 17, 2020","1,446.67","1,426.40","1,499.56","1,382.20","-","1.60%"
"Mar 16, 2020","1,423.82","1,425.40","1,438.44","1,292.83","-","-0.12%"
"Mar 13, 2020","1,425.50","1,420.02","1,518.43","1,395.62","-","0.38%"
"Mar 12, 2020","1,420.05","1,541.17","1,541.17","1,398.53","-","-7.87%"
"Mar 11, 2020","1,541.29","1,523.67","1,571.77","1,523.67","-","1.16%"
"Mar 10, 2020","1,523.67","1,568.27","1,610.13","1,520.30","-","-2.84%"
"Mar 09, 2020","1,568.15","1,662.18","1,662.18","1,534.71","-","-5.66%"
"Mar 06, 2020","1,662.19","1,742.20","1,742.20","1,653.99","-","-4.59%"
"Mar 05, 2020","1,742.22","1,761.53","1,773.65","1,731.68","-","-1.10%"
"Mar 04, 2020","1,761.51","1,713.93","1,761.51","1,712.07","-","2.78%"
"Mar 03, 2020","1,713.93","1,680.86","1,748.76","1,680.86","-","1.97%"
"Mar 02, 2020","1,680.86","1,668.82","1,714.48","1,649.24","-","0.72%"
"Feb 28, 2020","1,668.82","1,736.35","1,736.35","1,644.40","-","-3.90%"
"Feb 27, 2020","1,736.59","1,782.54","1,782.54","1,712.73","-","-2.58%"
"Feb 26, 2020","1,782.54","1,782.43","1,785.21","1,721.39","-","0.01%"
"Feb 25, 2020","1,782.43","1,810.05","1,832.81","1,778.26","-","-1.53%"
"Feb 24, 2020","1,810.07","1,867.07","1,867.07","1,788.13","-","-3.05%"
"Feb 21, 2020","1,867.07","1,863.90","1,873.09","1,850.50","-","0.17%"
"Feb 20, 2020","1,863.89","1,877.24","1,881.22","1,863.89","-","-0.71%"
"Feb 19, 2020","1,877.24","1,862.46","1,887.67","1,862.46","-","0.79%"
"Feb 18, 2020","1,862.48","1,843.21","1,866.80","1,833.49","-","1.04%"
"Feb 17, 2020","1,843.32","1,837.91","1,844.62","1,832.89","-","0.29%"
"Feb 14, 2020","1,837.91","1,837.14","1,844.74","1,826.15","-","0.04%"
"Feb 13, 2020","1,837.12","1,842.69","1,842.69","1,820.70","-","-0.30%"
