"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,638.79","1,676.67","1,719.90","1,637.04","-","-2.26%"
"Apr 29, 2020","1,676.67","1,617.86","1,676.67","1,614.52","-","3.64%"
"Apr 28, 2020","1,617.86","1,586.48","1,629.04","1,583.61","-","1.98%"
"Apr 27, 2020","1,586.48","1,554.05","1,586.48","1,554.05","-","2.09%"
"Apr 24, 2020","1,554.05","1,583.09","1,583.09","1,551.51","-","-1.83%"
"Apr 23, 2020","1,583.08","1,565.00","1,592.27","1,557.26","-","1.15%"
"Apr 22, 2020","1,565.03","1,540.77","1,569.23","1,540.77","-","1.57%"
"Apr 21, 2020","1,540.77","1,618.87","1,618.87","1,540.77","-","-4.84%"
"Apr 20, 2020","1,619.15","1,619.20","1,634.13","1,588.36","-","0.06%"
"Apr 17, 2020","1,618.17","1,538.78","1,638.25","1,538.78","-","5.16%"
"Apr 16, 2020","1,538.78","1,547.93","1,582.94","1,529.59","-","-0.59%"
"Apr 15, 2020","1,547.90","1,646.15","1,648.44","1,545.58","-","-5.96%"
"Apr 14, 2020","1,645.95","1,649.82","1,668.02","1,632.20","-","-0.24%"
"Apr 09, 2020","1,649.90","1,616.90","1,666.46","1,597.82","-","2.04%"
"Apr 08, 2020","1,616.91","1,595.27","1,616.91","1,556.83","-","1.36%"
"Apr 07, 2020","1,595.27","1,546.51","1,637.97","1,546.51","-","3.15%"
"Apr 06, 2020","1,546.51","1,441.11","1,546.51","1,441.11","-","7.32%"
"Apr 03, 2020","1,441.03","1,466.70","1,477.82","1,439.95","-","-1.75%"
"Apr 02, 2020","1,466.70","1,470.01","1,500.76","1,457.55","-","-0.23%"
"Apr 01, 2020","1,470.03","1,576.15","1,576.15","1,470.03","-","-7.26%"
"Mar 31, 2020","1,585.17","1,582.79","1,626.79","1,561.41","-","0.15%"
"Mar 30, 2020","1,582.79","1,622.92","1,632.31","1,554.27","-","-2.47%"
"Mar 27, 2020","1,622.92","1,698.70","1,698.70","1,597.64","-","-4.46%"
"Mar 26, 2020","1,698.69","1,593.07","1,698.69","1,563.35","-","6.62%"
"Mar 25, 2020","1,593.27","1,518.51","1,626.88","1,496.38","-","4.95%"
"Mar 24, 2020","1,518.12","1,400.57","1,518.12","1,400.57","-","8.40%"
"Mar 23, 2020","1,400.46","1,499.37","1,499.37","1,391.09","-","-6.60%"
"Mar 20, 2020","1,499.37","1,366.47","1,521.22","1,366.47","-","9.73%"
"Mar 19, 2020","1,366.47","1,302.03","1,375.54","1,294.41","-","4.96%"
"Mar 18, 2020","1,301.90","1,453.06","1,453.06","1,293.87","-","-10.40%"
"Mar 17, 2020","1,453.05","1,457.86","1,522.13","1,396.37","-","-0.32%"
"Mar 16, 2020","1,457.78","1,599.56","1,599.56","1,356.98","-","-8.93%"
"Mar 13, 2020","1,600.65","1,579.88","1,706.48","1,570.84","-","1.31%"
"Mar 12, 2020","1,579.88","1,843.81","1,843.81","1,573.74","-","-14.31%"
"Mar 11, 2020","1,843.81","1,876.40","1,923.63","1,840.82","-","-1.74%"
"Mar 10, 2020","1,876.40","1,907.09","1,982.93","1,874.65","-","-1.61%"
"Mar 09, 2020","1,907.08","2,050.76","2,050.76","1,899.49","-","-7.50%"
"Mar 06, 2020","2,061.61","2,174.16","2,174.16","2,057.83","-","-5.26%"
"Mar 05, 2020","2,175.98","2,220.24","2,236.27","2,162.33","-","-1.99%"
"Mar 04, 2020","2,220.24","2,205.60","2,235.01","2,193.35","-","0.66%"
"Mar 03, 2020","2,205.60","2,157.45","2,240.16","2,157.45","-","2.23%"
"Mar 02, 2020","2,157.44","2,155.94","2,200.23","2,103.71","-","0.07%"
"Feb 28, 2020","2,155.93","2,253.61","2,253.61","2,132.89","-","-4.34%"
"Feb 27, 2020","2,253.66","2,324.87","2,324.87","2,222.24","-","-3.10%"
"Feb 26, 2020","2,325.72","2,330.70","2,336.52","2,255.74","-","-0.21%"
"Feb 25, 2020","2,330.69","2,371.44","2,385.23","2,329.06","-","-1.72%"
"Feb 24, 2020","2,371.44","2,467.83","2,467.83","2,357.17","-","-3.91%"
"Feb 21, 2020","2,467.86","2,479.94","2,481.92","2,457.14","-","-0.49%"
"Feb 20, 2020","2,479.94","2,470.91","2,502.28","2,470.91","-","0.37%"
"Feb 19, 2020","2,470.90","2,453.98","2,470.90","2,453.98","-","0.69%"
"Feb 18, 2020","2,453.97","2,468.03","2,468.03","2,448.50","-","-0.57%"
"Feb 17, 2020","2,468.02","2,453.97","2,468.02","2,442.08","-","0.57%"
"Feb 14, 2020","2,453.97","2,459.49","2,463.34","2,451.80","-","-0.22%"
"Feb 13, 2020","2,459.49","2,471.48","2,481.11","2,447.70","-","-0.49%"
"Feb 12, 2020","2,471.48","2,472.02","2,479.75","2,466.44","-","-0.02%"
"Feb 11, 2020","2,472.02","2,455.33","2,475.94","2,455.33","-","0.68%"
"Feb 10, 2020","2,455.35","2,459.59","2,461.18","2,445.88","-","-0.17%"
"Feb 07, 2020","2,459.59","2,458.76","2,464.99","2,453.46","-","0.03%"
"Feb 06, 2020","2,458.73","2,458.06","2,476.17","2,452.32","-","0.03%"
"Feb 05, 2020","2,458.06","2,442.54","2,472.34","2,438.78","-","0.58%"
"Feb 04, 2020","2,443.98","2,410.25","2,444.00","2,410.25","-","1.40%"
"Feb 03, 2020","2,410.25","2,397.43","2,415.00","2,393.54","-","0.53%"
"Jan 31, 2020","2,397.45","2,418.22","2,430.09","2,393.06","-","-0.86%"
"Jan 30, 2020","2,418.21","2,447.56","2,447.56","2,410.49","-","-1.20%"
"Jan 29, 2020","2,447.56","2,417.64","2,453.05","2,416.19","-","1.24%"
"Jan 28, 2020","2,417.64","2,398.86","2,423.89","2,397.26","-","0.78%"
"Jan 27, 2020","2,398.86","2,457.19","2,457.19","2,395.34","-","-2.37%"
"Jan 24, 2020","2,457.19","2,420.37","2,463.80","2,420.37","-","1.54%"
"Jan 23, 2020","2,420.04","2,432.17","2,440.67","2,419.06","-","-0.50%"
"Jan 22, 2020","2,432.13","2,436.34","2,449.99","2,432.13","-","-0.17%"
"Jan 21, 2020","2,436.34","2,449.52","2,449.52","2,422.81","-","-0.54%"
"Jan 20, 2020","2,449.52","2,446.20","2,451.92","2,439.39","-","0.14%"
"Jan 17, 2020","2,446.21","2,412.58","2,449.14","2,412.58","-","1.39%"
"Jan 16, 2020","2,412.60","2,411.38","2,421.50","2,407.13","-","0.05%"
"Jan 15, 2020","2,411.40","2,412.79","2,421.21","2,402.65","-","-0.08%"
"Jan 14, 2020","2,413.45","2,406.38","2,415.39","2,391.26","-","0.29%"
"Jan 13, 2020","2,406.38","2,403.78","2,415.68","2,403.17","-","0.11%"
