"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","579.73","595.59","609.26","573.75","-","-2.65%"
"Apr 29, 2020","595.54","594.72","600.55","581.96","-","3.20%"
"Apr 28, 2020","577.09","567.30","580.16","559.32","-","1.73%"
"Apr 27, 2020","567.27","562.01","570.10","552.34","-","0.94%"
"Apr 24, 2020","561.99","571.85","576.41","552.97","-","-1.72%"
"Apr 23, 2020","571.85","548.70","583.59","548.70","-","4.04%"
"Apr 22, 2020","549.64","525.28","557.36","519.60","-","4.64%"
"Apr 21, 2020","525.26","545.79","545.79","517.72","-","-3.76%"
"Apr 20, 2020","545.79","541.82","546.96","526.04","-","-0.46%"
"Apr 17, 2020","548.31","530.89","558.51","530.89","-","3.32%"
"Apr 16, 2020","530.68","541.46","549.05","525.18","-","-1.98%"
"Apr 15, 2020","541.40","576.59","576.59","530.50","-","-6.10%"
"Apr 14, 2020","576.55","604.76","604.76","573.31","-","-2.81%"
"Apr 09, 2020","593.22","595.78","611.83","582.75","-","-0.42%"
"Apr 08, 2020","595.74","600.71","600.71","575.95","-","-0.82%"
"Apr 07, 2020","600.69","592.24","613.43","589.48","-","1.61%"
"Apr 06, 2020","591.18","585.07","608.72","578.94","-","1.06%"
"Apr 03, 2020","584.97","630.15","630.17","580.78","-","-7.17%"
"Apr 02, 2020","630.15","620.79","655.27","619.10","-","3.53%"
"Apr 01, 2020","608.68","577.57","621.29","577.57","-","-0.82%"
"Mar 31, 2020","613.72","582.58","613.72","582.58","-","5.34%"
"Mar 30, 2020","582.59","562.16","582.74","540.82","-","3.63%"
"Mar 27, 2020","562.17","576.66","576.66","542.71","-","-2.51%"
"Mar 26, 2020","576.66","572.99","576.79","536.12","-","0.64%"
"Mar 25, 2020","572.97","533.20","576.63","528.86","-","7.47%"
"Mar 24, 2020","533.15","467.49","533.15","467.49","-","14.09%"
"Mar 23, 2020","467.30","443.86","503.28","423.94","-","5.28%"
"Mar 20, 2020","443.87","398.12","456.33","398.12","-","11.51%"
"Mar 19, 2020","398.07","388.18","429.91","375.92","-","2.55%"
"Mar 18, 2020","388.18","444.46","444.46","382.11","-","-12.66%"
"Mar 17, 2020","444.46","433.16","464.07","419.81","-","2.66%"
"Mar 16, 2020","432.95","462.40","462.40","414.33","-","-6.37%"
"Mar 13, 2020","462.41","482.49","518.10","457.59","-","-1.81%"
"Mar 12, 2020","470.95","550.58","550.58","466.19","-","-14.47%"
"Mar 11, 2020","550.61","560.36","588.37","550.57","-","-1.73%"
"Mar 10, 2020","560.30","554.05","605.42","551.57","-","1.14%"
"Mar 09, 2020","553.96","666.19","666.19","553.96","-","-16.85%"
"Mar 06, 2020","666.20","701.86","701.86","663.61","-","-5.08%"
"Mar 05, 2020","701.85","719.00","722.40","698.12","-","-2.37%"
"Mar 04, 2020","718.91","710.22","725.67","704.39","-","1.23%"
"Mar 03, 2020","710.20","705.51","727.85","704.47","-","0.66%"
"Mar 02, 2020","705.51","694.46","719.42","685.06","-","1.59%"
"Feb 28, 2020","694.46","719.64","719.64","684.47","-","-3.50%"
"Feb 27, 2020","719.64","743.52","743.52","707.25","-","-3.22%"
"Feb 26, 2020","743.58","743.09","747.19","730.66","-","-0.00%"
"Feb 25, 2020","743.59","763.90","767.67","741.91","-","-2.66%"
"Feb 24, 2020","763.91","802.28","802.28","760.52","-","-4.78%"
"Feb 21, 2020","802.28","811.67","811.67","795.16","-","-1.16%"
