"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,220.21","1,253.28","1,266.93","1,220.21","-","-2.64%"
"Apr 29, 2020","1,253.28","1,233.23","1,256.74","1,226.56","-","1.63%"
"Apr 28, 2020","1,233.22","1,226.79","1,253.42","1,226.58","-","0.52%"
"Apr 27, 2020","1,226.89","1,191.97","1,226.89","1,191.97","-","2.93%"
"Apr 24, 2020","1,191.96","1,196.86","1,207.59","1,171.61","-","-0.42%"
"Apr 23, 2020","1,196.99","1,180.39","1,204.82","1,180.39","-","1.41%"
"Apr 22, 2020","1,180.39","1,136.88","1,185.31","1,136.88","-","3.83%"
"Apr 21, 2020","1,136.85","1,184.03","1,184.03","1,136.85","-","-3.98%"
"Apr 20, 2020","1,184.03","1,184.34","1,196.03","1,167.62","-","-0.03%"
"Apr 17, 2020","1,184.34","1,162.48","1,199.33","1,162.48","-","1.88%"
"Apr 16, 2020","1,162.47","1,127.55","1,177.04","1,127.55","-","3.10%"
"Apr 15, 2020","1,127.55","1,170.16","1,172.10","1,127.55","-","-3.66%"
"Apr 14, 2020","1,170.34","1,174.01","1,189.33","1,170.34","-","-0.31%"
"Apr 09, 2020","1,173.96","1,135.75","1,177.08","1,135.75","-","3.36%"
"Apr 08, 2020","1,135.75","1,105.04","1,135.75","1,100.28","-","2.78%"
"Apr 07, 2020","1,105.03","1,077.36","1,128.72","1,077.36","-","2.57%"
"Apr 06, 2020","1,077.35","1,034.21","1,077.35","1,034.21","-","4.87%"
"Apr 03, 2020","1,027.29","1,064.01","1,064.40","1,026.60","-","-3.45%"
"Apr 02, 2020","1,064.01","1,096.44","1,097.22","1,058.37","-","-2.96%"
"Apr 01, 2020","1,096.44","1,131.69","1,131.69","1,089.49","-","-3.10%"
"Mar 31, 2020","1,131.49","1,111.70","1,140.42","1,097.99","-","1.78%"
"Mar 30, 2020","1,111.70","1,098.41","1,115.34","1,082.34","-","1.36%"
"Mar 27, 2020","1,096.75","1,115.32","1,116.13","1,082.79","-","-1.66%"
"Mar 26, 2020","1,115.32","1,091.81","1,115.32","1,056.78","-","1.74%"
"Mar 25, 2020","1,096.27","1,081.15","1,151.69","1,070.76","-","1.40%"
"Mar 24, 2020","1,081.15","968.86","1,081.15","968.86","-","11.59%"
"Mar 23, 2020","968.86","1,011.21","1,011.21","935.01","-","-4.18%"
"Mar 20, 2020","1,011.16","917.28","1,017.71","917.28","-","10.46%"
"Mar 19, 2020","915.40","912.92","986.74","882.94","-","0.27%"
"Mar 18, 2020","912.92","930.64","946.51","907.36","-","-1.90%"
"Mar 17, 2020","930.64","947.51","984.16","908.50","-","-1.77%"
"Mar 16, 2020","947.37","1,046.31","1,046.31","901.16","-","-9.49%"
"Mar 13, 2020","1,046.66","1,039.10","1,114.75","1,032.04","-","0.73%"
"Mar 12, 2020","1,039.10","1,159.40","1,159.40","1,039.10","-","-10.38%"
"Mar 11, 2020","1,159.47","1,180.87","1,199.97","1,157.14","-","-1.81%"
"Mar 10, 2020","1,180.89","1,187.36","1,233.91","1,176.83","-","-0.54%"
"Mar 09, 2020","1,187.36","1,273.08","1,273.08","1,180.09","-","-6.73%"
"Mar 06, 2020","1,273.08","1,315.40","1,315.40","1,261.48","-","-3.22%"
"Mar 05, 2020","1,315.40","1,331.65","1,345.73","1,308.83","-","-1.22%"
"Mar 04, 2020","1,331.65","1,329.62","1,347.86","1,322.93","-","0.15%"
"Mar 03, 2020","1,329.63","1,312.10","1,356.66","1,312.10","-","1.34%"
"Mar 02, 2020","1,312.11","1,324.19","1,350.05","1,289.01","-","-0.91%"
"Feb 28, 2020","1,324.19","1,353.94","1,353.94","1,290.90","-","-2.20%"
"Feb 27, 2020","1,353.94","1,403.09","1,403.09","1,334.40","-","-3.50%"
"Feb 26, 2020","1,403.09","1,395.21","1,410.12","1,350.40","-","0.56%"
"Feb 25, 2020","1,395.22","1,421.49","1,436.88","1,391.43","-","-1.84%"
"Feb 24, 2020","1,421.38","1,475.22","1,475.22","1,400.82","-","-3.65%"
"Feb 21, 2020","1,475.23","1,479.22","1,491.02","1,467.40","-","-0.28%"
"Feb 20, 2020","1,479.34","1,500.17","1,502.73","1,479.34","-","-1.39%"
"Feb 19, 2020","1,500.18","1,482.51","1,500.18","1,482.51","-","1.19%"
"Feb 18, 2020","1,482.51","1,485.79","1,485.79","1,460.34","-","-0.22%"
"Feb 17, 2020","1,485.79","1,492.97","1,497.78","1,479.96","-","-0.48%"
"Feb 14, 2020","1,492.96","1,491.46","1,495.00","1,483.90","-","0.10%"
"Feb 13, 2020","1,491.46","1,491.28","1,491.46","1,469.38","-","0.01%"
"Feb 12, 2020","1,491.28","1,486.53","1,496.08","1,481.25","-","0.32%"
"Feb 11, 2020","1,486.53","1,476.34","1,488.26","1,476.11","-","0.69%"
"Feb 10, 2020","1,476.34","1,470.53","1,477.51","1,457.59","-","0.40%"
"Feb 07, 2020","1,470.53","1,487.98","1,487.98","1,466.95","-","-1.16%"
"Feb 06, 2020","1,487.76","1,480.85","1,489.65","1,463.78","-","0.47%"
"Feb 05, 2020","1,480.83","1,462.65","1,490.69","1,462.65","-","1.24%"
"Feb 04, 2020","1,462.65","1,443.69","1,464.24","1,443.69","-","1.31%"
"Feb 03, 2020","1,443.68","1,415.25","1,444.13","1,415.25","-","2.01%"
"Jan 31, 2020","1,415.28","1,436.64","1,447.95","1,414.07","-","-1.49%"
"Jan 30, 2020","1,436.63","1,462.10","1,462.10","1,429.03","-","-1.74%"
"Jan 29, 2020","1,462.12","1,457.97","1,472.25","1,456.29","-","0.28%"
