"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","431.55","435.25","443.80","429.11","-","-0.85%"
"Apr 29, 2020","435.25","414.17","436.17","413.07","-","5.42%"
"Apr 28, 2020","412.87","408.52","415.24","404.59","-","1.11%"
"Apr 27, 2020","408.35","408.50","414.04","403.02","-","0.84%"
"Apr 24, 2020","404.94","406.51","409.88","397.75","-","-0.38%"
"Apr 23, 2020","406.49","400.88","408.92","399.50","-","1.42%"
"Apr 22, 2020","400.79","398.79","403.31","395.41","-","0.58%"
"Apr 21, 2020","398.49","414.70","414.70","397.61","-","-3.93%"
"Apr 20, 2020","414.77","424.16","426.50","412.80","-","-1.86%"
"Apr 17, 2020","422.61","412.74","427.45","412.74","-","2.56%"
"Apr 16, 2020","412.05","419.98","419.98","409.22","-","-1.85%"
"Apr 15, 2020","419.80","435.66","439.03","419.80","-","-3.66%"
"Apr 14, 2020","435.77","439.69","446.35","434.39","-","-0.88%"
"Apr 09, 2020","439.65","424.10","439.66","424.10","-","3.66%"
"Apr 08, 2020","424.11","423.81","425.67","417.68","-","0.04%"
"Apr 07, 2020","423.94","418.15","437.27","418.15","-","2.44%"
"Apr 06, 2020","413.83","399.65","419.02","399.65","-","3.73%"
"Apr 03, 2020","398.94","401.91","404.55","394.31","-","-0.92%"
"Apr 02, 2020","402.65","396.04","405.57","393.61","-","1.71%"
"Apr 01, 2020","395.88","413.46","413.46","395.42","-","-4.28%"
"Mar 31, 2020","413.60","415.34","427.32","406.82","-","0.43%"
"Mar 30, 2020","411.84","421.30","427.64","403.74","-","-2.23%"
"Mar 27, 2020","421.25","446.30","446.30","417.23","-","-5.60%"
"Mar 26, 2020","446.22","432.94","446.22","415.75","-","2.73%"
"Mar 25, 2020","434.35","424.60","448.19","414.54","-","2.46%"
"Mar 24, 2020","423.94","400.95","423.94","400.95","-","6.33%"
"Mar 23, 2020","398.70","419.39","419.39","391.20","-","-5.51%"
"Mar 20, 2020","421.95","410.63","437.23","410.63","-","3.12%"
"Mar 19, 2020","409.20","411.85","423.45","395.03","-","-0.62%"
