"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","3,968.63","4,094.78","4,094.78","3,958.94","-","-3.09%"
"Apr 29, 2020","4,095.00","4,039.09","4,126.97","4,039.09","-","1.39%"
"Apr 28, 2020","4,038.99","3,907.67","4,053.92","3,907.67","-","3.37%"
"Apr 27, 2020","3,907.39","3,737.05","3,920.93","3,737.05","-","4.56%"
"Apr 24, 2020","3,736.94","3,918.59","3,918.59","3,519.69","-","-4.64%"
"Apr 23, 2020","3,918.80","4,020.05","4,097.29","3,839.17","-","-2.51%"
"Apr 22, 2020","4,019.74","3,856.83","4,031.45","3,856.27","-","4.21%"
"Apr 20, 2020","3,857.39","3,751.99","3,905.97","3,657.46","-","2.81%"
"Apr 17, 2020","3,752.08","3,719.05","3,818.40","3,704.28","-","0.91%"
"Apr 16, 2020","3,718.32","3,708.78","3,780.33","3,695.16","-","0.28%"
"Apr 15, 2020","3,707.94","3,683.07","3,754.14","3,585.06","-","0.67%"
"Apr 14, 2020","3,683.11","3,587.85","3,745.17","3,587.85","-","2.66%"
"Apr 13, 2020","3,587.85","3,592.67","3,601.67","3,510.12","-","-0.13%"
"Apr 09, 2020","3,592.67","3,638.56","3,700.98","3,592.67","-","-1.20%"
"Apr 08, 2020","3,636.15","3,548.76","3,653.43","3,521.92","-","2.47%"
"Apr 07, 2020","3,548.46","3,403.99","3,724.65","3,403.99","-","4.27%"
"Apr 06, 2020","3,403.06","3,161.53","3,483.67","3,161.53","-","7.67%"
"Apr 03, 2020","3,160.60","3,313.89","3,314.18","3,084.30","-","-4.62%"
"Apr 02, 2020","3,313.75","3,278.13","3,372.15","3,263.19","-","1.11%"
"Apr 01, 2020","3,277.53","3,372.54","3,372.54","3,192.65","-","-2.82%"
"Mar 31, 2020","3,372.66","3,571.03","3,572.48","3,353.75","-","-5.56%"
"Mar 30, 2020","3,571.06","3,589.08","3,680.98","3,554.89","-","-0.50%"
"Mar 27, 2020","3,589.08","3,796.04","3,796.04","3,564.96","-","-5.46%"
"Mar 26, 2020","3,796.17","3,640.05","3,898.82","3,639.13","-","4.28%"
"Mar 25, 2020","3,640.41","3,371.22","3,717.48","3,347.18","-","7.98%"
"Mar 24, 2020","3,371.22","3,152.29","3,508.00","3,152.28","-","6.95%"
"Mar 23, 2020","3,152.00","3,295.92","3,314.16","3,070.72","-","-4.38%"
"Mar 20, 2020","3,296.29","3,268.10","3,504.13","3,253.87","-","0.87%"
"Mar 19, 2020","3,267.70","3,018.89","3,308.02","2,770.89","-","8.01%"
"Mar 18, 2020","3,025.34","3,457.73","3,457.73","2,839.35","-","-12.51%"
"Mar 17, 2020","3,457.96","3,305.55","3,543.13","3,275.12","-","4.62%"
"Mar 16, 2020","3,305.14","3,941.20","3,941.20","3,256.46","-","-16.15%"
"Mar 13, 2020","3,941.86","3,522.55","4,024.49","3,504.73","-","11.94%"
"Mar 12, 2020","3,521.48","4,162.78","4,162.78","3,344.41","-","-15.41%"
"Mar 11, 2020","4,163.24","4,454.03","4,454.03","3,904.72","-","-6.53%"
"Mar 10, 2020","4,453.99","4,152.51","4,453.99","4,152.51","-","7.28%"
"Mar 09, 2020","4,151.85","4,645.68","4,645.68","4,138.31","-","-10.63%"
"Mar 06, 2020","4,645.93","4,837.08","4,837.08","4,568.97","-","-3.96%"
"Mar 05, 2020","4,837.55","5,099.75","5,099.75","4,736.14","-","-5.14%"
"Mar 04, 2020","5,099.91","5,021.06","5,134.21","5,020.22","-","1.58%"
"Mar 03, 2020","5,020.75","5,029.36","5,189.34","4,965.48","-","-0.17%"
"Mar 02, 2020","5,029.32","4,938.53","5,064.39","4,889.32","-","2.13%"
"Feb 28, 2020","4,924.48","4,867.60","4,924.48","4,666.86","-","1.17%"
"Feb 27, 2020","4,867.65","5,080.23","5,080.23","4,867.65","-","-4.19%"
"Feb 26, 2020","5,080.68","5,418.37","5,418.37","5,036.91","-","-6.25%"
"Feb 21, 2020","5,419.28","5,396.76","5,424.01","5,338.37","-","0.41%"
"Feb 20, 2020","5,396.92","5,477.86","5,479.20","5,375.77","-","-1.48%"
"Feb 19, 2020","5,477.83","5,432.58","5,480.28","5,414.47","-","0.83%"
"Feb 18, 2020","5,432.56","5,475.68","5,475.68","5,376.03","-","-0.80%"
"Feb 17, 2020","5,476.23","5,411.80","5,498.10","5,411.80","-","1.19%"
"Feb 14, 2020","5,411.70","5,442.42","5,442.42","5,363.63","-","-0.56%"
"Feb 13, 2020","5,442.36","5,444.17","5,446.05","5,340.32","-","-0.04%"
"Feb 12, 2020","5,444.63","5,378.60","5,489.18","5,363.25","-","1.23%"
"Feb 11, 2020","5,378.47","5,245.09","5,381.30","5,245.09","-","2.55%"
"Feb 10, 2020","5,244.53","5,350.40","5,386.22","5,206.07","-","-2.00%"
"Feb 07, 2020","5,351.35","5,456.68","5,456.68","5,348.10","-","-1.93%"
"Feb 06, 2020","5,456.68","5,563.77","5,612.72","5,436.06","-","-1.92%"
"Feb 05, 2020","5,563.33","5,591.92","5,675.06","5,552.21","-","-0.50%"
"Feb 04, 2020","5,591.10","5,544.52","5,647.90","5,544.52","-","0.84%"
"Feb 03, 2020","5,544.35","5,471.33","5,592.27","5,470.72","-","1.33%"
"Jan 31, 2020","5,471.42","5,537.37","5,537.37","5,438.40","-","-1.19%"
"Jan 30, 2020","5,537.25","5,591.34","5,591.34","5,399.26","-","-0.98%"
"Jan 29, 2020","5,591.89","5,619.99","5,660.48","5,571.88","-","-0.49%"
"Jan 28, 2020","5,619.50","5,497.85","5,631.60","5,497.15","-","2.21%"
"Jan 27, 2020","5,498.08","5,687.86","5,688.15","5,484.55","-","-3.34%"
"Jan 24, 2020","5,688.16","5,729.11","5,734.09","5,678.11","-","-0.71%"
