"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","972.07","1,015.76","1,015.76","952.96","-","-4.30%"
"Apr 29, 2020","1,015.76","1,023.95","1,037.60","1,010.30","-","-0.80%"
"Apr 28, 2020","1,023.95","1,018.49","1,037.60","996.65","-","0.81%"
"Apr 27, 2020","1,015.76","988.46","1,026.68","982.99","-","6.59%"
"Apr 24, 2020","952.96","925.65","966.61","925.65","-","-1.41%"
"Apr 23, 2020","966.61","985.72","996.65","966.61","-","-1.94%"
"Apr 22, 2020","985.72","977.53","985.72","977.53","-","0.56%"
"Apr 21, 2020","980.26","1,007.57","1,013.03","963.88","-","-2.71%"
"Apr 20, 2020","1,007.57","1,040.34","1,056.72","982.99","-","-3.15%"
"Apr 17, 2020","1,040.34","1,037.60","1,059.45","1,029.41","-","1.87%"
"Apr 16, 2020","1,021.22","993.92","1,026.68","993.92","-","2.75%"
"Apr 15, 2020","993.92","1,004.84","1,010.30","993.92","-","-1.09%"
"Apr 14, 2020","1,004.84","1,032.14","1,032.14","977.53","-","-2.64%"
"Apr 08, 2020","1,032.14","1,062.18","1,064.91","1,013.03","-","-2.58%"
"Apr 07, 2020","1,059.45","1,037.60","1,064.91","1,034.87","-","2.92%"
"Apr 06, 2020","1,029.41","1,010.30","1,051.26","1,010.30","-","1.89%"
"Apr 03, 2020","1,010.30","1,015.76","1,026.68","1,010.30","-","-0.54%"
"Apr 02, 2020","1,015.76","969.34","1,037.60","969.34","-","5.08%"
"Apr 01, 2020","966.61","980.26","982.99","917.46","-","1.14%"
"Mar 31, 2020","955.69","898.35","982.99","898.35","-","8.36%"
"Mar 30, 2020","881.96","849.20","887.43","838.28","-","4.19%"
"Mar 27, 2020","846.47","841.01","873.77","841.01","-","1.97%"
"Mar 26, 2020","830.08","813.70","830.08","805.51","-","2.70%"
"Mar 25, 2020","808.24","802.78","821.89","802.78","-","4.59%"
"Mar 24, 2020","772.74","778.20","808.24","772.74","-","2.54%"
"Mar 23, 2020","753.63","816.43","816.43","739.98","-","-8.00%"
"Mar 20, 2020","819.16","800.05","846.47","780.93","-","4.17%"
"Mar 19, 2020","786.40","816.43","830.08","720.86","-","-3.68%"
"Mar 18, 2020","816.43","832.81","841.01","808.24","-","-3.24%"
"Mar 17, 2020","843.74","851.93","881.96","843.74","-","1.65%"
"Mar 16, 2020","830.08","802.78","832.81","791.86","-","-5.30%"
"Mar 13, 2020","876.50","819.16","928.38","808.24","-","8.81%"
"Mar 12, 2020","805.51","873.77","881.96","791.86","-","-14.49%"
"Mar 11, 2020","942.04","1,034.87","1,048.53","901.08","-","-9.21%"
"Mar 10, 2020","1,037.60","996.65","1,092.22","996.65","-","4.97%"
"Mar 09, 2020","988.46","1,026.68","1,067.64","972.07","-","-11.27%"
"Mar 06, 2020","1,114.06","1,141.37","1,141.37","1,092.22","-","-2.39%"
