"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,837.40","1,826.86","1,849.53","1,811.36","-","1.12%"
"Apr 29, 2020","1,817.04","1,798.29","1,825.45","1,778.03","-","1.26%"
"Apr 28, 2020","1,794.51","1,778.19","1,814.64","1,757.36","-","1.83%"
"Apr 27, 2020","1,762.21","1,763.07","1,786.28","1,752.67","-","1.11%"
"Apr 24, 2020","1,742.95","1,747.36","1,763.68","1,742.95","-","-1.24%"
"Apr 23, 2020","1,764.77","1,735.32","1,767.46","1,730.14","-","1.91%"
"Apr 22, 2020","1,731.65","1,740.19","1,744.74","1,722.55","-","-0.64%"
"Apr 21, 2020","1,742.83","1,791.51","1,791.51","1,742.83","-","-2.56%"
"Apr 20, 2020","1,788.56","1,789.04","1,792.86","1,768.40","-","0.30%"
"Apr 17, 2020","1,783.19","1,768.94","1,789.12","1,760.44","-","2.56%"
"Apr 16, 2020","1,738.66","1,727.24","1,744.95","1,714.55","-","0.59%"
"Apr 15, 2020","1,728.46","1,761.59","1,762.29","1,725.04","-","-0.10%"
"Apr 14, 2020","1,730.27","1,730.45","1,751.53","1,719.03","-","1.08%"
"Apr 08, 2020","1,711.70","1,720.27","1,720.27","1,695.37","-","-0.06%"
"Apr 07, 2020","1,712.68","1,741.58","1,744.47","1,704.33","-","0.07%"
"Apr 06, 2020","1,711.51","1,728.22","1,728.22","1,683.78","-","1.98%"
"Apr 03, 2020","1,678.26","1,650.44","1,678.26","1,632.15","-","2.63%"
"Apr 02, 2020","1,635.20","1,666.76","1,672.32","1,620.97","-","-1.59%"
"Apr 01, 2020","1,661.57","1,684.60","1,684.60","1,648.01","-","-1.77%"
"Mar 31, 2020","1,691.45","1,684.53","1,716.65","1,668.21","-","3.64%"
"Mar 30, 2020","1,632.05","1,596.94","1,643.91","1,575.29","-","3.48%"
"Mar 27, 2020","1,577.23","1,604.92","1,623.83","1,563.43","-","-2.38%"
"Mar 26, 2020","1,615.61","1,566.14","1,623.84","1,552.53","-","3.72%"
"Mar 25, 2020","1,557.65","1,553.26","1,596.29","1,529.87","-","2.97%"
"Mar 24, 2020","1,512.79","1,544.36","1,548.51","1,483.18","-","1.11%"
"Mar 23, 2020","1,496.22","1,478.24","1,531.55","1,455.06","-","-2.72%"
"Mar 20, 2020","1,538.11","1,515.90","1,551.48","1,506.65","-","5.30%"
"Mar 19, 2020","1,460.64","1,465.13","1,499.25","1,449.28","-","0.29%"
"Mar 18, 2020","1,456.43","1,504.67","1,527.86","1,435.63","-","-4.23%"
"Mar 17, 2020","1,520.81","1,548.98","1,572.65","1,463.42","-","-2.53%"
"Mar 16, 2020","1,560.24","1,535.35","1,575.24","1,462.57","-","-2.79%"
"Mar 13, 2020","1,605.09","1,579.64","1,681.04","1,544.48","-","4.08%"
"Mar 12, 2020","1,542.11","1,595.13","1,631.29","1,531.47","-","-9.92%"
"Mar 11, 2020","1,711.96","1,778.59","1,792.44","1,701.72","-","-2.90%"
"Mar 10, 2020","1,763.09","1,819.30","1,866.47","1,759.99","-","-3.64%"
"Mar 09, 2020","1,829.65","1,850.64","1,899.05","1,829.46","-","-7.07%"
"Mar 06, 2020","1,968.85","1,991.73","2,011.28","1,948.42","-","-2.69%"
"Mar 05, 2020","2,023.31","2,058.85","2,066.20","2,016.85","-","-0.40%"
"Mar 04, 2020","2,031.51","2,026.73","2,038.35","2,016.06","-","0.28%"
"Mar 03, 2020","2,025.85","1,991.43","2,029.93","1,981.54","-","3.05%"
"Mar 02, 2020","1,965.97","1,984.15","2,025.75","1,950.29","-","-0.09%"
"Feb 28, 2020","1,967.77","2,011.15","2,011.15","1,956.37","-","-2.88%"
"Feb 27, 2020","2,026.09","2,046.37","2,046.37","2,006.35","-","-2.53%"
"Feb 26, 2020","2,078.78","2,060.38","2,084.65","1,999.89","-","-0.12%"
"Feb 25, 2020","2,081.18","2,120.25","2,131.88","2,066.86","-","-1.68%"
"Feb 24, 2020","2,116.74","2,202.80","2,202.80","2,116.74","-","-4.92%"
"Feb 21, 2020","2,226.22","2,242.29","2,244.95","2,223.44","-","-1.11%"
"Feb 20, 2020","2,251.11","2,250.37","2,265.20","2,243.96","-","0.08%"
"Feb 19, 2020","2,249.37","2,248.28","2,259.91","2,237.54","-","0.51%"
"Feb 18, 2020","2,238.05","2,238.75","2,239.88","2,216.68","-","-0.27%"
"Feb 17, 2020","2,244.16","2,248.20","2,252.34","2,233.26","-","-0.16%"
"Feb 14, 2020","2,247.65","2,230.17","2,247.65","2,225.99","-","0.89%"
"Feb 13, 2020","2,227.76","2,231.05","2,237.58","2,220.92","-","-0.15%"
"Feb 12, 2020","2,231.04","2,218.87","2,235.89","2,218.75","-","0.23%"
"Feb 11, 2020","2,225.92","2,223.02","2,227.12","2,216.31","-","0.28%"
"Feb 10, 2020","2,219.69","2,232.37","2,233.74","2,214.80","-","-0.44%"
"Feb 07, 2020","2,229.43","2,241.07","2,241.64","2,214.70","-","-0.44%"
"Feb 06, 2020","2,239.21","2,219.85","2,243.25","2,219.85","-","0.90%"
"Feb 05, 2020","2,219.25","2,192.60","2,232.11","2,191.85","-","0.91%"
"Feb 04, 2020","2,199.34","2,203.02","2,203.65","2,170.43","-","1.30%"
"Feb 03, 2020","2,171.01","2,181.49","2,181.49","2,158.76","-","-0.45%"
"Jan 31, 2020","2,180.78","2,189.62","2,194.92","2,180.78","-","-0.01%"
"Jan 30, 2020","2,181.08","2,194.20","2,204.05","2,181.08","-","-1.18%"
"Jan 29, 2020","2,207.05","2,187.93","2,213.17","2,183.65","-","0.80%"
"Jan 28, 2020","2,189.59","2,183.76","2,191.09","2,170.42","-","0.21%"
"Jan 27, 2020","2,185.08","2,254.87","2,254.87","2,185.08","-","-4.09%"
"Jan 24, 2020","2,278.36","2,279.15","2,289.60","2,264.08","-","0.00%"
