"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","744.52","746.28","749.26","742.09","-","0.32%"
"Apr 29, 2020","742.14","739.76","742.60","734.97","-","0.38%"
"Apr 28, 2020","739.30","742.41","743.64","738.29","-","-0.39%"
"Apr 27, 2020","742.19","735.27","746.57","732.32","-","0.92%"
"Apr 24, 2020","735.41","738.76","738.76","731.30","-","-0.81%"
"Apr 23, 2020","741.38","744.40","744.55","733.85","-","0.66%"
"Apr 22, 2020","736.50","742.44","742.52","735.00","-","-0.17%"
"Apr 21, 2020","737.79","745.24","745.24","727.42","-","-0.77%"
"Apr 20, 2020","743.53","737.76","748.34","734.13","-","1.79%"
"Apr 17, 2020","730.49","725.03","739.76","723.26","-","1.16%"
"Apr 16, 2020","722.14","727.68","730.28","717.96","-","0.36%"
"Apr 15, 2020","719.52","731.31","731.31","712.08","-","-0.34%"
"Apr 14, 2020","721.94","714.66","725.22","707.04","-","2.51%"
"Apr 08, 2020","704.24","707.86","711.02","696.43","-","-0.10%"
"Apr 07, 2020","704.97","717.61","725.57","704.61","-","-1.54%"
"Apr 06, 2020","716.02","709.61","725.27","707.27","-","2.66%"
"Apr 03, 2020","697.45","709.74","715.35","697.45","-","-0.51%"
"Apr 02, 2020","701.03","715.78","724.03","701.03","-","-2.14%"
"Apr 01, 2020","716.36","722.01","722.01","705.64","-","-0.17%"
"Mar 31, 2020","717.61","697.88","732.63","697.88","-","4.54%"
"Mar 30, 2020","686.44","688.59","690.72","677.17","-","0.52%"
"Mar 27, 2020","682.87","686.58","689.06","679.21","-","0.31%"
"Mar 26, 2020","680.75","683.38","688.31","673.16","-","-0.06%"
"Mar 25, 2020","681.13","676.85","701.93","671.85","-","2.10%"
"Mar 24, 2020","667.11","665.43","670.88","658.82","-","1.87%"
"Mar 23, 2020","654.85","677.89","677.89","650.20","-","-3.87%"
"Mar 20, 2020","681.24","671.72","708.30","671.72","-","3.86%"
"Mar 19, 2020","655.93","648.31","663.93","645.22","-","0.57%"
"Mar 18, 2020","652.19","668.87","684.14","647.90","-","-2.84%"
"Mar 17, 2020","671.22","675.15","684.37","662.93","-","-0.70%"
"Mar 16, 2020","675.94","696.73","697.24","648.16","-","-4.78%"
"Mar 13, 2020","709.88","690.19","745.32","690.19","-","2.14%"
"Mar 12, 2020","694.98","734.01","734.01","676.56","-","-9.36%"
"Mar 11, 2020","766.74","781.80","788.80","762.83","-","-1.33%"
"Mar 10, 2020","777.07","776.09","798.20","775.68","-","0.92%"
"Mar 09, 2020","769.96","789.37","789.37","761.86","-","-5.79%"
"Mar 06, 2020","817.27","825.88","825.88","810.37","-","-2.10%"
"Mar 05, 2020","834.82","860.20","862.25","833.43","-","-1.75%"
"Mar 04, 2020","849.69","852.78","858.24","847.77","-","-0.79%"
