"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,351.82","1,363.68","1,375.90","1,333.70","-","-1.28%"
"Apr 29, 2020","1,369.38","1,319.99","1,369.38","1,319.99","-","4.38%"
"Apr 28, 2020","1,311.89","1,285.67","1,313.93","1,284.64","-","2.20%"
"Apr 27, 2020","1,283.70","1,272.44","1,288.66","1,269.90","-","1.84%"
"Apr 24, 2020","1,260.51","1,277.78","1,280.04","1,258.59","-","-2.41%"
"Apr 23, 2020","1,291.67","1,277.11","1,293.97","1,265.71","-","1.20%"
"Apr 22, 2020","1,276.31","1,277.45","1,281.90","1,268.52","-","0.57%"
"Apr 21, 2020","1,269.08","1,280.68","1,280.68","1,265.11","-","-1.80%"
"Apr 20, 2020","1,292.33","1,291.41","1,295.09","1,273.54","-","0.74%"
"Apr 17, 2020","1,282.89","1,275.89","1,286.33","1,270.74","-","2.63%"
"Apr 16, 2020","1,249.99","1,281.56","1,283.62","1,249.43","-","-2.06%"
"Apr 15, 2020","1,276.22","1,304.44","1,304.44","1,274.43","-","-2.34%"
"Apr 14, 2020","1,306.74","1,312.23","1,312.23","1,292.06","-","1.33%"
"Apr 08, 2020","1,289.62","1,301.43","1,302.52","1,272.29","-","-0.98%"
"Apr 07, 2020","1,302.39","1,291.65","1,314.64","1,289.07","-","2.88%"
"Apr 06, 2020","1,265.87","1,271.03","1,272.82","1,259.72","-","1.52%"
"Apr 03, 2020","1,246.90","1,249.37","1,253.42","1,234.31","-","-0.85%"
"Apr 02, 2020","1,257.63","1,258.75","1,259.46","1,236.48","-","0.70%"
"Apr 01, 2020","1,248.94","1,266.98","1,266.98","1,242.64","-","-2.02%"
"Mar 31, 2020","1,274.65","1,255.72","1,290.56","1,255.72","-","3.67%"
"Mar 30, 2020","1,229.56","1,230.13","1,236.64","1,209.03","-","0.19%"
"Mar 27, 2020","1,227.28","1,234.68","1,242.92","1,221.42","-","-0.41%"
"Mar 26, 2020","1,232.38","1,210.20","1,232.39","1,196.87","-","1.73%"
"Mar 25, 2020","1,211.43","1,228.38","1,238.87","1,184.48","-","3.65%"
"Mar 24, 2020","1,168.73","1,167.79","1,173.17","1,149.76","-","3.32%"
"Mar 23, 2020","1,131.13","1,178.99","1,179.54","1,126.68","-","-6.69%"
"Mar 20, 2020","1,212.18","1,253.16","1,261.84","1,207.38","-","-0.36%"
"Mar 19, 2020","1,216.60","1,217.59","1,223.76","1,198.56","-","0.33%"
"Mar 18, 2020","1,212.56","1,209.65","1,235.05","1,189.83","-","-1.30%"
"Mar 17, 2020","1,228.52","1,220.09","1,240.25","1,180.18","-","2.46%"
"Mar 16, 2020","1,199.07","1,222.49","1,222.49","1,164.66","-","-4.35%"
"Mar 13, 2020","1,253.65","1,253.11","1,336.76","1,230.85","-","1.63%"
"Mar 12, 2020","1,233.51","1,294.79","1,305.90","1,230.59","-","-9.71%"
"Mar 11, 2020","1,366.10","1,417.61","1,424.71","1,363.82","-","-2.54%"
"Mar 10, 2020","1,401.71","1,422.19","1,471.01","1,398.35","-","-1.46%"
"Mar 09, 2020","1,422.43","1,425.37","1,474.40","1,417.08","-","-7.55%"
"Mar 06, 2020","1,538.59","1,544.29","1,549.91","1,520.88","-","-1.96%"
"Mar 05, 2020","1,569.27","1,617.64","1,619.35","1,567.21","-","-1.88%"
"Mar 04, 2020","1,599.27","1,596.82","1,617.32","1,589.97","-","0.06%"
"Mar 03, 2020","1,598.28","1,602.27","1,621.27","1,589.87","-","1.55%"
"Mar 02, 2020","1,573.92","1,591.57","1,602.03","1,548.61","-","0.65%"
"Feb 28, 2020","1,563.80","1,536.74","1,578.02","1,536.74","-","-1.71%"
"Feb 27, 2020","1,590.94","1,646.97","1,649.26","1,582.73","-","-4.62%"
"Feb 26, 2020","1,668.08","1,667.50","1,670.87","1,608.84","-","-1.14%"
"Feb 25, 2020","1,687.40","1,711.74","1,724.12","1,678.77","-","-1.38%"
"Feb 24, 2020","1,711.02","1,761.54","1,761.54","1,702.66","-","-3.59%"
"Feb 21, 2020","1,774.73","1,782.94","1,784.86","1,774.73","-","-0.93%"
"Feb 20, 2020","1,791.30","1,780.07","1,795.14","1,778.39","-","0.70%"
"Feb 19, 2020","1,778.91","1,765.55","1,778.91","1,764.79","-","0.85%"
"Feb 18, 2020","1,763.97","1,755.88","1,767.25","1,751.51","-","-0.15%"
"Feb 17, 2020","1,766.59","1,774.40","1,779.48","1,763.22","-","-0.32%"
"Feb 14, 2020","1,772.20","1,775.78","1,784.17","1,771.46","-","0.05%"
"Feb 13, 2020","1,771.34","1,781.93","1,781.93","1,758.15","-","-0.66%"
"Feb 12, 2020","1,783.13","1,763.77","1,783.13","1,760.08","-","1.11%"
"Feb 11, 2020","1,763.60","1,759.37","1,767.70","1,756.76","-","0.57%"
"Feb 10, 2020","1,753.63","1,747.62","1,755.49","1,740.11","-","0.40%"
"Feb 07, 2020","1,746.56","1,746.88","1,746.88","1,733.43","-","-0.04%"
"Feb 06, 2020","1,747.23","1,724.90","1,747.23","1,724.90","-","1.30%"
"Feb 05, 2020","1,724.74","1,711.23","1,731.68","1,693.48","-","0.90%"
"Feb 04, 2020","1,709.30","1,685.08","1,710.97","1,683.70","-","1.66%"
"Feb 03, 2020","1,681.41","1,689.09","1,689.09","1,668.97","-","-0.52%"
"Jan 31, 2020","1,690.13","1,675.54","1,703.39","1,674.67","-","1.62%"
