"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","3,736.54","3,718.37","3,773.07","3,701.03","-","0.36%"
"Apr 29, 2020","3,723.19","3,813.45","3,813.45","3,707.83","-","-2.38%"
"Apr 28, 2020","3,813.83","3,826.24","3,851.71","3,792.73","-","0.13%"
"Apr 27, 2020","3,808.74","3,830.51","3,836.74","3,808.74","-","0.17%"
"Apr 24, 2020","3,802.31","3,785.26","3,808.68","3,771.31","-","-0.53%"
"Apr 23, 2020","3,822.59","3,774.72","3,832.48","3,751.95","-","1.40%"
"Apr 22, 2020","3,769.64","3,763.17","3,782.53","3,747.45","-","0.22%"
"Apr 21, 2020","3,761.54","3,769.06","3,778.97","3,736.81","-","-0.14%"
"Apr 20, 2020","3,767.00","3,699.55","3,769.04","3,698.88","-","2.21%"
"Apr 17, 2020","3,685.68","3,673.75","3,688.83","3,637.91","-","1.57%"
"Apr 16, 2020","3,628.71","3,560.71","3,635.83","3,531.65","-","2.76%"
"Apr 15, 2020","3,531.37","3,545.23","3,568.27","3,507.04","-","-0.01%"
"Apr 14, 2020","3,531.77","3,496.91","3,531.77","3,460.32","-","1.95%"
"Apr 08, 2020","3,464.31","3,477.55","3,483.26","3,419.98","-","-0.56%"
"Apr 07, 2020","3,483.83","3,532.43","3,562.03","3,459.33","-","-0.54%"
"Apr 06, 2020","3,502.89","3,539.44","3,540.50","3,475.54","-","0.55%"
"Apr 03, 2020","3,483.78","3,410.95","3,488.11","3,392.83","-","1.86%"
"Apr 02, 2020","3,420.24","3,436.98","3,448.99","3,354.61","-","-0.94%"
"Apr 01, 2020","3,452.78","3,373.12","3,452.78","3,349.31","-","0.96%"
"Mar 31, 2020","3,419.86","3,440.41","3,469.77","3,398.39","-","1.80%"
"Mar 30, 2020","3,359.26","3,261.34","3,359.78","3,197.33","-","4.18%"
"Mar 27, 2020","3,224.42","3,175.33","3,225.36","3,169.85","-","-0.27%"
"Mar 26, 2020","3,233.02","3,131.16","3,236.96","3,121.34","-","3.45%"
"Mar 25, 2020","3,125.18","3,159.49","3,206.69","3,102.10","-","1.22%"
"Mar 24, 2020","3,087.65","3,126.73","3,143.59","3,063.70","-","1.77%"
"Mar 23, 2020","3,033.85","3,016.34","3,119.67","3,002.85","-","-2.89%"
"Mar 20, 2020","3,124.28","3,276.76","3,283.40","3,102.22","-","-1.55%"
"Mar 19, 2020","3,173.47","3,111.11","3,185.51","3,096.92","-","1.79%"
"Mar 18, 2020","3,117.71","3,024.14","3,119.64","3,021.52","-","0.83%"
"Mar 17, 2020","3,091.99","3,085.27","3,094.93","2,947.76","-","2.47%"
"Mar 16, 2020","3,017.36","2,921.59","3,046.70","2,809.94","-","-0.60%"
"Mar 13, 2020","3,035.63","3,103.02","3,248.79","3,009.72","-","-0.11%"
"Mar 12, 2020","3,038.88","3,080.89","3,182.39","3,030.50","-","-7.12%"
"Mar 11, 2020","3,271.70","3,357.83","3,372.68","3,260.59","-","-1.59%"
"Mar 10, 2020","3,324.44","3,398.19","3,465.46","3,296.59","-","-1.46%"
"Mar 09, 2020","3,373.83","3,311.55","3,427.08","3,311.55","-","-4.12%"
"Mar 06, 2020","3,518.94","3,551.67","3,565.82","3,476.91","-","-2.59%"
"Mar 05, 2020","3,612.61","3,675.77","3,695.14","3,596.96","-","-0.76%"
"Mar 04, 2020","3,640.40","3,602.73","3,660.52","3,584.12","-","1.05%"
"Mar 03, 2020","3,602.64","3,571.89","3,632.54","3,550.35","-","3.09%"
"Mar 02, 2020","3,494.74","3,530.52","3,581.47","3,455.96","-","1.64%"
"Feb 28, 2020","3,438.31","3,449.91","3,499.21","3,410.28","-","-3.25%"
"Feb 27, 2020","3,553.70","3,597.72","3,636.23","3,526.04","-","-2.17%"
"Feb 26, 2020","3,632.44","3,592.62","3,643.98","3,468.69","-","-0.04%"
"Feb 25, 2020","3,634.04","3,684.27","3,729.66","3,614.62","-","-1.46%"
"Feb 24, 2020","3,688.00","3,786.16","3,786.16","3,679.14","-","-2.84%"
"Feb 21, 2020","3,795.85","3,801.65","3,828.17","3,785.79","-","-0.96%"
"Feb 20, 2020","3,832.62","3,840.85","3,868.58","3,815.76","-","-0.17%"
"Feb 19, 2020","3,839.23","3,835.54","3,858.96","3,817.52","-","0.50%"
"Feb 18, 2020","3,820.10","3,757.00","3,824.02","3,742.50","-","1.10%"
"Feb 17, 2020","3,778.48","3,779.90","3,784.73","3,744.66","-","0.34%"
"Feb 14, 2020","3,765.62","3,750.52","3,770.51","3,742.41","-","0.93%"
"Feb 13, 2020","3,730.86","3,736.86","3,748.23","3,709.18","-","-0.15%"
"Feb 12, 2020","3,736.54","3,719.78","3,739.75","3,697.85","-","-0.22%"
"Feb 11, 2020","3,744.61","3,744.44","3,749.80","3,714.63","-","0.97%"
"Feb 10, 2020","3,708.48","3,704.10","3,713.91","3,681.67","-","-0.23%"
"Feb 07, 2020","3,717.01","3,733.46","3,752.16","3,706.49","-","-0.45%"
"Feb 06, 2020","3,733.85","3,702.17","3,733.85","3,677.02","-","0.90%"
"Feb 05, 2020","3,700.68","3,593.92","3,703.30","3,577.30","-","3.55%"
"Feb 04, 2020","3,573.93","3,546.56","3,581.15","3,535.42","-","1.10%"
"Feb 03, 2020","3,535.01","3,512.05","3,536.08","3,506.80","-","0.39%"
"Jan 31, 2020","3,521.27","3,536.69","3,556.46","3,519.01","-","0.12%"
"Jan 30, 2020","3,517.05","3,513.42","3,551.08","3,509.90","-","-0.65%"
"Jan 29, 2020","3,540.03","3,500.24","3,543.46","3,500.24","-","1.47%"
