"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,317.55","1,348.61","1,362.49","1,308.15","-","-0.56%"
"Apr 29, 2020","1,325.00","1,289.40","1,331.58","1,287.14","-","2.55%"
"Apr 28, 2020","1,292.11","1,272.20","1,300.82","1,261.74","-","1.77%"
"Apr 27, 2020","1,269.63","1,265.92","1,273.91","1,261.13","-","1.45%"
"Apr 24, 2020","1,251.44","1,241.12","1,257.83","1,239.66","-","-0.86%"
"Apr 23, 2020","1,262.24","1,261.14","1,271.64","1,246.29","-","0.31%"
"Apr 22, 2020","1,258.35","1,244.80","1,258.83","1,234.38","-","1.21%"
"Apr 21, 2020","1,243.34","1,255.87","1,255.87","1,235.11","-","-1.98%"
"Apr 20, 2020","1,268.50","1,283.18","1,283.18","1,245.83","-","0.01%"
"Apr 17, 2020","1,268.39","1,251.94","1,277.47","1,248.95","-","3.95%"
"Apr 16, 2020","1,220.20","1,235.37","1,237.41","1,210.33","-","-0.23%"
"Apr 15, 2020","1,222.99","1,268.89","1,268.89","1,222.43","-","-3.24%"
"Apr 14, 2020","1,263.97","1,279.75","1,280.12","1,250.14","-","2.15%"
"Apr 08, 2020","1,237.34","1,241.72","1,248.31","1,235.13","-","-1.48%"
"Apr 07, 2020","1,255.88","1,252.09","1,278.75","1,252.09","-","3.55%"
"Apr 06, 2020","1,212.81","1,189.69","1,215.30","1,188.13","-","5.37%"
"Apr 03, 2020","1,151.01","1,156.25","1,169.58","1,147.25","-","-0.78%"
"Apr 02, 2020","1,160.09","1,185.46","1,189.03","1,149.02","-","-1.72%"
"Apr 01, 2020","1,180.42","1,176.50","1,181.66","1,159.32","-","-0.96%"
"Mar 31, 2020","1,191.89","1,197.05","1,214.90","1,190.21","-","3.30%"
"Mar 30, 2020","1,153.79","1,147.56","1,158.32","1,111.90","-","1.49%"
"Mar 27, 2020","1,136.84","1,142.18","1,147.19","1,128.28","-","-1.02%"
"Mar 26, 2020","1,148.53","1,088.32","1,148.83","1,078.91","-","5.79%"
