"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","4,198.30","4,262.89","4,294.97","4,198.30","-","-1.40%"
"Apr 29, 2020","4,258.09","4,237.43","4,273.55","4,178.63","-","0.25%"
"Apr 28, 2020","4,247.43","4,094.97","4,308.09","4,094.97","-","4.55%"
"Apr 27, 2020","4,062.75","4,065.12","4,097.77","4,057.06","-","1.07%"
"Apr 24, 2020","4,019.87","4,081.41","4,110.04","4,019.87","-","-3.30%"
"Apr 23, 2020","4,157.10","4,089.30","4,167.78","4,076.64","-","2.43%"
"Apr 22, 2020","4,058.51","4,067.02","4,079.29","4,013.41","-","0.15%"
"Apr 21, 2020","4,052.32","4,149.40","4,149.40","3,978.69","-","-3.20%"
"Apr 20, 2020","4,186.29","4,203.39","4,208.22","4,115.86","-","-0.16%"
"Apr 17, 2020","4,192.90","4,207.88","4,221.59","4,138.43","-","3.12%"
"Apr 16, 2020","4,065.90","4,140.22","4,182.37","4,055.43","-","-1.37%"
"Apr 15, 2020","4,122.49","4,329.03","4,329.03","4,117.70","-","-4.90%"
"Apr 14, 2020","4,334.83","4,278.21","4,336.95","4,222.83","-","3.86%"
"Apr 08, 2020","4,173.58","4,181.61","4,213.32","4,102.51","-","-2.16%"
"Apr 07, 2020","4,265.92","4,158.87","4,307.50","4,074.43","-","5.76%"
"Apr 06, 2020","4,033.49","4,264.55","4,289.37","4,033.49","-","-2.06%"
"Apr 03, 2020","4,118.44","4,010.97","4,118.44","3,971.01","-","2.98%"
"Apr 02, 2020","3,999.19","3,907.99","4,001.58","3,897.49","-","3.34%"
"Apr 01, 2020","3,870.10","3,967.22","3,998.72","3,868.32","-","-1.46%"
"Mar 31, 2020","3,927.46","3,979.53","4,064.29","3,915.05","-","1.61%"
"Mar 30, 2020","3,865.31","3,904.63","3,943.89","3,773.14","-","-0.84%"
"Mar 27, 2020","3,897.87","3,984.77","4,010.28","3,835.65","-","-1.84%"
"Mar 26, 2020","3,971.04","3,970.29","3,996.53","3,868.30","-","-0.50%"
"Mar 25, 2020","3,990.80","3,992.71","4,091.72","3,826.36","-","5.53%"
"Mar 24, 2020","3,781.69","3,599.64","3,781.69","3,572.65","-","10.72%"
"Mar 23, 2020","3,415.55","3,552.90","3,623.19","3,415.55","-","-7.85%"
"Mar 20, 2020","3,706.53","3,677.50","3,725.56","3,573.23","-","7.02%"
"Mar 19, 2020","3,463.33","3,496.42","3,626.71","3,367.76","-","-1.46%"
"Mar 18, 2020","3,514.67","3,748.82","3,778.06","3,496.62","-","-8.35%"
"Mar 17, 2020","3,834.95","3,909.39","3,979.74","3,709.30","-","0.33%"
"Mar 16, 2020","3,822.33","3,700.55","3,863.97","3,604.38","-","-4.06%"
"Mar 13, 2020","3,983.93","4,083.59","4,345.82","3,948.78","-","1.20%"
"Mar 12, 2020","3,936.63","3,969.50","4,165.74","3,932.10","-","-9.48%"
"Mar 11, 2020","4,348.81","4,563.62","4,606.07","4,321.17","-","-4.23%"
"Mar 10, 2020","4,541.12","4,646.74","4,729.15","4,505.99","-","-1.37%"
"Mar 09, 2020","4,604.24","4,546.30","4,729.04","4,516.70","-","-7.36%"
"Mar 06, 2020","4,969.86","5,041.97","5,063.66","4,933.93","-","-3.60%"
"Mar 05, 2020","5,155.61","5,240.60","5,244.66","5,132.97","-","-0.54%"
"Mar 04, 2020","5,183.60","5,076.05","5,208.33","5,068.56","-","1.44%"
"Mar 03, 2020","5,110.04","4,974.66","5,142.59","4,953.87","-","4.88%"
"Mar 02, 2020","4,872.09","4,920.85","4,978.88","4,774.27","-","1.07%"
"Feb 28, 2020","4,820.61","4,707.02","4,851.38","4,685.75","-","-1.44%"
"Feb 27, 2020","4,891.21","4,940.27","5,024.34","4,824.06","-","-3.00%"
"Feb 26, 2020","5,042.34","4,956.64","5,087.68","4,740.97","-","0.47%"
"Feb 25, 2020","5,018.65","5,133.75","5,166.16","4,963.62","-","-2.10%"
"Feb 24, 2020","5,126.36","5,245.08","5,262.95","5,087.94","-","-4.68%"
"Feb 21, 2020","5,377.88","5,318.33","5,377.88","5,298.36","-","0.21%"
"Feb 20, 2020","5,366.47","5,348.81","5,376.02","5,316.82","-","0.66%"
"Feb 19, 2020","5,331.22","5,233.02","5,335.87","5,222.82","-","2.27%"
