"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,163.04","2,117.75","2,227.40","2,116.88","-","1.02%"
"Apr 29, 2020","2,141.17","2,179.62","2,179.62","2,133.09","-","-1.76%"
"Apr 28, 2020","2,179.44","2,200.03","2,200.23","2,162.43","-","-1.30%"
"Apr 27, 2020","2,208.13","2,271.82","2,272.09","2,190.68","-","-1.39%"
"Apr 24, 2020","2,239.30","2,279.37","2,279.37","2,238.74","-","-1.84%"
"Apr 23, 2020","2,281.18","2,256.23","2,289.11","2,255.94","-","1.11%"
"Apr 22, 2020","2,256.23","2,267.86","2,278.88","2,244.33","-","-0.67%"
"Apr 21, 2020","2,271.55","2,309.10","2,317.39","2,271.55","-","-1.49%"
"Apr 20, 2020","2,305.82","2,319.62","2,319.62","2,264.92","-","0.49%"
"Apr 17, 2020","2,294.57","2,295.11","2,295.11","2,190.38","-","5.67%"
"Apr 16, 2020","2,171.45","2,164.09","2,212.36","2,161.05","-","0.31%"
"Apr 15, 2020","2,164.65","2,271.67","2,271.67","2,151.96","-","-4.04%"
"Apr 14, 2020","2,255.72","2,083.50","2,255.72","2,083.50","-","6.19%"
"Apr 08, 2020","2,124.16","2,165.18","2,182.72","2,124.16","-","-1.87%"
"Apr 07, 2020","2,164.60","2,186.68","2,300.52","2,126.83","-","-1.02%"
"Apr 06, 2020","2,186.80","2,231.84","2,251.84","2,186.80","-","-0.80%"
"Apr 03, 2020","2,204.53","2,194.84","2,243.51","2,179.97","-","0.44%"
"Apr 02, 2020","2,194.84","2,220.71","2,220.71","2,170.30","-","-1.13%"
"Apr 01, 2020","2,219.91","2,409.78","2,409.78","2,130.52","-","-1.20%"
"Mar 31, 2020","2,246.98","2,156.80","2,328.77","2,149.99","-","5.85%"
"Mar 30, 2020","2,122.82","2,151.94","2,157.52","2,095.68","-","-2.77%"
"Mar 27, 2020","2,183.34","2,228.42","2,228.77","2,130.74","-","0.19%"
"Mar 26, 2020","2,179.25","2,110.65","2,194.46","2,094.12","-","5.03%"
"Mar 25, 2020","2,074.98","2,239.11","2,239.67","2,040.14","-","3.18%"
"Mar 24, 2020","2,010.94","2,018.12","2,084.93","1,976.93","-","0.47%"
"Mar 23, 2020","2,001.62","1,989.51","2,050.81","1,932.76","-","-2.76%"
"Mar 20, 2020","2,058.50","1,932.72","2,130.60","1,916.93","-","6.51%"
"Mar 19, 2020","1,932.75","1,989.78","1,992.95","1,902.43","-","-1.86%"
"Mar 18, 2020","1,969.38","1,970.69","2,008.74","1,888.66","-","-1.14%"
"Mar 17, 2020","1,992.15","2,097.97","2,250.37","1,957.67","-","-7.04%"
"Mar 16, 2020","2,142.96","2,096.75","2,623.00","1,980.11","-","1.31%"
"Mar 13, 2020","2,115.28","2,093.57","2,281.31","2,012.25","-","-4.20%"
"Mar 12, 2020","2,207.92","2,353.96","2,383.86","2,070.32","-","-10.62%"
"Mar 11, 2020","2,470.22","2,515.54","2,580.27","2,432.15","-","-1.84%"
"Mar 10, 2020","2,516.42","2,485.95","2,619.35","2,485.95","-","-2.02%"
"Mar 09, 2020","2,568.40","2,553.85","2,628.83","2,500.74","-","-4.06%"
"Mar 06, 2020","2,677.12","2,654.13","2,678.04","2,590.41","-","-0.67%"
"Mar 05, 2020","2,695.27","2,696.29","2,700.42","2,686.68","-","-0.21%"
"Mar 04, 2020","2,701.02","2,664.48","2,702.57","2,647.94","-","2.31%"
"Mar 03, 2020","2,639.96","2,602.74","2,658.86","2,602.74","-","1.42%"
"Mar 02, 2020","2,603.00","2,596.09","2,604.79","2,513.05","-","3.47%"
"Feb 28, 2020","2,515.82","2,448.45","2,552.38","2,388.96","-","-2.06%"
"Feb 27, 2020","2,568.76","2,698.94","2,700.77","2,402.68","-","-3.83%"
"Feb 26, 2020","2,670.98","2,610.87","2,670.98","2,534.05","-","1.64%"
"Feb 25, 2020","2,627.93","2,635.01","2,685.00","2,591.97","-","-0.61%"
"Feb 24, 2020","2,644.07","2,755.06","2,755.41","2,573.93","-","-4.07%"
"Feb 21, 2020","2,756.29","2,737.61","2,764.60","2,734.24","-","0.69%"
"Feb 20, 2020","2,737.44","2,764.05","2,764.05","2,710.00","-","-0.99%"
"Feb 19, 2020","2,764.84","2,774.04","2,775.69","2,748.99","-","-0.03%"
"Feb 18, 2020","2,765.56","2,766.14","2,775.44","2,739.97","-","-0.02%"
"Feb 17, 2020","2,766.14","2,772.85","2,780.79","2,722.84","-","0.68%"
"Feb 14, 2020","2,747.54","2,743.12","2,782.29","2,718.50","-","1.34%"
"Feb 13, 2020","2,711.19","2,714.81","2,720.96","2,683.69","-","-0.13%"
"Feb 12, 2020","2,714.81","2,708.54","2,726.04","2,691.47","-","0.28%"
"Feb 11, 2020","2,707.13","2,690.07","2,717.99","2,667.84","-","1.55%"
"Feb 10, 2020","2,665.78","2,691.14","2,691.33","2,653.37","-","-0.56%"
"Feb 07, 2020","2,680.69","2,689.51","2,691.32","2,632.75","-","0.53%"
"Feb 06, 2020","2,666.58","2,679.19","2,690.69","2,666.58","-","-0.77%"
"Feb 05, 2020","2,687.37","2,680.08","2,705.83","2,677.92","-","0.57%"
"Feb 04, 2020","2,672.15","2,694.29","2,694.50","2,646.31","-","-0.75%"
"Feb 03, 2020","2,692.47","2,681.46","2,700.30","2,665.53","-","0.93%"
"Jan 31, 2020","2,667.64","2,684.41","2,697.65","2,632.49","-","-0.64%"
"Jan 30, 2020","2,684.79","2,605.51","2,700.21","2,595.81","-","3.04%"
"Jan 29, 2020","2,605.69","2,585.97","2,613.23","2,584.60","-","0.72%"
"Jan 28, 2020","2,587.14","2,599.26","2,599.83","2,567.23","-","-0.55%"
