"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","6,267.42","6,221.35","6,336.08","6,221.35","-","0.30%"
"Apr 29, 2020","6,248.88","6,167.16","6,278.12","6,141.19","-","1.52%"
"Apr 28, 2020","6,155.55","6,200.46","6,251.79","6,133.20","-","-0.63%"
"Apr 27, 2020","6,194.62","6,133.88","6,263.70","6,133.88","-","0.68%"
"Apr 24, 2020","6,152.58","6,177.70","6,240.75","6,137.20","-","-1.44%"
"Apr 23, 2020","6,242.27","6,151.07","6,258.41","6,094.93","-","1.67%"
"Apr 22, 2020","6,139.59","6,236.97","6,236.97","6,109.95","-","-1.67%"
"Apr 21, 2020","6,244.14","6,236.75","6,283.52","6,153.73","-","-1.36%"
"Apr 20, 2020","6,330.49","6,336.51","6,341.27","6,254.81","-","0.42%"
"Apr 17, 2020","6,304.05","6,145.50","6,304.05","6,145.50","-","4.12%"
"Apr 16, 2020","6,054.68","5,992.94","6,109.77","5,950.39","-","1.77%"
"Apr 15, 2020","5,949.35","5,936.56","5,962.09","5,793.53","-","1.86%"
"Apr 14, 2020","5,840.58","5,817.87","5,869.25","5,710.70","-","2.19%"
"Apr 08, 2020","5,715.37","5,702.51","5,754.49","5,654.02","-","0.39%"
"Apr 07, 2020","5,693.17","5,813.68","5,851.21","5,678.03","-","0.70%"
"Apr 06, 2020","5,653.44","5,587.97","5,669.78","5,555.10","-","3.53%"
"Apr 03, 2020","5,460.82","5,485.52","5,511.08","5,429.49","-","-1.13%"
"Apr 02, 2020","5,523.03","5,517.94","5,523.03","5,362.41","-","0.92%"
"Apr 01, 2020","5,472.87","5,466.91","5,514.96","5,427.68","-","-1.97%"
"Mar 31, 2020","5,582.74","5,531.28","5,663.19","5,476.61","-","4.28%"
"Mar 30, 2020","5,353.68","5,193.12","5,379.62","5,062.52","-","4.13%"
"Mar 27, 2020","5,141.38","5,144.41","5,230.83","5,074.10","-","-0.13%"
"Mar 26, 2020","5,148.02","4,864.26","5,166.73","4,801.89","-","6.19%"
"Mar 25, 2020","4,847.96","4,909.36","4,976.68","4,793.71","-","2.78%"
"Mar 24, 2020","4,716.62","4,737.08","4,830.44","4,699.79","-","2.50%"
"Mar 23, 2020","4,601.37","4,595.74","4,707.89","4,506.97","-","-3.81%"
"Mar 20, 2020","4,783.61","4,644.74","4,841.26","4,640.70","-","4.99%"
"Mar 19, 2020","4,556.25","4,630.27","4,673.57","4,437.08","-","-2.46%"
"Mar 18, 2020","4,671.15","4,877.84","4,931.31","4,643.81","-","-4.64%"
"Mar 17, 2020","4,898.62","5,041.76","5,118.14","4,834.17","-","-0.83%"
"Mar 16, 2020","4,939.40","4,817.96","4,950.10","4,648.89","-","-2.45%"
"Mar 13, 2020","5,063.58","5,079.53","5,481.39","5,007.42","-","0.44%"
"Mar 12, 2020","5,041.49","5,115.07","5,355.77","5,012.86","-","-10.12%"
"Mar 11, 2020","5,608.89","5,820.87","5,878.22","5,554.27","-","-3.21%"
"Mar 10, 2020","5,794.98","5,892.90","6,052.61","5,730.21","-","-1.43%"
"Mar 09, 2020","5,878.92","5,765.47","6,003.94","5,765.47","-","-4.73%"
"Mar 06, 2020","6,170.88","6,201.84","6,201.84","6,089.78","-","-2.24%"
"Mar 05, 2020","6,312.15","6,391.25","6,411.02","6,228.60","-","-0.05%"
"Mar 04, 2020","6,315.53","6,493.01","6,493.01","6,279.82","-","-2.05%"
"Mar 03, 2020","6,447.40","6,269.52","6,496.36","6,230.16","-","4.68%"
"Mar 02, 2020","6,159.13","6,157.25","6,335.69","6,119.25","-","0.91%"
"Feb 28, 2020","6,103.79","6,023.02","6,244.09","6,009.78","-","-2.01%"
"Feb 27, 2020","6,228.81","6,435.14","6,435.14","6,161.49","-","-3.72%"
"Feb 26, 2020","6,469.26","6,319.50","6,489.00","6,062.49","-","1.47%"
"Feb 25, 2020","6,375.85","6,486.92","6,601.00","6,359.07","-","-1.75%"
"Feb 24, 2020","6,489.47","6,749.00","6,749.00","6,406.58","-","-4.15%"
"Feb 21, 2020","6,770.13","6,789.78","6,789.78","6,719.54","-","-0.64%"
"Feb 20, 2020","6,813.60","6,836.51","6,880.10","6,767.42","-","-0.15%"
"Feb 19, 2020","6,823.83","6,800.38","6,848.96","6,728.09","-","0.43%"
"Feb 18, 2020","6,794.50","6,729.84","6,812.19","6,691.97","-","0.86%"
"Feb 17, 2020","6,736.54","6,760.79","6,762.74","6,697.08","-","0.06%"
"Feb 14, 2020","6,732.44","6,788.42","6,851.27","6,717.94","-","-0.70%"
"Feb 13, 2020","6,779.96","6,867.42","6,867.42","6,701.60","-","-1.13%"
"Feb 12, 2020","6,857.54","6,751.60","6,857.54","6,751.60","-","1.55%"
"Feb 11, 2020","6,753.15","6,770.41","6,777.99","6,723.55","-","1.04%"
"Feb 10, 2020","6,683.74","6,713.52","6,725.58","6,647.34","-","0.14%"
"Feb 07, 2020","6,674.07","6,746.74","6,938.86","6,650.75","-","-1.15%"
"Feb 06, 2020","6,751.98","6,562.35","6,751.98","6,424.58","-","2.83%"
"Feb 05, 2020","6,566.08","6,708.65","6,737.65","6,554.82","-","-2.64%"
"Feb 04, 2020","6,743.84","6,637.34","6,759.93","6,637.34","-","1.35%"
"Feb 03, 2020","6,653.77","6,665.10","6,689.41","6,611.47","-","0.21%"
"Jan 31, 2020","6,639.90","6,603.29","6,712.56","6,603.29","-","0.05%"
"Jan 30, 2020","6,636.80","6,870.19","6,870.19","6,616.70","-","-3.87%"
"Jan 29, 2020","6,903.75","6,874.65","6,917.70","6,859.83","-","0.79%"
"Jan 28, 2020","6,849.32","6,817.99","6,866.10","6,758.20","-","0.48%"
"Jan 27, 2020","6,816.88","6,925.04","6,925.04","6,756.21","-","-2.16%"
"Jan 24, 2020","6,967.03","6,913.85","6,983.04","6,888.75","-","1.70%"
"Jan 23, 2020","6,850.45","6,921.97","6,921.97","6,823.49","-","-1.03%"
"Jan 22, 2020","6,921.98","6,871.51","6,949.38","6,865.36","-","0.94%"
"Jan 21, 2020","6,857.67","6,903.73","6,903.73","6,806.66","-","-0.93%"
"Jan 20, 2020","6,922.25","6,889.36","6,959.70","6,879.30","-","0.84%"
"Jan 17, 2020","6,864.44","6,808.71","6,879.69","6,785.59","-","1.29%"
"Jan 16, 2020","6,776.69","6,773.40","6,829.40","6,762.65","-","0.29%"
"Jan 15, 2020","6,757.12","6,690.12","6,775.50","6,681.90","-","0.18%"
"Jan 14, 2020","6,744.72","6,733.11","6,760.10","6,683.91","-","0.21%"
"Jan 13, 2020","6,730.53","6,703.67","6,736.03","6,690.81","-","0.50%"
"Jan 10, 2020","6,697.10","6,719.33","6,739.26","6,635.10","-","0.02%"
"Jan 09, 2020","6,695.91","6,635.17","6,721.46","6,635.17","-","1.48%"
"Jan 08, 2020","6,598.52","6,531.65","6,612.66","6,509.14","-","0.72%"
"Jan 07, 2020","6,551.29","6,550.53","6,630.46","6,531.31","-","0.36%"
"Jan 06, 2020","6,527.79","6,599.57","6,599.57","6,503.54","-","-1.60%"
"Jan 03, 2020","6,633.99","6,713.48","6,713.48","6,561.91","-","-1.06%"
"Jan 02, 2020","6,705.31","6,641.41","6,711.16","6,638.89","-","1.39%"
"Dec 30, 2019","6,613.12","6,674.63","6,674.63","6,603.87","-","-0.81%"
"Dec 27, 2019","6,667.21","6,685.46","6,704.72","6,649.00","-","-0.01%"
"Dec 23, 2019","6,667.93","6,512.90","6,667.93","6,512.90","-","2.62%"
"Dec 20, 2019","6,497.77","6,486.00","6,540.60","6,486.00","-","0.21%"
"Dec 19, 2019","6,484.22","6,564.01","6,564.01","6,481.67","-","-0.95%"
"Dec 18, 2019","6,546.58","6,542.03","6,547.22","6,493.93","-","0.13%"
"Dec 17, 2019","6,538.24","6,625.81","6,637.80","6,503.30","-","-1.17%"
"Dec 16, 2019","6,615.36","6,570.24","6,655.60","6,558.87","-","1.16%"
"Dec 13, 2019","6,539.71","6,532.73","6,548.72","6,472.24","-","1.12%"
"Dec 12, 2019","6,466.96","6,460.40","6,498.95","6,450.63","-","0.37%"
"Dec 11, 2019","6,443.03","6,473.00","6,476.01","6,396.56","-","-0.34%"
"Dec 10, 2019","6,465.05","6,444.97","6,480.09","6,404.52","-","0.05%"
"Dec 09, 2019","6,461.59","6,536.12","6,538.44","6,421.12","-","-0.44%"
"Dec 06, 2019","6,490.44","6,447.22","6,519.66","6,447.22","-","-0.15%"
"Dec 05, 2019","6,500.17","6,462.38","6,531.78","6,438.31","-","0.80%"
"Dec 04, 2019","6,448.54","6,343.78","6,448.54","6,343.78","-","1.56%"
"Dec 03, 2019","6,349.36","6,289.63","6,361.77","6,286.22","-","1.72%"
"Dec 02, 2019","6,241.81","6,209.57","6,289.74","6,183.08","-","0.69%"
"Nov 29, 2019","6,198.87","6,176.54","6,213.76","6,164.73","-","0.37%"
"Nov 28, 2019","6,175.78","6,179.76","6,203.94","6,159.00","-","-0.04%"
"Nov 27, 2019","6,178.05","6,140.34","6,185.89","6,110.15","-","0.44%"
"Nov 26, 2019","6,150.75","6,064.71","6,155.34","6,061.26","-","1.30%"
"Nov 25, 2019","6,071.87","6,056.42","6,115.22","6,022.76","-","0.75%"
"Nov 22, 2019","6,026.38","5,993.65","6,075.00","5,993.65","-","0.42%"
"Nov 21, 2019","6,001.44","5,962.07","6,010.39","5,953.27","-","0.07%"
"Nov 20, 2019","5,997.54","5,965.05","6,010.53","5,903.38","-","0.73%"
"Nov 19, 2019","5,954.26","6,028.86","6,038.27","5,945.31","-","-0.84%"
"Nov 18, 2019","6,004.75","5,982.17","6,050.03","5,938.72","-","0.90%"
