"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","986.91","1,032.80","1,047.53","978.62","-","-3.48%"
"Apr 29, 2020","1,022.50","963.21","1,026.30","963.21","-","6.39%"
"Apr 28, 2020","961.12","936.99","977.86","936.57","-","2.70%"
"Apr 27, 2020","935.87","896.81","935.87","896.03","-","5.29%"
"Apr 24, 2020","888.86","897.62","914.99","884.55","-","-3.20%"
"Apr 23, 2020","918.25","904.74","926.53","892.04","-","2.57%"
"Apr 22, 2020","895.25","891.59","898.08","884.23","-","1.37%"
"Apr 21, 2020","883.14","913.07","913.07","882.24","-","-5.44%"
"Apr 20, 2020","933.96","952.17","952.17","913.43","-","-0.65%"
"Apr 17, 2020","940.05","895.66","950.30","895.66","-","5.17%"
"Apr 16, 2020","893.81","904.37","916.08","882.02","-","0.83%"
"Apr 15, 2020","886.47","939.45","939.45","884.85","-","-5.72%"
"Apr 14, 2020","940.26","947.53","969.35","940.25","-","0.19%"
"Apr 09, 2020","938.50","910.31","948.95","908.03","-","4.43%"
"Apr 08, 2020","898.71","889.33","908.15","873.08","-","0.35%"
"Apr 07, 2020","895.57","869.56","934.26","869.56","-","3.06%"
"Apr 06, 2020","869.02","783.79","869.02","783.79","-","10.95%"
"Apr 03, 2020","783.28","791.28","803.08","775.36","-","-0.98%"
"Apr 02, 2020","791.05","800.20","824.54","771.34","-","-0.14%"
"Apr 01, 2020","792.16","848.48","848.48","792.16","-","-6.68%"
"Mar 31, 2020","848.88","842.79","865.71","822.04","-","2.05%"
"Mar 30, 2020","831.85","846.48","846.48","805.83","-","-0.09%"
"Mar 27, 2020","832.58","866.46","875.69","828.82","-","-6.47%"
"Mar 26, 2020","890.18","861.51","890.19","848.62","-","0.16%"
"Mar 25, 2020","888.80","890.60","932.26","845.38","-","2.88%"
"Mar 24, 2020","863.92","768.21","863.92","763.13","-","19.14%"
"Mar 23, 2020","725.13","732.82","741.88","694.30","-","-1.11%"
"Mar 20, 2020","733.28","732.93","749.44","722.44","-","6.16%"
"Mar 19, 2020","690.70","695.02","725.42","660.30","-","-1.22%"
"Mar 18, 2020","699.20","761.46","761.46","693.13","-","-8.22%"
"Mar 17, 2020","761.83","743.17","777.72","703.26","-","2.55%"
"Mar 16, 2020","742.91","812.27","812.27","720.94","-","-10.28%"
"Mar 13, 2020","828.07","829.22","921.24","818.03","-","1.21%"
"Mar 12, 2020","818.19","957.92","957.92","815.38","-","-16.27%"
"Mar 11, 2020","977.15","979.29","1,019.10","969.15","-","0.44%"
"Mar 10, 2020","972.86","973.17","1,043.51","967.25","-","0.27%"
"Mar 09, 2020","970.21","1,073.95","1,073.95","969.98","-","-11.04%"
"Mar 06, 2020","1,090.57","1,114.94","1,114.94","1,068.43","-","-2.21%"
"Mar 05, 2020","1,115.25","1,160.75","1,160.75","1,108.54","-","-3.71%"
"Mar 04, 2020","1,158.19","1,145.18","1,167.99","1,142.00","-","1.15%"
