"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","55.82","58.89","60.32","54.71","-","-5.39%"
"Apr 29, 2020","59.00","53.28","59.00","53.28","-","9.95%"
"Apr 28, 2020","53.66","51.72","53.95","51.68","-","4.19%"
"Apr 27, 2020","51.50","47.16","51.50","47.16","-","10.37%"
"Apr 24, 2020","46.66","49.12","49.18","46.66","-","-5.66%"
"Apr 23, 2020","49.46","48.27","50.09","47.37","-","3.06%"
"Apr 22, 2020","47.99","47.89","48.32","47.31","-","1.52%"
"Apr 21, 2020","47.27","48.85","49.01","47.27","-","-5.72%"
"Apr 20, 2020","50.14","50.82","50.82","48.61","-","-0.97%"
"Apr 17, 2020","50.63","48.76","51.36","48.76","-","4.76%"
"Apr 16, 2020","48.33","49.31","50.26","47.61","-","0.73%"
"Apr 15, 2020","47.98","52.66","52.66","47.98","-","-9.11%"
"Apr 14, 2020","52.79","53.46","54.11","52.47","-","0.69%"
"Apr 09, 2020","52.43","52.69","53.57","51.22","-","1.69%"
"Apr 08, 2020","51.56","52.05","52.09","50.62","-","-2.75%"
"Apr 07, 2020","53.02","50.95","54.22","50.95","-","5.26%"
"Apr 06, 2020","50.37","46.80","50.58","46.80","-","7.81%"
"Apr 03, 2020","46.72","47.70","48.04","46.60","-","-1.41%"
"Apr 02, 2020","47.39","48.64","50.40","46.99","-","-1.13%"
"Apr 01, 2020","47.93","50.34","50.34","47.58","-","-5.98%"
"Mar 31, 2020","50.98","51.23","51.23","48.68","-","1.86%"
"Mar 30, 2020","50.05","51.25","51.25","48.69","-","-2.34%"
"Mar 27, 2020","51.25","54.36","54.36","50.75","-","-6.55%"
"Mar 26, 2020","54.84","54.36","54.99","52.26","-","-0.07%"
"Mar 25, 2020","54.88","55.26","58.24","51.86","-","4.31%"
"Mar 24, 2020","52.61","47.08","52.61","47.07","-","12.03%"
"Mar 23, 2020","46.96","47.25","49.22","45.76","-","-1.84%"
"Mar 20, 2020","47.84","50.77","51.61","47.19","-","0.19%"
"Mar 19, 2020","47.75","46.23","48.66","45.81","-","4.92%"
"Mar 18, 2020","45.51","45.75","48.06","44.05","-","-1.28%"
