"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,440.34","1,485.00","1,494.83","1,434.18","-","-2.87%"
"Apr 29, 2020","1,482.83","1,390.63","1,482.83","1,390.63","-","7.07%"
"Apr 28, 2020","1,384.91","1,359.94","1,402.08","1,341.37","-","1.27%"
"Apr 27, 2020","1,367.51","1,348.99","1,373.81","1,348.63","-","3.13%"
"Apr 24, 2020","1,325.95","1,336.60","1,359.34","1,324.87","-","-3.09%"
"Apr 23, 2020","1,368.20","1,338.77","1,373.01","1,337.59","-","2.50%"
"Apr 22, 2020","1,334.86","1,335.43","1,337.12","1,310.86","-","1.15%"
"Apr 21, 2020","1,319.68","1,340.92","1,350.21","1,318.84","-","-2.24%"
"Apr 20, 2020","1,349.91","1,357.22","1,363.16","1,332.81","-","-0.30%"
"Apr 17, 2020","1,353.96","1,332.12","1,357.28","1,326.86","-","4.01%"
"Apr 16, 2020","1,301.78","1,315.56","1,329.79","1,301.64","-","-0.14%"
"Apr 15, 2020","1,303.59","1,357.80","1,359.31","1,299.84","-","-4.43%"
"Apr 14, 2020","1,364.02","1,361.86","1,381.43","1,348.23","-","2.23%"
"Apr 09, 2020","1,334.22","1,329.70","1,343.04","1,311.70","-","1.47%"
"Apr 08, 2020","1,314.84","1,299.28","1,319.93","1,287.38","-","1.01%"
"Apr 07, 2020","1,301.72","1,259.50","1,322.44","1,259.50","-","4.87%"
"Apr 06, 2020","1,241.30","1,213.45","1,257.74","1,213.45","-","3.96%"
"Apr 03, 2020","1,193.96","1,191.89","1,209.17","1,178.83","-","0.03%"
"Apr 02, 2020","1,193.55","1,178.87","1,210.01","1,165.41","-","0.82%"
"Apr 01, 2020","1,183.84","1,169.93","1,191.08","1,143.17","-","-0.06%"
"Mar 31, 2020","1,184.56","1,171.49","1,197.41","1,168.78","-","2.51%"
"Mar 30, 2020","1,155.56","1,164.10","1,165.59","1,117.59","-","0.30%"
"Mar 27, 2020","1,152.14","1,144.53","1,168.86","1,135.83","-","-0.88%"
"Mar 26, 2020","1,162.42","1,165.82","1,179.20","1,139.49","-","-1.59%"
"Mar 25, 2020","1,181.20","1,149.76","1,185.97","1,132.55","-","4.33%"
"Mar 24, 2020","1,132.22","1,050.92","1,136.62","1,050.92","-","9.50%"
