"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,375.34","2,476.53","2,479.85","2,367.48","-","-3.82%"
"Apr 29, 2020","2,469.63","2,411.52","2,474.37","2,409.41","-","2.40%"
"Apr 28, 2020","2,411.84","2,358.50","2,423.47","2,356.05","-","2.07%"
"Apr 27, 2020","2,362.86","2,364.23","2,370.17","2,341.38","-","2.35%"
"Apr 24, 2020","2,308.64","2,318.55","2,352.21","2,308.64","-","-2.45%"
"Apr 23, 2020","2,366.61","2,334.48","2,378.96","2,313.70","-","1.29%"
"Apr 22, 2020","2,336.56","2,318.75","2,338.75","2,309.41","-","1.84%"
"Apr 21, 2020","2,294.26","2,361.85","2,361.85","2,294.25","-","-4.60%"
"Apr 20, 2020","2,404.96","2,392.47","2,404.98","2,340.09","-","0.43%"
"Apr 17, 2020","2,394.68","2,303.98","2,405.71","2,303.89","-","4.30%"
"Apr 16, 2020","2,295.92","2,336.79","2,336.79","2,285.46","-","-0.29%"
"Apr 15, 2020","2,302.55","2,381.49","2,387.97","2,296.74","-","-3.83%"
"Apr 14, 2020","2,394.34","2,405.36","2,419.96","2,384.40","-","1.17%"
"Apr 09, 2020","2,366.56","2,358.48","2,392.97","2,304.92","-","1.77%"
"Apr 08, 2020","2,325.44","2,333.59","2,335.33","2,300.58","-","-0.97%"
"Apr 07, 2020","2,348.18","2,292.87","2,357.48","2,292.39","-","4.63%"
"Apr 06, 2020","2,244.35","2,128.53","2,245.45","2,128.53","-","5.77%"
"Apr 03, 2020","2,121.89","2,123.23","2,136.67","2,103.01","-","-0.46%"
"Apr 02, 2020","2,131.62","2,109.53","2,143.16","2,063.84","-","0.51%"
"Apr 01, 2020","2,120.74","2,207.73","2,207.73","2,104.66","-","-4.38%"
"Mar 31, 2020","2,217.90","2,207.71","2,234.21","2,153.90","-","1.79%"
"Mar 30, 2020","2,178.80","2,127.12","2,178.80","2,084.34","-","3.91%"
"Mar 27, 2020","2,096.84","2,139.68","2,172.77","2,087.87","-","-3.97%"
"Mar 26, 2020","2,183.54","2,166.03","2,183.54","2,085.77","-","0.52%"
"Mar 25, 2020","2,172.24","2,207.86","2,217.36","2,077.08","-","-0.09%"
"Mar 24, 2020","2,174.26","1,989.02","2,174.26","1,989.02","-","9.57%"
"Mar 23, 2020","1,984.40","2,058.42","2,072.08","1,938.52","-","-3.61%"
"Mar 20, 2020","2,058.77","2,071.00","2,187.63","1,999.83","-","2.47%"
"Mar 19, 2020","2,009.14","1,978.52","2,036.60","1,928.08","-","1.60%"
"Mar 18, 2020","1,977.53","2,050.64","2,050.64","1,918.96","-","-3.58%"
"Mar 17, 2020","2,050.96","1,954.91","2,074.73","1,927.06","-","4.99%"
"Mar 16, 2020","1,953.51","1,969.37","2,021.40","1,852.94","-","-5.89%"
"Mar 13, 2020","2,075.83","2,048.52","2,231.29","2,048.52","-","1.45%"
"Mar 12, 2020","2,046.16","2,175.83","2,175.83","2,039.26","-","-8.66%"
"Mar 11, 2020","2,240.15","2,192.45","2,274.48","2,192.45","-","2.54%"
"Mar 10, 2020","2,184.76","2,247.41","2,310.33","2,165.91","-","-2.20%"
"Mar 09, 2020","2,233.89","2,379.59","2,379.59","2,210.72","-","-8.56%"
"Mar 06, 2020","2,442.94","2,549.08","2,549.08","2,432.90","-","-4.19%"
"Mar 05, 2020","2,549.70","2,599.97","2,613.45","2,530.88","-","-1.11%"
"Mar 04, 2020","2,578.29","2,539.44","2,584.63","2,533.57","-","1.51%"
