"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","647.39","668.96","680.30","637.02","-","-3.32%"
"Apr 29, 2020","669.63","627.03","669.70","627.03","-","7.75%"
"Apr 28, 2020","621.49","606.57","632.92","604.76","-","2.40%"
"Apr 27, 2020","606.94","594.02","606.94","593.18","-","5.24%"
"Apr 24, 2020","576.70","578.34","589.64","571.55","-","-2.50%"
"Apr 23, 2020","591.47","588.50","596.28","578.80","-","1.25%"
"Apr 22, 2020","584.19","577.60","591.51","573.08","-","2.84%"
"Apr 21, 2020","568.05","596.22","596.22","568.01","-","-6.24%"
"Apr 20, 2020","605.84","606.39","608.98","590.14","-","0.99%"
"Apr 17, 2020","599.93","570.30","610.65","568.20","-","6.32%"
"Apr 16, 2020","564.26","586.22","595.05","562.74","-","-2.30%"
"Apr 15, 2020","577.53","621.05","621.05","575.66","-","-7.26%"
"Apr 14, 2020","622.73","651.37","651.37","622.68","-","-2.76%"
"Apr 09, 2020","640.38","621.81","641.03","611.62","-","5.83%"
"Apr 08, 2020","605.09","603.83","609.68","597.07","-","-1.14%"
"Apr 07, 2020","612.05","608.40","643.38","595.96","-","4.52%"
"Apr 06, 2020","585.57","571.17","588.66","571.17","-","7.05%"
"Apr 03, 2020","547.02","562.18","562.18","546.39","-","-2.67%"
"Apr 02, 2020","562.02","558.05","574.10","556.56","-","0.84%"
"Apr 01, 2020","557.32","557.36","561.68","531.96","-","-1.68%"
"Mar 31, 2020","566.85","543.90","566.86","539.93","-","5.60%"
"Mar 30, 2020","536.80","549.73","553.01","520.44","-","-3.70%"
"Mar 27, 2020","557.40","549.57","565.77","549.57","-","-1.62%"
"Mar 26, 2020","566.59","523.22","566.63","520.67","-","6.00%"
"Mar 25, 2020","534.53","557.27","573.94","513.34","-","-0.28%"
"Mar 24, 2020","536.05","502.00","536.06","494.58","-","12.42%"
"Mar 23, 2020","476.83","464.57","491.66","449.31","-","-0.80%"
"Mar 20, 2020","480.69","434.62","496.67","434.62","-","10.60%"
"Mar 19, 2020","434.62","459.28","468.61","418.98","-","-5.52%"
"Mar 18, 2020","460.02","502.13","502.13","445.16","-","-8.93%"
"Mar 17, 2020","505.14","515.38","519.13","465.51","-","1.47%"
"Mar 16, 2020","497.81","529.10","529.10","474.78","-","-11.47%"
"Mar 13, 2020","562.31","570.61","622.47","557.95","-","-0.55%"
"Mar 12, 2020","565.44","661.80","661.81","565.44","-","-14.56%"
"Mar 11, 2020","661.83","665.80","685.97","659.95","-","0.32%"
"Mar 10, 2020","659.72","687.78","707.31","659.72","-","-3.11%"
"Mar 09, 2020","680.92","729.91","729.91","680.92","-","-7.36%"
"Mar 06, 2020","735.02","743.22","750.34","723.52","-","-3.20%"
"Mar 05, 2020","759.34","781.69","782.24","752.93","-","-2.24%"
"Mar 04, 2020","776.75","791.45","796.39","772.91","-","-1.25%"
"Mar 03, 2020","786.60","782.56","804.05","781.62","-","0.97%"
"Mar 02, 2020","779.08","801.37","804.15","765.41","-","-1.47%"
"Feb 28, 2020","790.68","827.54","827.54","782.11","-","-4.46%"
"Feb 27, 2020","827.58","837.38","842.27","816.28","-","-2.46%"
"Feb 26, 2020","848.49","851.24","851.80","826.53","-","-0.52%"
"Feb 25, 2020","852.90","875.35","881.92","852.17","-","-2.39%"
"Feb 24, 2020","873.77","882.61","882.61","863.97","-","-3.46%"
"Feb 21, 2020","905.13","909.55","916.26","902.37","-","-0.98%"
"Feb 20, 2020","914.09","910.74","927.72","909.46","-","-0.09%"
"Feb 19, 2020","914.92","922.12","923.05","906.97","-","-0.34%"
"Feb 18, 2020","918.05","943.01","943.54","917.89","-","-2.79%"
"Feb 17, 2020","944.42","953.26","958.76","943.32","-","-0.23%"
"Feb 14, 2020","946.64","944.21","954.65","944.21","-","-0.11%"
"Feb 13, 2020","947.69","947.58","957.00","933.24","-","-1.59%"
"Feb 12, 2020","963.02","952.66","965.30","951.86","-","0.87%"
"Feb 11, 2020","954.69","951.15","957.06","938.89","-","1.32%"
"Feb 10, 2020","942.26","939.88","948.02","938.74","-","-0.04%"
"Feb 07, 2020","942.66","947.81","947.81","936.63","-","-0.44%"
"Feb 06, 2020","946.82","954.35","957.47","945.57","-","-0.09%"
"Feb 05, 2020","947.66","930.10","955.06","930.10","-","2.07%"
"Feb 04, 2020","928.48","915.94","929.46","915.94","-","1.52%"
"Feb 03, 2020","914.55","906.52","914.78","903.57","-","0.96%"
"Jan 31, 2020","905.82","925.93","926.39","904.56","-","-2.12%"
"Jan 30, 2020","925.46","931.61","934.75","924.72","-","-1.65%"
"Jan 29, 2020","941.02","940.96","944.94","938.54","-","0.12%"
"Jan 28, 2020","939.85","940.57","943.01","931.97","-","0.44%"
"Jan 27, 2020","935.75","956.07","956.07","934.77","-","-2.36%"
"Jan 24, 2020","958.35","957.87","962.30","954.35","-","0.76%"
"Jan 23, 2020","951.13","964.46","964.46","943.09","-","-1.69%"
"Jan 22, 2020","967.48","975.04","980.51","966.67","-","-0.47%"
"Jan 21, 2020","972.02","968.35","972.56","963.19","-","0.14%"
"Jan 20, 2020","970.68","956.72","972.43","956.72","-","1.25%"
"Jan 17, 2020","958.69","950.10","961.36","950.01","-","1.44%"
"Jan 16, 2020","945.04","942.01","945.07","930.63","-","0.81%"
"Jan 15, 2020","937.42","950.14","950.14","928.86","-","-0.80%"
"Jan 14, 2020","944.97","950.67","959.17","941.71","-","-0.93%"
"Jan 13, 2020","953.80","954.23","956.02","948.95","-","-0.06%"
"Jan 10, 2020","954.41","974.28","974.28","952.05","-","-1.53%"
"Jan 09, 2020","969.22","978.09","984.18","965.61","-","-0.69%"
"Jan 08, 2020","976.00","962.22","978.77","956.74","-","0.89%"
"Jan 07, 2020","967.39","949.74","970.45","949.57","-","2.20%"
"Jan 06, 2020","946.60","943.25","946.67","931.48","-","-0.11%"
"Jan 03, 2020","947.66","970.21","970.21","940.50","-","-2.45%"
"Jan 02, 2020","971.44","961.11","979.98","961.11","-","0.78%"
"Dec 30, 2019","963.90","963.87","967.52","961.08","-","0.00%"
"Dec 27, 2019","963.87","966.60","970.74","962.20","-","-0.12%"
"Dec 23, 2019","964.98","956.30","964.98","956.30","-","0.88%"
"Dec 20, 2019","956.53","971.61","973.79","956.24","-","-1.29%"
"Dec 19, 2019","969.00","986.44","990.39","968.69","-","-2.02%"
"Dec 18, 2019","989.00","992.04","996.52","988.16","-","-0.52%"
"Dec 17, 2019","994.14","1,000.31","1,003.88","994.14","-","-0.46%"
"Dec 16, 2019","998.69","998.18","1,000.80","991.41","-","0.17%"
"Dec 13, 2019","997.01","1,018.44","1,027.63","997.00","-","-0.63%"
"Dec 12, 2019","1,003.33","992.20","1,006.64","989.79","-","1.15%"
"Dec 11, 2019","991.91","988.06","996.31","984.22","-","0.36%"
"Dec 10, 2019","988.35","982.79","988.35","969.15","-","0.07%"
"Dec 09, 2019","987.61","986.13","991.68","982.82","-","-0.32%"
"Dec 06, 2019","990.77","988.64","994.02","982.73","-","0.61%"
"Dec 05, 2019","984.79","985.70","996.84","983.64","-","-0.07%"
"Dec 04, 2019","985.52","976.27","990.06","972.21","-","1.03%"
"Dec 03, 2019","975.52","985.86","985.86","964.78","-","-0.54%"
"Dec 02, 2019","980.80","986.32","1,003.69","979.42","-","-0.38%"
"Nov 29, 2019","984.51","991.27","992.95","984.50","-","-1.25%"
"Nov 28, 2019","997.02","992.52","1,000.24","988.42","-","0.18%"
"Nov 27, 2019","995.25","998.80","1,005.50","989.68","-","-0.13%"
"Nov 26, 2019","996.59","991.19","997.40","985.41","-","0.47%"
"Nov 25, 2019","991.88","988.05","996.38","985.69","-","1.12%"
"Nov 22, 2019","980.85","981.28","990.54","976.86","-","0.22%"
"Nov 21, 2019","978.73","976.00","983.22","971.92","-","-0.43%"
"Nov 20, 2019","982.97","976.15","983.55","968.33","-","-0.05%"
"Nov 19, 2019","983.48","982.70","999.04","978.66","-","0.51%"
"Nov 18, 2019","978.46","986.45","987.26","970.59","-","-0.57%"
"Nov 15, 2019","984.07","964.39","985.04","964.39","-","2.19%"
"Nov 14, 2019","962.99","956.49","966.86","951.32","-","0.47%"
"Nov 13, 2019","958.52","976.08","976.08","954.28","-","-2.20%"
"Nov 12, 2019","980.09","971.35","984.71","966.66","-","0.88%"
"Nov 11, 2019","971.53","965.46","978.85","962.05","-","0.70%"
"Nov 08, 2019","964.77","963.65","968.68","945.60","-","0.01%"
"Nov 07, 2019","964.69","999.66","999.66","961.30","-","-3.37%"
"Nov 06, 2019","998.32","998.07","1,002.22","992.88","-","0.16%"
"Nov 05, 2019","996.73","1,006.51","1,008.38","994.62","-","-0.64%"
"Nov 04, 2019","1,003.14","997.17","1,006.23","996.90","-","1.43%"
"Nov 01, 2019","988.97","984.62","993.00","983.01","-","0.99%"
"Oct 31, 2019","979.27","973.46","980.94","954.14","-","0.52%"
"Oct 30, 2019","974.16","982.84","982.84","961.62","-","-0.84%"
"Oct 29, 2019","982.43","975.79","987.94","966.63","-","0.87%"
"Oct 28, 2019","973.93","969.08","977.32","968.15","-","0.56%"
"Oct 25, 2019","968.50","964.69","970.29","961.10","-","1.26%"
"Oct 24, 2019","956.44","960.74","964.51","952.33","-","0.27%"
"Oct 23, 2019","953.82","942.45","957.57","940.54","-","0.74%"
"Oct 22, 2019","946.81","956.21","962.77","942.18","-","-1.00%"
"Oct 21, 2019","956.39","946.87","961.21","945.42","-","1.06%"
"Oct 18, 2019","946.35","949.82","955.57","945.16","-","0.04%"
"Oct 17, 2019","945.99","934.65","964.28","933.02","-","1.11%"
"Oct 16, 2019","935.64","933.56","936.51","922.93","-","0.04%"
"Oct 15, 2019","935.30","937.75","944.48","924.78","-","0.14%"
