"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,696.82","1,724.67","1,739.37","1,693.77","-","-0.84%"
"Apr 29, 2020","1,711.26","1,667.68","1,715.10","1,644.32","-","2.53%"
"Apr 28, 2020","1,668.99","1,671.80","1,691.61","1,643.70","-","0.52%"
"Apr 27, 2020","1,660.29","1,653.37","1,699.62","1,628.26","-","0.95%"
"Apr 24, 2020","1,644.63","1,649.68","1,658.87","1,635.00","-","-1.62%"
"Apr 23, 2020","1,671.71","1,654.52","1,687.39","1,644.45","-","0.78%"
"Apr 22, 2020","1,658.82","1,676.77","1,679.03","1,649.21","-","-0.59%"
"Apr 21, 2020","1,668.67","1,714.81","1,720.21","1,668.67","-","-3.61%"
"Apr 20, 2020","1,731.19","1,731.53","1,736.03","1,701.44","-","0.86%"
"Apr 17, 2020","1,716.42","1,714.62","1,741.63","1,706.10","-","2.81%"
"Apr 16, 2020","1,669.55","1,691.92","1,691.92","1,657.43","-","-0.39%"
"Apr 15, 2020","1,676.11","1,729.53","1,733.83","1,672.98","-","-4.01%"
"Apr 14, 2020","1,746.13","1,751.94","1,751.94","1,723.31","-","1.12%"
"Apr 09, 2020","1,726.81","1,694.59","1,729.51","1,682.13","-","2.90%"
"Apr 08, 2020","1,678.15","1,630.02","1,680.71","1,627.59","-","2.18%"
"Apr 07, 2020","1,642.41","1,640.39","1,672.30","1,634.95","-","3.40%"
"Apr 06, 2020","1,588.37","1,538.13","1,594.53","1,537.04","-","4.30%"
"Apr 03, 2020","1,522.91","1,563.33","1,571.16","1,522.91","-","-3.35%"
"Apr 02, 2020","1,575.77","1,580.22","1,582.36","1,545.99","-","0.10%"
"Apr 01, 2020","1,574.14","1,611.57","1,611.57","1,554.02","-","-3.13%"
"Mar 31, 2020","1,625.05","1,652.86","1,657.82","1,594.64","-","0.61%"
"Mar 30, 2020","1,615.19","1,633.88","1,633.88","1,569.02","-","-0.61%"
"Mar 27, 2020","1,625.03","1,639.28","1,650.31","1,600.61","-","-2.34%"
"Mar 26, 2020","1,663.90","1,607.91","1,663.90","1,594.70","-","1.31%"
