"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,259.74","2,276.04","2,305.15","2,254.40","-","0.04%"
"Apr 29, 2020","2,258.74","2,236.67","2,259.78","2,224.37","-","1.15%"
"Apr 28, 2020","2,233.06","2,247.01","2,266.02","2,224.29","-","-0.07%"
"Apr 27, 2020","2,234.73","2,225.85","2,246.73","2,213.09","-","1.51%"
"Apr 24, 2020","2,201.44","2,183.36","2,214.79","2,179.96","-","-0.36%"
"Apr 23, 2020","2,209.30","2,202.44","2,227.19","2,197.55","-","0.35%"
"Apr 22, 2020","2,201.66","2,185.25","2,213.84","2,183.72","-","1.49%"
"Apr 21, 2020","2,169.44","2,207.41","2,207.41","2,163.12","-","-2.18%"
"Apr 20, 2020","2,217.87","2,233.33","2,238.96","2,203.83","-","-0.48%"
"Apr 17, 2020","2,228.51","2,252.06","2,263.20","2,220.87","-","0.94%"
"Apr 16, 2020","2,207.72","2,214.38","2,232.22","2,199.98","-","0.75%"
"Apr 15, 2020","2,191.33","2,200.54","2,210.59","2,181.82","-","-0.71%"
"Apr 14, 2020","2,207.07","2,231.27","2,245.34","2,201.85","-","0.11%"
"Apr 09, 2020","2,204.74","2,189.45","2,222.03","2,171.89","-","1.12%"
"Apr 08, 2020","2,180.42","2,158.54","2,197.13","2,154.27","-","1.27%"
"Apr 07, 2020","2,153.05","2,181.28","2,214.01","2,136.76","-","0.59%"
"Apr 06, 2020","2,140.37","2,115.10","2,156.44","2,112.89","-","2.60%"
"Apr 03, 2020","2,086.10","2,055.62","2,094.28","2,044.85","-","1.48%"
"Apr 02, 2020","2,055.63","2,057.55","2,067.13","2,021.03","-","0.01%"
"Apr 01, 2020","2,055.42","2,081.12","2,087.79","2,034.31","-","-2.47%"
"Mar 31, 2020","2,107.57","2,117.50","2,137.50","2,061.49","-","0.93%"
"Mar 30, 2020","2,088.13","2,011.14","2,088.15","1,975.28","-","3.93%"
"Mar 27, 2020","2,009.25","2,045.21","2,057.29","1,980.92","-","-4.11%"
