"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","335.90","349.81","351.76","335.90","-","-3.44%"
"Apr 29, 2020","347.87","343.13","351.76","338.68","-","1.71%"
"Apr 28, 2020","342.02","359.28","359.28","336.73","-","-3.76%"
"Apr 27, 2020","355.38","360.95","365.68","355.10","-","0.55%"
"Apr 24, 2020","353.43","362.61","369.29","353.43","-","-2.98%"
"Apr 23, 2020","364.28","388.50","388.50","362.89","-","-6.23%"
"Apr 22, 2020","388.50","361.78","388.77","343.97","-","7.22%"
"Apr 21, 2020","362.34","382.65","386.83","361.50","-","-5.72%"
"Apr 20, 2020","384.32","380.15","385.99","378.20","-","1.77%"
"Apr 17, 2020","377.64","381.26","383.77","375.14","-","1.19%"
"Apr 16, 2020","373.19","369.29","381.82","367.07","-","1.44%"
"Apr 15, 2020","367.90","386.55","391.56","367.90","-","-2.58%"
"Apr 14, 2020","377.64","370.13","380.70","365.68","-","3.82%"
"Apr 09, 2020","363.73","362.06","369.02","359.55","-","1.01%"
"Apr 08, 2020","360.11","357.61","361.22","351.48","-","1.89%"
"Apr 07, 2020","353.43","359.55","362.61","352.60","-","1.03%"
"Apr 06, 2020","349.81","358.44","363.17","347.03","-","1.53%"
"Apr 03, 2020","344.53","342.02","348.98","340.91","-","-0.24%"
"Apr 02, 2020","345.36","344.53","352.04","337.01","-","-0.24%"
"Apr 01, 2020","346.20","360.95","362.89","346.20","-","-4.82%"
"Mar 31, 2020","363.73","359.00","366.79","353.71","-","2.59%"
"Mar 30, 2020","354.54","342.86","357.61","332.00","-","3.66%"
"Mar 27, 2020","342.02","335.90","342.58","333.39","-","0.74%"
"Mar 26, 2020","339.52","329.22","342.30","324.21","-","2.78%"
"Mar 25, 2020","330.33","339.24","339.52","321.15","-","-0.25%"
"Mar 24, 2020","331.17","326.16","332.28","318.92","-","5.87%"
"Mar 23, 2020","312.80","309.74","320.04","307.51","-","-1.06%"
"Mar 20, 2020","316.14","316.14","332.28","308.90","-","0.98%"
"Mar 19, 2020","313.08","318.64","318.64","299.44","-","0.54%"
"Mar 18, 2020","311.41","328.66","332.84","290.26","-","-6.83%"
"Mar 17, 2020","334.23","311.69","339.24","299.44","-","9.58%"
"Mar 16, 2020","305.01","292.76","305.29","278.15","-","1.76%"
"Mar 13, 2020","299.72","311.13","319.76","294.99","-","-0.37%"
"Mar 12, 2020","300.83","322.82","323.38","298.61","-","-8.85%"
"Mar 11, 2020","330.05","338.40","338.68","330.05","-","-0.42%"
"Mar 10, 2020","331.45","332.84","343.69","327.83","-","1.02%"
"Mar 09, 2020","328.11","338.68","342.86","326.99","-","-6.50%"
"Mar 06, 2020","350.93","375.69","375.69","350.65","-","-7.35%"
"Mar 05, 2020","378.76","400.74","400.74","377.92","-","-4.42%"
"Mar 04, 2020","396.29","398.79","403.25","395.45","-","-0.70%"
"Mar 03, 2020","399.07","399.07","406.03","397.68","-","1.41%"
"Mar 02, 2020","393.51","391.28","398.79","387.94","-","0.50%"
"Feb 28, 2020","391.56","399.07","405.75","387.66","-","-5.06%"
"Feb 27, 2020","412.43","425.23","426.90","410.48","-","-3.83%"
"Feb 26, 2020","428.85","426.07","433.58","418.00","-","-0.13%"
"Feb 25, 2020","429.41","434.14","437.20","427.46","-","-1.03%"
"Feb 24, 2020","433.86","449.44","449.44","431.07","-","-4.82%"
"Feb 21, 2020","455.84","467.81","467.81","455.56","-","-2.33%"
"Feb 20, 2020","466.70","470.31","471.98","464.19","-","-0.65%"
"Feb 19, 2020","469.76","463.36","477.55","463.36","-","2.00%"
"Feb 18, 2020","460.57","455.56","464.19","455.29","-","-0.18%"
"Feb 17, 2020","461.41","454.73","464.75","454.73","-","0.49%"
"Feb 14, 2020","459.18","470.87","470.87","459.18","-","-2.66%"
"Feb 13, 2020","471.71","460.02","472.54","460.02","-","1.99%"
"Feb 12, 2020","462.52","452.78","465.30","450.00","-","1.78%"
"Feb 11, 2020","454.45","439.70","455.29","438.31","-","2.96%"
"Feb 10, 2020","441.37","434.41","441.37","429.41","-","1.80%"
"Feb 07, 2020","433.58","436.36","436.36","429.41","-","-0.45%"
"Feb 06, 2020","435.53","428.29","436.64","427.18","-","1.36%"
"Feb 05, 2020","429.68","428.85","434.69","425.79","-","-0.26%"
"Feb 04, 2020","430.80","437.20","440.26","430.80","-","-0.51%"
"Feb 03, 2020","433.02","425.23","434.41","422.45","-","1.83%"
"Jan 31, 2020","425.23","420.22","429.96","414.66","-","2.28%"
"Jan 30, 2020","415.77","410.76","415.77","410.20","-","0.27%"
"Jan 29, 2020","414.66","415.21","417.72","407.70","-","0.68%"
"Jan 28, 2020","411.87","420.22","420.22","411.59","-","-1.73%"
"Jan 27, 2020","419.11","427.18","429.13","418.83","-","-2.40%"
"Jan 24, 2020","429.41","427.18","431.35","419.11","-","1.98%"
"Jan 23, 2020","421.06","414.38","423.84","414.10","-","2.58%"
"Jan 22, 2020","410.48","406.59","413.26","406.59","-","0.82%"
"Jan 21, 2020","407.14","406.59","408.25","401.02","-","-0.07%"
"Jan 20, 2020","407.42","409.37","411.32","404.08","-","-1.15%"
"Jan 17, 2020","412.15","418.27","420.78","410.48","-","-1.33%"
"Jan 16, 2020","417.72","433.30","433.30","415.77","-","-2.60%"
"Jan 15, 2020","428.85","439.70","444.43","426.62","-","-3.69%"
"Jan 14, 2020","445.27","439.42","445.27","408.25","-","-0.06%"
