"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","10,861.64","11,195.21","11,235.57","10,839.30","162.73M","-2.22%"
"Apr 29, 2020","11,107.74","10,812.74","11,125.35","10,789.52","145.35M","2.89%"
"Apr 28, 2020","10,795.63","10,658.47","10,897.82","10,651.58","146.55M","1.27%"
"Apr 27, 2020","10,659.99","10,551.07","10,660.36","10,523.10","122.48M","3.13%"
"Apr 24, 2020","10,336.09","10,299.31","10,486.47","10,299.31","120.04M","-1.69%"
"Apr 23, 2020","10,513.79","10,437.38","10,608.39","10,325.11","97.91M","0.95%"
"Apr 22, 2020","10,415.03","10,370.25","10,425.02","10,321.20","92.39M","1.61%"
"Apr 21, 2020","10,249.85","10,519.44","10,524.73","10,249.85","121.19M","-3.99%"
"Apr 20, 2020","10,675.90","10,704.35","10,707.31","10,444.55","103.61M","0.47%"
"Apr 17, 2020","10,625.78","10,607.35","10,756.78","10,542.71","143.34M","3.15%"
"Apr 16, 2020","10,301.54","10,420.26","10,438.37","10,236.24","106.13M","0.21%"
"Apr 15, 2020","10,279.76","10,678.19","10,678.19","10,243.11","133.09M","-3.90%"
"Apr 14, 2020","10,696.56","10,733.97","10,820.17","10,658.96","106.04M","1.25%"
"Apr 09, 2020","10,564.74","10,490.65","10,649.79","10,311.70","134.48M","2.24%"
"Apr 08, 2020","10,332.89","10,301.56","10,340.79","10,198.22","102.43M","-0.23%"
"Apr 07, 2020","10,356.70","10,464.11","10,590.41","10,225.02","149.51M","2.79%"
"Apr 06, 2020","10,075.17","9,889.03","10,097.31","9,841.49","126.69M","5.77%"
"Apr 03, 2020","9,525.77","9,535.27","9,626.72","9,470.20","116.25M","-0.47%"
"Apr 02, 2020","9,570.82","9,587.45","9,650.27","9,337.02","144.23M","0.27%"
"Apr 01, 2020","9,544.75","9,610.67","9,686.46","9,498.05","132.86M","-3.94%"
"Mar 31, 2020","9,935.84","9,970.79","10,096.42","9,703.88","151.51M","1.22%"
