"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","4,706.36","4,874.45","4,966.72","4,688.32","-","-2.55%"
"Apr 29, 2020","4,829.74","4,578.10","4,830.66","4,559.06","-","5.57%"
"Apr 28, 2020","4,574.92","4,465.14","4,615.30","4,452.76","-","2.73%"
"Apr 27, 2020","4,453.47","4,435.47","4,454.27","4,382.58","-","2.19%"
"Apr 24, 2020","4,357.92","4,388.54","4,435.32","4,348.52","-","-2.44%"
"Apr 23, 2020","4,466.79","4,434.42","4,493.63","4,370.01","-","1.27%"
"Apr 22, 2020","4,410.92","4,366.14","4,419.55","4,330.56","-","1.95%"
"Apr 21, 2020","4,326.75","4,488.71","4,488.71","4,319.09","-","-4.61%"
"Apr 20, 2020","4,535.71","4,588.58","4,588.58","4,439.88","-","-0.04%"
"Apr 17, 2020","4,537.75","4,362.77","4,607.44","4,362.77","-","4.71%"
"Apr 16, 2020","4,333.76","4,458.53","4,473.99","4,306.24","-","-1.25%"
"Apr 15, 2020","4,388.72","4,675.52","4,675.52","4,370.74","-","-6.11%"
"Apr 14, 2020","4,674.17","4,706.43","4,733.45","4,626.83","-","0.61%"
"Apr 09, 2020","4,645.76","4,681.70","4,741.25","4,544.71","-","1.38%"
"Apr 08, 2020","4,582.67","4,550.63","4,582.68","4,464.64","-","-0.45%"
"Apr 07, 2020","4,603.37","4,442.64","4,714.63","4,442.64","-","4.10%"
"Apr 06, 2020","4,421.98","4,143.76","4,421.98","4,143.76","-","7.01%"
"Apr 03, 2020","4,132.29","4,161.27","4,206.00","4,132.13","-","-0.84%"
"Apr 02, 2020","4,167.48","4,197.71","4,238.95","4,097.83","-","0.45%"
"Apr 01, 2020","4,148.99","4,372.15","4,372.15","4,135.92","-","-6.25%"
"Mar 31, 2020","4,425.46","4,470.25","4,541.58","4,355.43","-","1.23%"
"Mar 30, 2020","4,371.85","4,476.21","4,476.21","4,252.67","-","-1.90%"
"Mar 27, 2020","4,456.60","4,620.49","4,668.36","4,383.21","-","-4.75%"
"Mar 26, 2020","4,679.01","4,315.52","4,699.23","4,315.52","-","6.22%"
"Mar 25, 2020","4,405.20","4,263.27","4,496.46","4,173.98","-","3.53%"
"Mar 24, 2020","4,255.11","3,960.45","4,268.40","3,959.82","-","7.85%"
"Mar 23, 2020","3,945.22","4,132.44","4,176.09","3,836.29","-","-4.70%"
"Mar 20, 2020","4,139.74","3,752.59","4,248.58","3,752.37","-","10.48%"
"Mar 19, 2020","3,747.15","3,630.81","3,803.27","3,596.51","-","2.86%"
"Mar 18, 2020","3,643.08","4,144.05","4,144.16","3,606.22","-","-12.19%"
"Mar 17, 2020","4,148.86","4,272.05","4,443.12","3,985.11","-","-2.58%"
"Mar 16, 2020","4,258.53","4,209.25","4,354.91","3,916.62","-","-6.25%"
"Mar 13, 2020","4,542.67","4,496.00","4,862.98","4,423.80","-","1.21%"
"Mar 12, 2020","4,488.46","5,190.10","5,190.10","4,488.07","-","-13.54%"
"Mar 11, 2020","5,191.14","5,327.58","5,439.73","5,181.74","-","-1.87%"
"Mar 10, 2020","5,289.83","5,336.92","5,596.56","5,284.41","-","-0.54%"
"Mar 09, 2020","5,318.45","5,797.40","5,797.40","5,284.99","-","-8.29%"
"Mar 06, 2020","5,799.05","6,059.08","6,059.08","5,770.55","-","-4.38%"
"Mar 05, 2020","6,064.64","6,230.51","6,258.52","6,027.05","-","-2.49%"
"Mar 04, 2020","6,219.43","6,247.60","6,268.43","6,176.45","-","-0.47%"
"Mar 03, 2020","6,248.51","6,159.01","6,373.81","6,159.01","-","1.88%"
"Mar 02, 2020","6,133.36","6,209.50","6,322.47","6,000.76","-","-1.15%"
"Feb 28, 2020","6,204.82","6,479.49","6,479.49","6,101.74","-","-4.29%"
"Feb 27, 2020","6,483.02","6,671.09","6,671.09","6,372.24","-","-2.91%"
"Feb 26, 2020","6,677.58","6,731.54","6,742.93","6,496.99","-","-1.29%"
