ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016Q1,2720,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 15-19,2016Q1,130.6,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 20-24,2016Q1,236.2,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 25-29,2016Q1,264.7,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 30-34,2016Q1,253.2,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 35-39,2016Q1,290.3,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 40-44,2016Q1,335.4,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 45-49,2016Q1,341.5,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 50-54,2016Q1,339.2,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 55-59,2016Q1,275.3,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 60-64,2016Q1,163.4,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 65+,2016Q1,90.3,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): Total,2016Q1,1433,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 15-19,2016Q1,61.4,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 20-24,2016Q1,113.1,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 25-29,2016Q1,145.1,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 30-34,2016Q1,140.9,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 35-39,2016Q1,157,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 40-44,2016Q1,174.4,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 45-49,2016Q1,174.8,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
Denmark,Employment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 50-54,2016Q1,174.3,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,
