ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15+",2015M01,192,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15-24",2015M01,51,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 25+",2015M01,141,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15+",2015M01,101,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15-24",2015M01,27,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 25+",2015M01,72,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 15+",2015M01,91,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 15-24",2015M01,23,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 25+",2015M01,69,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15+",2015M02,194,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15-24",2015M02,50,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 25+",2015M02,144,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15+",2015M02,103,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15-24",2015M02,27,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 25+",2015M02,76,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 15+",2015M02,91,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 15-24",2015M02,23,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 25+",2015M02,68,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15+",2015M03,196,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15-24",2015M03,48,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 25+",2015M03,148,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15+",2015M03,106,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 15-24",2015M03,27,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Male,"Age (Youth, adults): 25+",2015M03,80,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 15+",2015M03,90,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 15-24",2015M03,23,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Female,"Age (Youth, adults): 25+",2015M03,68,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15+",2015M04,187,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 15-24",2015M04,44,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS-ADJ - EU Labour Force Survey adjusted series,Sex: Total,"Age (Youth, adults): 25+",2015M04,143,,Adjustments: Estimation based on labour force survey and registered unemployment figures,Frequency: Monthly,Age coverage - maximum age: 74 years old
