ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016Q1,185,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 15-19,2016Q1,26.2,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 20-24,2016Q1,25.8,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 25-29,2016Q1,24,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 30-34,2016Q1,20.2,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 35-39,2016Q1,16.4,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 40-44,2016Q1,12.9,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 45-49,2016Q1,16.6,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 50-54,2016Q1,14.3,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 55-59,2016Q1,19.8,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 60-64,2016Q1,7.9,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): 65+,2016Q1,0.9,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): Total,2016Q1,93.5,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 15-19,2016Q1,14.7,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 20-24,2016Q1,15.1,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 25-29,2016Q1,11.4,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 30-34,2016Q1,6.8,,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 35-39,2016Q1,6.3,,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 40-44,2016Q1,6.5,,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 45-49,2016Q1,9.5,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 50-54,2016Q1,6.6,,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 55-59,2016Q1,10.6,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 60-64,2016Q1,5.5,,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Male,Age (5-year bands): 65+,2016Q1,0.5,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Female,Age (5-year bands): Total,2016Q1,91.6,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Female,Age (5-year bands): 15-19,2016Q1,11.5,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Female,Age (5-year bands): 20-24,2016Q1,10.7,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Female,Age (5-year bands): 25-29,2016Q1,12.6,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Female,Age (5-year bands): 30-34,2016Q1,13.4,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Female,Age (5-year bands): 35-39,2016Q1,10.1,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Female,Age (5-year bands): 40-44,2016Q1,6.5,,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
Denmark,Unemployment by sex and age (thousands),DNK - LFS - EU Labour Force Survey,Sex: Female,Age (5-year bands): 45-49,2016Q1,7.1,Break in series,,Frequency: Quarterly | Break in series: Methodology revised,Age coverage - maximum age: 66 years old
