"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","328.30","333.90","333.90","327.86","155.86M","-3.19%"
"Apr 29, 2020","339.13","335.29","340.66","335.29","141.36M","2.75%"
"Apr 28, 2020","330.05","330.55","333.52","325.86","139.31M","1.57%"
"Apr 27, 2020","324.94","317.42","326.15","316.53","122.09M","2.73%"
"Apr 24, 2020","316.32","314.93","317.35","310.54","127.15M","1.62%"
"Apr 23, 2020","311.27","310.72","317.96","309.69","125.76M","1.20%"
"Apr 22, 2020","307.58","307.12","309.13","304.03","108.46M","2.42%"
"Apr 21, 2020","300.31","299.94","303.06","297.90","133.63M","-2.27%"
"Apr 20, 2020","307.30","309.50","314.42","306.26","117.06M","-2.20%"
"Apr 17, 2020","314.20","308.01","314.88","308.01","158.39M","3.74%"
"Apr 16, 2020","302.87","303.67","304.07","297.23","124.09M","0.02%"
"Apr 15, 2020","302.80","309.26","309.26","300.82","132.45M","-5.05%"
"Apr 14, 2020","318.89","322.88","325.19","316.24","128.30M","1.05%"
"Apr 13, 2020","315.59","319.83","321.31","311.06","128.19M","-2.14%"
"Apr 09, 2020","322.49","311.00","323.90","311.00","190.76M","4.74%"
"Apr 08, 2020","307.91","295.70","309.04","293.45","133.51M","4.89%"
"Apr 07, 2020","293.55","296.62","303.52","292.24","196.30M","2.66%"
"Apr 06, 2020","285.95","278.81","287.25","278.43","178.65M","7.56%"
"Apr 03, 2020","265.85","269.63","274.65","264.84","142.44M","-1.75%"
"Apr 02, 2020","270.59","266.83","278.02","266.08","171.95M","1.55%"
"Apr 01, 2020","266.47","268.82","273.84","266.01","177.34M","-4.70%"
"Mar 31, 2020","279.60","281.63","286.84","278.14","195.45M","-1.37%"
"Mar 30, 2020","283.49","277.68","284.34","275.84","139.47M","3.08%"
"Mar 27, 2020","275.03","276.55","280.74","273.79","163.93M","-4.40%"
"Mar 26, 2020","287.69","278.59","288.58","278.15","194.10M","4.50%"
"Mar 25, 2020","275.30","268.46","287.94","264.42","208.79M","2.52%"
"Mar 24, 2020","268.52","255.23","269.73","252.60","215.33M","12.03%"
"Mar 23, 2020","239.69","248.77","251.75","238.77","183.89M","-4.35%"
"Mar 20, 2020","250.60","260.00","261.81","246.80","233.80M","-3.06%"
"Mar 19, 2020","258.52","251.21","266.27","243.09","190.79M","1.73%"
"Mar 18, 2020","254.12","266.95","266.95","239.69","223.63M","-7.41%"
"Mar 17, 2020","274.46","261.11","276.71","256.38","231.29M","6.66%"
"Mar 16, 2020","257.32","269.57","269.57","251.73","206.16M","-10.84%"
"Mar 13, 2020","288.60","278.81","288.67","267.25","219.24M","7.38%"
"Mar 12, 2020","268.77","285.90","286.63","268.11","230.48M","-9.68%"
"Mar 11, 2020","297.58","307.38","307.38","293.36","197.07M","-4.72%"
"Mar 10, 2020","312.33","305.61","312.34","296.62","196.54M","4.20%"
"Mar 09, 2020","299.75","320.42","320.42","299.40","210.09M","-10.53%"
"Mar 06, 2020","335.01","339.64","339.64","329.16","191.13M","-2.87%"
"Mar 05, 2020","344.92","349.86","349.86","342.98","153.90M","-3.27%"
"Mar 04, 2020","356.58","345.89","356.71","344.56","140.38M","3.71%"
"Mar 03, 2020","343.83","347.04","353.95","339.05","200.23M","-0.90%"
"Mar 02, 2020","346.96","335.41","346.99","332.77","180.10M","3.80%"
"Feb 28, 2020","334.27","332.49","334.54","323.96","256.85M","-1.19%"
"Feb 27, 2020","338.30","352.42","352.64","338.23","202.05M","-4.86%"
"Feb 26, 2020","355.57","358.41","363.47","355.27","143.85M","-0.51%"
"Feb 25, 2020","357.40","373.69","374.32","356.45","166.26M","-4.46%"
"Feb 24, 2020","374.09","379.80","379.80","372.61","137.05M","-2.92%"
"Feb 21, 2020","385.33","385.58","386.28","384.06","116.75M","-0.34%"
