"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","600.86","609.75","609.75","598.65","526.47M","-1.65%"
"Apr 29, 2020","610.91","611.30","616.62","607.89","516.20M","0.74%"
"Apr 28, 2020","606.40","609.63","612.05","604.63","460.65M","0.56%"
"Apr 27, 2020","603.01","596.63","605.20","596.00","425.80M","1.71%"
"Apr 24, 2020","592.90","587.95","595.11","586.59","358.37M","1.42%"
"Apr 23, 2020","584.59","588.44","593.75","584.27","346.13M","-0.74%"
"Apr 22, 2020","588.95","587.94","591.57","583.19","318.00M","1.34%"
"Apr 21, 2020","581.17","589.38","592.26","579.85","395.46M","-2.80%"
"Apr 20, 2020","597.92","603.34","608.28","597.91","358.40M","-2.14%"
"Apr 17, 2020","610.99","607.87","612.30","601.21","445.93M","2.26%"
"Apr 16, 2020","597.49","596.31","599.42","589.00","382.70M","0.50%"
"Apr 15, 2020","594.50","599.60","599.60","590.31","374.45M","-1.80%"
"Apr 14, 2020","605.40","594.00","606.13","591.20","388.27M","4.09%"
"Apr 13, 2020","581.64","586.51","586.51","574.54","377.39M","-0.99%"
"Apr 09, 2020","587.44","583.90","596.76","583.78","558.57M","1.57%"
"Apr 08, 2020","578.37","568.94","580.79","564.32","459.63M","2.32%"
"Apr 07, 2020","565.28","577.22","584.66","565.16","564.41M","-0.15%"
"Apr 06, 2020","566.14","554.04","569.64","551.49","497.13M","4.86%"
"Apr 03, 2020","539.90","539.58","545.01","532.67","422.97M","0.18%"
"Apr 02, 2020","538.93","522.76","541.04","522.38","462.38M","2.17%"
"Apr 01, 2020","527.50","529.93","539.29","523.78","480.05M","-3.34%"
"Mar 31, 2020","545.70","554.20","557.82","543.75","628.15M","-1.87%"
"Mar 30, 2020","556.11","544.04","557.98","543.28","454.73M","3.24%"
"Mar 27, 2020","538.64","535.44","553.94","530.38","481.76M","-1.48%"
"Mar 26, 2020","546.74","523.51","549.11","523.07","594.86M","5.74%"
"Mar 25, 2020","517.05","511.78","533.40","506.02","725.00M","1.96%"
"Mar 24, 2020","507.13","491.69","508.32","490.56","657.51M","7.98%"
"Mar 23, 2020","469.67","480.21","486.55","460.48","668.08M","-2.90%"
"Mar 20, 2020","483.69","513.83","516.42","481.35","762.43M","-5.85%"
"Mar 19, 2020","513.77","516.14","524.66","498.20","680.42M","-0.92%"
"Mar 18, 2020","518.53","531.94","534.10","492.61","748.79M","-5.57%"
"Mar 17, 2020","549.11","522.53","553.98","515.63","700.83M","6.39%"
"Mar 16, 2020","516.11","525.11","548.70","508.99","629.66M","-9.58%"
"Mar 13, 2020","570.77","555.67","570.79","532.21","635.68M","6.94%"
"Mar 12, 2020","533.74","571.27","571.27","532.68","625.48M","-10.01%"
"Mar 11, 2020","593.09","612.26","612.26","586.04","534.81M","-4.88%"
"Mar 10, 2020","623.53","611.96","624.17","593.66","528.17M","3.68%"
"Mar 09, 2020","601.37","625.94","625.94","596.00","557.14M","-6.19%"
"Mar 06, 2020","641.07","633.94","644.06","627.03","508.49M","-1.43%"
"Mar 05, 2020","650.39","658.69","660.31","644.69","444.58M","-2.84%"
"Mar 04, 2020","669.39","648.61","669.53","648.55","423.23M","4.36%"
"Mar 03, 2020","641.44","653.15","663.99","635.28","540.47M","-1.28%"
"Mar 02, 2020","649.75","624.47","649.81","623.61","519.62M","4.63%"
"Feb 28, 2020","621.00","617.04","621.30","598.78","695.52M","-1.42%"
"Feb 27, 2020","629.96","651.52","653.33","629.83","558.48M","-4.35%"
"Feb 26, 2020","658.64","664.92","672.57","658.64","440.56M","-0.78%"
"Feb 25, 2020","663.79","680.99","682.52","661.60","453.63M","-2.34%"
"Feb 24, 2020","679.71","689.36","689.36","678.76","437.23M","-3.07%"
"Feb 21, 2020","701.21","701.35","702.59","699.84","303.36M","-0.33%"
"Feb 20, 2020","703.52","701.64","704.04","695.18","288.42M","0.08%"
"Feb 19, 2020","702.95","703.28","706.67","702.94","312.35M","0.49%"
"Feb 18, 2020","699.54","701.70","702.73","697.80","342.68M","-0.34%"
"Feb 14, 2020","701.96","700.62","702.08","699.90","314.77M","0.16%"
"Feb 13, 2020","700.82","696.50","702.60","693.78","361.92M","0.45%"
"Feb 12, 2020","697.71","698.07","699.27","696.78","379.97M","0.19%"
"Feb 11, 2020","696.39","697.42","697.59","695.95","392.71M","-0.05%"
"Feb 10, 2020","696.75","694.57","697.30","694.11","330.16M","0.65%"
"Feb 07, 2020","692.27","691.95","694.11","690.94","394.52M","-0.22%"
"Feb 06, 2020","693.83","692.20","698.04","691.40","431.11M","0.25%"
"Feb 05, 2020","692.12","693.53","695.45","690.16","518.03M","-0.39%"
"Feb 04, 2020","694.84","693.79","700.88","692.78","418.15M","1.39%"
"Feb 03, 2020","685.31","680.00","687.44","680.00","423.48M","1.22%"
"Jan 31, 2020","677.07","684.57","687.48","675.20","416.16M","-1.22%"
"Jan 30, 2020","685.43","679.55","685.99","678.29","349.83M","1.06%"
"Jan 29, 2020","678.26","681.54","681.69","677.79","277.51M","-0.33%"
"Jan 28, 2020","680.50","678.83","682.60","678.83","348.00M","0.39%"
"Jan 27, 2020","677.89","676.32","680.89","674.52","342.42M","-0.88%"
"Jan 24, 2020","683.88","690.04","690.65","681.24","327.87M","-0.77%"
"Jan 23, 2020","689.20","688.97","690.23","685.15","342.00M","-0.30%"
"Jan 22, 2020","691.28","691.90","693.80","690.57","302.42M","0.17%"
"Jan 21, 2020","690.12","687.96","690.59","685.50","344.94M","0.21%"
"Jan 17, 2020","688.64","687.15","689.18","687.15","312.97M","0.31%"
"Jan 16, 2020","686.53","683.88","686.58","683.88","283.86M","0.47%"
"Jan 15, 2020","683.33","680.02","685.93","679.85","302.24M","0.44%"
"Jan 14, 2020","680.36","679.37","681.55","678.48","347.66M","0.27%"
"Jan 13, 2020","678.56","671.74","678.57","671.74","307.20M","1.16%"
