"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,085.90","1,087.91","1,090.88","1,074.06","1.14B","-0.40%"
"Apr 29, 2020","1,090.27","1,078.69","1,095.72","1,074.09","1.27B","2.38%"
"Apr 28, 2020","1,064.92","1,080.07","1,085.07","1,062.24","1.14B","-0.49%"
"Apr 27, 2020","1,070.14","1,065.23","1,077.44","1,065.06","894.54M","1.34%"
"Apr 24, 2020","1,056.00","1,048.28","1,059.01","1,040.05","811.43M","1.34%"
"Apr 23, 2020","1,042.06","1,042.27","1,053.90","1,038.60","914.30M","0.35%"
"Apr 22, 2020","1,038.44","1,038.89","1,043.60","1,032.80","947.05M","1.41%"
"Apr 21, 2020","1,023.98","1,043.30","1,043.30","1,014.57","766.79M","-2.46%"
"Apr 20, 2020","1,049.83","1,060.72","1,067.97","1,049.04","786.46M","-1.17%"
"Apr 17, 2020","1,062.26","1,048.70","1,063.33","1,046.04","917.25M","1.64%"
"Apr 16, 2020","1,045.15","1,035.99","1,057.19","1,027.63","879.99M","1.61%"
"Apr 15, 2020","1,028.62","1,029.34","1,037.74","1,017.39","949.45M","-1.32%"
"Apr 14, 2020","1,042.40","1,011.91","1,044.57","1,011.91","893.26M","3.97%"
"Apr 13, 2020","1,002.60","991.22","1,006.28","981.11","893.75M","1.03%"
"Apr 09, 2020","992.41","987.20","1,003.04","983.70","1.32B","1.34%"
"Apr 08, 2020","979.27","966.42","981.97","958.72","1.01B","2.20%"
"Apr 07, 2020","958.20","974.68","988.82","955.72","1.42B","0.74%"
"Apr 06, 2020","951.14","912.55","953.54","912.55","1.26B","7.01%"
"Apr 03, 2020","888.85","897.73","902.66","877.76","1.04B","-1.55%"
"Apr 02, 2020","902.84","888.46","909.52","884.29","1.12B","0.94%"
"Apr 01, 2020","894.46","910.60","913.59","886.68","1.06B","-3.63%"
"Mar 31, 2020","928.16","936.91","952.11","926.18","970.47M","-1.46%"
"Mar 30, 2020","941.93","922.69","944.12","912.98","886.02M","2.38%"
"Mar 27, 2020","920.02","933.97","942.72","916.25","943.40M","-3.67%"
"Mar 26, 2020","955.06","921.32","955.47","920.68","1.19B","4.54%"
"Mar 25, 2020","913.57","919.76","946.20","896.31","1.35B","-0.03%"
"Mar 24, 2020","913.85","882.72","915.49","882.72","1.32B","7.10%"
"Mar 23, 2020","853.25","839.93","865.19","822.69","1.17B","1.13%"
"Mar 20, 2020","843.74","887.17","900.67","839.96","1.41B","-3.47%"
"Mar 19, 2020","874.10","850.16","898.67","829.19","1.25B","3.01%"
"Mar 18, 2020","848.53","858.31","863.88","801.48","1.47B","-4.49%"
"Mar 17, 2020","888.41","871.02","903.70","832.87","1.28B","4.28%"
"Mar 16, 2020","851.94","899.45","909.74","849.66","1.22B","-11.06%"
"Mar 13, 2020","957.85","921.68","957.85","887.96","1.20B","7.52%"
"Mar 12, 2020","890.84","946.65","948.76","889.23","1.28B","-9.83%"
"Mar 11, 2020","988.01","1,023.97","1,023.97","976.95","984.64M","-5.27%"
"Mar 10, 2020","1,043.01","1,018.99","1,043.07","989.22","968.97M","4.78%"
"Mar 09, 2020","995.42","1,019.60","1,025.55","992.58","936.41M","-6.00%"
"Mar 06, 2020","1,058.93","1,047.58","1,063.55","1,034.84","886.23M","-0.89%"
"Mar 05, 2020","1,068.44","1,090.11","1,091.74","1,060.86","846.81M","-3.59%"
"Mar 04, 2020","1,108.21","1,085.77","1,108.73","1,077.56","730.22M","3.39%"
"Mar 03, 2020","1,071.92","1,101.81","1,115.99","1,062.53","789.83M","-2.45%"
"Mar 02, 2020","1,098.80","1,064.54","1,098.88","1,053.36","852.69M","3.54%"
"Feb 28, 2020","1,061.28","1,061.25","1,065.02","1,033.49","1.07B","-1.15%"
"Feb 27, 2020","1,073.63","1,097.96","1,116.42","1,073.44","986.13M","-3.89%"
"Feb 26, 2020","1,117.07","1,133.56","1,144.09","1,113.53","769.53M","-0.95%"
"Feb 25, 2020","1,127.80","1,164.69","1,169.73","1,125.61","709.36M","-2.71%"
"Feb 24, 2020","1,159.23","1,168.03","1,170.71","1,152.70","596.47M","-3.28%"
"Feb 21, 2020","1,198.53","1,209.05","1,210.05","1,195.34","450.32M","-1.23%"
