"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","527.51","529.94","533.10","524.29","946.70M","-2.37%"
"Apr 29, 2020","540.32","539.28","545.16","535.39","1.04B","3.27%"
"Apr 28, 2020","523.23","533.06","535.78","522.22","914.08M","0.82%"
"Apr 27, 2020","518.96","506.04","520.33","505.56","850.61M","3.56%"
"Apr 24, 2020","501.10","500.52","503.26","493.01","837.44M","1.08%"
"Apr 23, 2020","495.76","499.92","505.76","495.03","815.81M","-0.43%"
"Apr 22, 2020","497.92","500.84","501.99","496.04","779.50M","1.50%"
"Apr 21, 2020","490.55","490.93","497.86","488.80","929.10M","-2.80%"
"Apr 20, 2020","504.70","506.92","513.41","500.95","938.56M","-2.56%"
"Apr 17, 2020","517.95","512.30","519.41","507.39","1.09B","4.91%"
"Apr 16, 2020","493.72","502.90","503.29","489.36","988.17M","-1.68%"
"Apr 15, 2020","502.17","505.73","508.88","500.46","949.23M","-4.42%"
"Apr 14, 2020","525.39","531.67","533.29","518.83","977.36M","1.23%"
"Apr 13, 2020","519.01","536.62","536.62","514.28","908.57M","-3.71%"
"Apr 09, 2020","539.01","526.84","544.29","526.84","1.52B","4.58%"
"Apr 08, 2020","515.39","498.23","517.59","492.70","1.10B","5.00%"
"Apr 07, 2020","490.87","511.71","513.43","490.48","1.30B","0.70%"
"Apr 06, 2020","487.44","473.75","489.94","472.85","1.14B","8.06%"
"Apr 03, 2020","451.08","457.35","462.26","444.84","1.04B","-2.23%"
"Apr 02, 2020","461.38","447.97","465.80","447.65","978.26M","2.07%"
"Apr 01, 2020","452.03","456.78","459.35","447.27","1.05B","-6.03%"
"Mar 31, 2020","481.04","491.06","493.22","476.32","1.20B","-2.97%"
"Mar 30, 2020","495.75","486.17","497.24","477.34","1.03B","1.98%"
"Mar 27, 2020","486.13","479.50","500.74","474.79","1.22B","-2.83%"
"Mar 26, 2020","500.27","475.57","501.53","475.15","1.62B","6.47%"
"Mar 25, 2020","469.87","458.56","488.14","446.37","1.70B","3.80%"
"Mar 24, 2020","452.65","426.66","453.50","426.66","1.42B","12.01%"
"Mar 23, 2020","404.13","421.73","422.55","399.48","1.40B","-5.97%"
"Mar 20, 2020","429.77","452.71","458.17","427.32","1.63B","-3.99%"
"Mar 19, 2020","447.63","435.64","455.70","416.91","1.44B","1.85%"
"Mar 18, 2020","439.50","461.81","461.81","420.82","1.61B","-8.86%"
"Mar 17, 2020","482.25","465.98","488.60","450.81","1.54B","5.26%"
"Mar 16, 2020","458.17","490.93","495.74","458.09","1.37B","-14.66%"
"Mar 13, 2020","536.88","499.09","537.18","489.37","1.44B","11.48%"
"Mar 12, 2020","481.60","506.47","520.07","481.59","1.54B","-10.28%"
"Mar 11, 2020","536.78","555.82","555.82","530.36","1.35B","-5.63%"
"Mar 10, 2020","568.78","555.73","568.78","538.17","1.20B","5.62%"
"Mar 09, 2020","538.49","573.63","573.63","535.15","1.29B","-9.84%"
