"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,085.55","1,088.95","1,093.56","1,080.62","355.77M","-0.54%"
"Apr 29, 2020","1,091.48","1,093.70","1,099.09","1,084.91","360.06M","0.86%"
"Apr 28, 2020","1,082.12","1,108.67","1,112.71","1,081.38","296.69M","-2.22%"
"Apr 27, 2020","1,106.71","1,097.40","1,110.78","1,097.40","266.21M","1.35%"
"Apr 24, 2020","1,091.98","1,082.20","1,093.50","1,076.26","252.86M","1.52%"
"Apr 23, 2020","1,075.62","1,074.78","1,092.63","1,074.77","338.53M","0.58%"
"Apr 22, 2020","1,069.43","1,066.34","1,074.23","1,061.99","250.73M","1.61%"
"Apr 21, 2020","1,052.51","1,072.94","1,073.87","1,051.57","323.34M","-3.14%"
"Apr 20, 2020","1,086.62","1,087.49","1,102.04","1,081.31","335.86M","-0.59%"
"Apr 17, 2020","1,093.02","1,087.93","1,094.11","1,077.55","423.09M","2.22%"
"Apr 16, 2020","1,069.28","1,052.52","1,071.64","1,050.92","299.85M","2.26%"
"Apr 15, 2020","1,045.63","1,040.60","1,051.61","1,031.63","271.42M","-0.51%"
"Apr 14, 2020","1,051.04","1,032.75","1,054.31","1,032.75","275.87M","3.27%"
"Apr 13, 2020","1,017.77","1,025.79","1,026.18","1,003.87","237.40M","-0.92%"
"Apr 09, 2020","1,027.25","1,021.28","1,032.27","1,018.13","315.46M","0.66%"
"Apr 08, 2020","1,020.49","985.31","1,025.46","976.54","300.55M","4.18%"
"Apr 07, 2020","979.56","1,007.91","1,015.45","979.09","349.88M","-1.03%"
"Apr 06, 2020","989.73","965.94","994.01","965.64","402.09M","5.44%"
"Apr 03, 2020","938.63","942.61","952.92","928.88","306.25M","-1.05%"
"Apr 02, 2020","948.55","917.55","950.44","909.84","316.08M","2.88%"
"Apr 01, 2020","921.96","931.67","936.15","913.93","328.79M","-3.90%"
"Mar 31, 2020","959.41","960.99","969.46","950.34","382.52M","-0.44%"
"Mar 30, 2020","963.63","936.09","965.34","936.09","355.84M","4.53%"
"Mar 27, 2020","921.83","920.78","945.34","913.81","338.12M","-2.33%"
"Mar 26, 2020","943.85","891.26","946.14","890.11","401.98M","6.87%"
"Mar 25, 2020","883.19","867.19","911.30","858.21","451.39M","1.39%"
"Mar 24, 2020","871.05","842.27","872.51","841.37","433.09M","7.61%"
"Mar 23, 2020","809.48","844.65","844.65","797.31","447.55M","-4.63%"
"Mar 20, 2020","848.74","887.14","901.03","846.03","519.13M","-3.95%"
"Mar 19, 2020","883.63","894.86","902.68","871.46","509.05M","-1.37%"
"Mar 18, 2020","895.94","898.75","911.58","853.70","520.13M","-3.42%"
"Mar 17, 2020","927.68","883.18","935.48","879.38","537.66M","6.04%"
"Mar 16, 2020","874.84","924.21","932.13","872.82","505.64M","-10.26%"
"Mar 13, 2020","974.81","933.38","975.04","902.25","506.20M","6.85%"
"Mar 12, 2020","912.35","957.42","963.52","910.46","525.54M","-7.44%"
"Mar 11, 2020","985.71","1,010.74","1,010.74","973.67","438.82M","-4.07%"
"Mar 10, 2020","1,027.53","1,010.02","1,028.51","980.06","406.35M","3.50%"
"Mar 09, 2020","992.82","1,032.17","1,032.17","983.65","429.96M","-5.34%"
"Mar 06, 2020","1,048.82","1,039.55","1,052.35","1,022.92","419.22M","-0.65%"
"Mar 05, 2020","1,055.73","1,066.88","1,072.16","1,044.23","356.28M","-2.33%"
"Mar 04, 2020","1,080.97","1,045.99","1,081.90","1,045.99","383.92M","5.74%"
"Mar 03, 2020","1,022.33","1,051.52","1,068.87","1,009.10","404.03M","-2.61%"
"Mar 02, 2020","1,049.78","1,005.95","1,049.82","1,000.13","436.73M","4.64%"
"Feb 28, 2020","1,003.26","998.28","1,003.53","975.43","553.80M","-1.31%"
"Feb 27, 2020","1,016.59","1,042.54","1,053.73","1,016.35","509.32M","-3.19%"
"Feb 26, 2020","1,050.11","1,056.79","1,069.72","1,048.06","407.67M","-0.20%"
"Feb 25, 2020","1,052.20","1,087.29","1,089.88","1,048.32","415.34M","-2.98%"
"Feb 24, 2020","1,084.51","1,108.79","1,108.79","1,079.14","320.09M","-3.26%"
"Feb 21, 2020","1,121.06","1,118.90","1,121.96","1,112.69","228.79M","-0.03%"
"Feb 20, 2020","1,121.43","1,126.00","1,126.50","1,110.88","231.42M","-0.60%"
"Feb 19, 2020","1,128.23","1,125.28","1,129.97","1,124.92","214.34M","0.48%"
"Feb 18, 2020","1,122.79","1,125.03","1,126.87","1,118.61","215.36M","-0.30%"
"Feb 14, 2020","1,126.12","1,124.62","1,126.12","1,120.36","202.57M","0.24%"
"Feb 13, 2020","1,123.47","1,124.17","1,128.28","1,121.05","223.70M","-0.46%"
"Feb 12, 2020","1,128.70","1,128.98","1,132.84","1,124.20","272.35M","0.19%"
"Feb 11, 2020","1,126.54","1,122.55","1,127.51","1,122.35","195.25M","0.63%"
"Feb 10, 2020","1,119.53","1,109.03","1,119.57","1,108.38","225.91M","0.58%"
"Feb 07, 2020","1,113.03","1,121.60","1,122.40","1,111.39","252.46M","-0.81%"
"Feb 06, 2020","1,122.13","1,126.43","1,126.65","1,117.22","241.75M","0.07%"
"Feb 05, 2020","1,121.29","1,107.11","1,125.28","1,106.05","283.50M","1.84%"
"Feb 04, 2020","1,100.98","1,090.55","1,105.58","1,090.55","238.71M","1.72%"
"Feb 03, 2020","1,082.36","1,078.78","1,089.62","1,078.78","256.29M","0.92%"
"Jan 31, 2020","1,072.48","1,089.02","1,089.72","1,069.10","270.40M","-1.93%"
"Jan 30, 2020","1,093.57","1,095.47","1,095.47","1,084.13","234.55M","-0.76%"
"Jan 29, 2020","1,102.00","1,106.49","1,109.82","1,101.91","203.56M","-0.23%"
"Jan 28, 2020","1,104.56","1,100.48","1,108.87","1,099.12","244.10M","0.54%"
"Jan 27, 2020","1,098.61","1,097.84","1,102.89","1,094.00","255.24M","-0.77%"
"Jan 24, 2020","1,107.12","1,127.00","1,127.46","1,104.41","271.45M","-1.66%"
"Jan 23, 2020","1,125.85","1,129.95","1,130.56","1,118.76","259.01M","-0.53%"
"Jan 22, 2020","1,131.86","1,131.48","1,135.68","1,130.49","225.69M","0.14%"
