"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","669.64","676.87","676.87","665.94","610.53M","-2.10%"
"Apr 29, 2020","684.00","678.57","688.88","676.93","679.98M","2.85%"
"Apr 28, 2020","665.04","670.12","674.30","659.97","541.83M","1.29%"
"Apr 27, 2020","656.57","644.43","659.36","643.23","465.76M","2.71%"
"Apr 24, 2020","639.26","636.58","641.18","628.80","507.21M","1.22%"
"Apr 23, 2020","631.58","632.99","643.60","631.42","418.94M","0.58%"
"Apr 22, 2020","627.92","627.31","631.26","622.67","400.94M","2.06%"
"Apr 21, 2020","615.26","623.15","625.60","613.59","453.60M","-2.95%"
"Apr 20, 2020","633.99","641.15","645.44","632.31","472.71M","-2.40%"
"Apr 17, 2020","649.55","635.51","651.06","635.51","603.93M","4.62%"
"Apr 16, 2020","620.87","624.80","625.80","611.35","575.56M","-0.57%"
"Apr 15, 2020","624.43","630.37","630.37","616.97","532.90M","-3.09%"
"Apr 14, 2020","644.34","642.59","649.33","637.10","523.71M","1.96%"
"Apr 13, 2020","631.97","645.50","645.50","624.23","466.42M","-2.71%"
"Apr 09, 2020","649.56","648.27","659.28","644.35","633.59M","1.67%"
"Apr 08, 2020","638.92","622.84","641.56","617.70","569.02M","3.97%"
"Apr 07, 2020","614.51","639.27","642.96","614.24","624.80M","-0.20%"
"Apr 06, 2020","615.73","596.12","619.07","596.12","641.28M","7.88%"
"Apr 03, 2020","570.76","580.02","584.50","564.34","615.43M","-2.02%"
"Apr 02, 2020","582.55","569.94","589.85","569.11","540.97M","1.43%"
"Apr 01, 2020","574.34","578.96","584.68","567.61","546.01M","-4.79%"
"Mar 31, 2020","603.25","606.79","615.60","600.66","583.94M","-1.52%"
"Mar 30, 2020","612.55","599.13","613.89","592.99","489.94M","2.35%"
"Mar 27, 2020","598.49","604.94","616.06","593.57","522.04M","-4.48%"
"Mar 26, 2020","626.55","596.66","628.60","594.71","635.67M","6.66%"
"Mar 25, 2020","587.43","571.28","609.34","559.45","751.09M","3.96%"
"Mar 24, 2020","565.06","529.95","566.51","529.95","662.80M","12.07%"
"Mar 23, 2020","504.20","521.05","521.43","493.03","670.28M","-4.12%"
"Mar 20, 2020","525.88","558.49","563.39","523.50","791.27M","-5.04%"
"Mar 19, 2020","553.81","543.00","560.39","523.07","674.44M","1.40%"
"Mar 18, 2020","546.17","570.88","570.88","511.52","790.53M","-7.29%"
"Mar 17, 2020","589.14","569.70","590.19","552.31","749.88M","4.70%"
"Mar 16, 2020","562.67","616.23","616.23","562.02","693.10M","-12.47%"
"Mar 13, 2020","642.84","608.99","642.84","596.67","707.87M","8.04%"
"Mar 12, 2020","595.00","632.96","635.00","594.91","830.10M","-9.66%"
"Mar 11, 2020","658.59","683.75","683.75","651.00","613.76M","-5.87%"
"Mar 10, 2020","699.63","680.00","699.64","661.34","602.12M","5.26%"
"Mar 09, 2020","664.65","719.00","719.00","659.02","663.28M","-8.76%"
"Mar 06, 2020","728.47","723.58","731.35","711.14","617.40M","-1.29%"
"Mar 05, 2020","737.99","759.52","759.52","733.85","524.02M","-4.42%"
