"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","313.00","319.52","320.54","308.03","700.31M","-2.04%"
"Apr 29, 2020","319.52","297.33","320.26","297.33","581.01M","7.46%"
"Apr 28, 2020","297.33","290.92","299.53","290.89","427.71M","2.20%"
"Apr 27, 2020","290.92","284.92","293.12","276.60","458.83M","2.11%"
"Apr 24, 2020","284.92","284.25","292.17","280.55","568.19M","0.24%"
"Apr 23, 2020","284.25","275.76","290.94","275.76","596.16M","3.08%"
"Apr 22, 2020","275.76","266.53","279.70","266.53","515.87M","3.46%"
"Apr 21, 2020","266.53","270.91","271.23","259.21","556.31M","-1.62%"
"Apr 20, 2020","270.91","279.63","280.77","262.25","558.71M","-3.12%"
"Apr 17, 2020","279.63","253.55","280.04","253.55","529.20M","10.29%"
"Apr 16, 2020","253.55","264.05","264.05","253.05","438.26M","-3.98%"
"Apr 15, 2020","264.05","276.82","276.82","256.10","488.32M","-4.61%"
"Apr 14, 2020","276.82","277.83","282.80","275.08","663.05M","-0.36%"
"Apr 13, 2020","277.83","278.73","288.56","273.36","616.73M","-0.32%"
"Apr 09, 2020","278.73","281.12","299.53","268.33","1.09B","-0.85%"
"Apr 08, 2020","281.12","263.33","281.78","263.33","563.40M","6.76%"
"Apr 07, 2020","263.33","258.11","278.00","258.11","744.81M","2.02%"
"Apr 06, 2020","258.11","245.35","259.90","245.35","613.44M","5.20%"
"Apr 03, 2020","245.35","248.68","257.89","238.83","769.23M","-1.34%"
"Apr 02, 2020","248.68","228.21","260.60","228.21","910.68M","8.97%"
"Apr 01, 2020","228.21","239.56","239.56","224.93","574.37M","-4.74%"
"Mar 31, 2020","239.56","235.50","246.96","234.85","612.77M","1.72%"
"Mar 30, 2020","235.50","233.40","237.64","223.14","640.24M","0.90%"
"Mar 27, 2020","233.40","250.55","250.55","232.15","591.89M","-6.84%"
"Mar 26, 2020","250.55","236.20","255.17","236.04","653.14M","6.08%"
"Mar 25, 2020","236.20","226.37","247.55","220.97","682.74M","4.34%"
"Mar 24, 2020","226.37","195.09","227.53","195.09","735.11M","16.03%"
"Mar 23, 2020","195.09","209.31","209.31","191.91","619.59M","-6.79%"
"Mar 20, 2020","209.31","207.13","217.69","201.07","896.31M","1.05%"
"Mar 19, 2020","207.13","193.83","208.42","186.88","760.05M","6.86%"
"Mar 18, 2020","193.83","225.79","225.79","185.91","808.77M","-14.15%"
"Mar 17, 2020","225.79","224.75","235.64","217.91","784.27M","0.46%"
"Mar 16, 2020","224.75","259.74","259.74","223.87","806.64M","-13.47%"
"Mar 13, 2020","259.74","238.26","259.60","231.85","953.63M","9.02%"
"Mar 12, 2020","238.26","271.30","271.30","237.11","996.33M","-12.18%"
"Mar 11, 2020","271.30","287.01","287.01","267.23","910.05M","-5.47%"
"Mar 10, 2020","287.01","273.06","295.65","268.56","1.23B","5.11%"
"Mar 09, 2020","273.06","344.29","344.29","272.37","1.52B","-20.69%"
"Mar 06, 2020","344.29","365.56","365.56","339.32","719.19M","-5.82%"
"Mar 05, 2020","365.56","379.54","379.54","359.50","488.71M","-3.68%"
"Mar 04, 2020","379.54","371.74","379.76","371.03","445.02M","2.10%"
"Mar 03, 2020","371.74","383.90","390.45","367.40","586.48M","-3.17%"
"Mar 02, 2020","383.90","373.35","383.99","366.06","733.38M","2.83%"
"Feb 28, 2020","373.35","368.46","373.38","353.97","846.31M","1.33%"
"Feb 27, 2020","368.46","390.01","390.01","368.35","697.22M","-5.53%"
"Feb 26, 2020","390.01","402.25","405.72","390.01","621.38M","-3.04%"
"Feb 25, 2020","402.25","420.69","422.80","400.11","443.28M","-4.38%"
"Feb 24, 2020","420.69","441.55","441.55","420.19","389.88M","-4.72%"
"Feb 21, 2020","441.55","447.62","447.62","438.31","299.40M","-1.36%"
"Feb 20, 2020","447.62","448.00","452.57","446.52","307.14M","-0.08%"
"Feb 19, 2020","448.00","442.22","449.60","442.22","301.86M","1.31%"
"Feb 18, 2020","442.22","445.86","445.86","438.15","293.40M","-0.82%"
"Feb 14, 2020","445.86","449.26","449.98","443.35","320.17M","-0.76%"
"Feb 13, 2020","449.26","451.43","452.30","447.07","320.13M","-0.48%"
"Feb 12, 2020","451.43","445.33","453.90","445.33","305.06M","1.37%"
"Feb 11, 2020","445.33","440.88","447.13","440.88","267.42M","1.01%"
"Feb 10, 2020","440.88","445.02","445.02","438.39","275.03M","-0.93%"
"Feb 07, 2020","445.02","448.47","448.47","443.07","234.29M","-0.77%"
"Feb 06, 2020","448.47","453.60","455.10","447.97","243.15M","-1.13%"
"Feb 05, 2020","453.60","437.24","455.12","437.24","332.22M","3.74%"
"Feb 04, 2020","437.24","436.12","445.47","436.12","323.74M","0.26%"
"Feb 03, 2020","436.12","441.78","441.78","434.52","307.81M","-1.28%"
"Jan 31, 2020","441.78","455.88","455.88","439.43","434.97M","-3.09%"
"Jan 30, 2020","455.88","452.19","456.31","446.62","318.78M","0.82%"
"Jan 29, 2020","452.19","457.24","461.58","452.08","332.96M","-1.10%"
"Jan 28, 2020","457.24","455.09","460.21","455.09","320.22M","0.47%"
"Jan 27, 2020","455.09","468.22","468.22","454.88","335.64M","-2.80%"
"Jan 24, 2020","468.22","474.05","474.05","464.83","358.44M","-1.23%"
"Jan 23, 2020","474.05","475.93","475.93","467.37","323.69M","-0.40%"
"Jan 22, 2020","475.93","480.41","480.41","475.01","296.63M","-0.93%"
"Jan 21, 2020","480.41","489.91","489.91","480.20","354.83M","-1.94%"
"Jan 17, 2020","489.91","493.17","494.65","489.22","274.29M","-0.66%"
"Jan 16, 2020","493.17","492.62","496.81","492.62","260.80M","0.11%"
"Jan 15, 2020","492.62","495.99","495.99","491.10","241.74M","-0.68%"
"Jan 14, 2020","495.99","495.68","496.53","491.72","279.48M","0.06%"
"Jan 13, 2020","495.68","495.39","497.26","492.35","256.40M","0.06%"
"Jan 10, 2020","495.39","498.55","498.56","495.05","262.56M","-0.63%"
"Jan 09, 2020","498.55","494.90","499.02","488.99","333.16M","0.74%"
"Jan 08, 2020","494.90","504.23","504.23","494.29","327.11M","-1.85%"
"Jan 07, 2020","504.23","505.18","505.18","498.16","306.36M","-0.19%"
"Jan 06, 2020","505.18","501.30","507.75","501.30","328.62M","0.77%"
"Jan 03, 2020","501.30","502.62","508.45","499.10","330.56M","-0.26%"
"Jan 02, 2020","502.62","498.54","503.16","498.54","235.39M","0.82%"
"Dec 31, 2019","498.54","495.32","498.64","491.41","225.71M","0.65%"
"Dec 30, 2019","495.32","496.91","499.83","494.89","235.04M","-0.32%"
"Dec 27, 2019","496.91","499.41","501.15","496.74","237.45M","-0.50%"
