"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,424.46","2,430.29","2,435.37","2,403.80","797.59M","0.20%"
"Apr 29, 2020","2,419.50","2,377.22","2,430.92","2,370.38","832.17M","4.64%"
"Apr 28, 2020","2,312.17","2,382.54","2,382.54","2,309.71","633.28M","-1.87%"
"Apr 27, 2020","2,356.23","2,365.25","2,372.72","2,345.64","607.27M","0.51%"
"Apr 24, 2020","2,344.34","2,302.80","2,344.34","2,287.45","681.49M","1.92%"
"Apr 23, 2020","2,300.26","2,312.57","2,340.44","2,294.80","673.87M","-0.39%"
"Apr 22, 2020","2,309.24","2,279.14","2,321.07","2,272.12","755.04M","3.98%"
"Apr 21, 2020","2,220.92","2,288.03","2,294.00","2,205.48","826.85M","-4.20%"
"Apr 20, 2020","2,318.27","2,318.43","2,352.73","2,318.27","640.98M","-1.38%"
"Apr 17, 2020","2,350.61","2,358.47","2,361.88","2,319.06","709.96M","1.00%"
"Apr 16, 2020","2,327.30","2,322.23","2,334.04","2,290.68","744.93M","1.34%"
"Apr 15, 2020","2,296.51","2,286.07","2,315.50","2,268.32","637.46M","-1.47%"
"Apr 14, 2020","2,330.79","2,286.33","2,335.90","2,276.40","701.64M","4.31%"
"Apr 13, 2020","2,234.59","2,210.74","2,235.67","2,186.57","587.28M","0.59%"
"Apr 09, 2020","2,221.58","2,243.58","2,255.30","2,203.29","806.15M","0.07%"
"Apr 08, 2020","2,219.92","2,193.63","2,227.34","2,171.81","720.74M","2.65%"
"Apr 07, 2020","2,162.68","2,243.70","2,243.70","2,161.10","931.93M","-0.65%"
"Apr 06, 2020","2,176.87","2,095.18","2,186.19","2,081.18","861.91M","8.25%"
"Apr 03, 2020","2,010.90","2,037.31","2,055.59","1,987.35","683.50M","-1.70%"
"Apr 02, 2020","2,045.72","1,999.45","2,048.35","1,989.84","764.55M","1.72%"
"Apr 01, 2020","2,011.15","2,036.77","2,077.58","1,995.65","794.22M","-4.63%"
"Mar 31, 2020","2,108.84","2,129.24","2,175.27","2,094.65","888.47M","-1.18%"
"Mar 30, 2020","2,133.99","2,073.55","2,138.05","2,063.72","757.73M","4.25%"
"Mar 27, 2020","2,047.07","2,074.27","2,111.71","2,043.53","826.38M","-4.28%"
"Mar 26, 2020","2,138.62","2,035.27","2,142.42","2,035.27","915.39M","6.22%"
"Mar 25, 2020","2,013.44","2,043.67","2,108.03","1,986.65","1.03B","-1.26%"
"Mar 24, 2020","2,039.13","1,968.95","2,039.13","1,961.50","1.08B","9.16%"
"Mar 23, 2020","1,868.08","1,868.38","1,902.79","1,798.72","1.04B","-0.26%"
"Mar 20, 2020","1,873.03","1,980.86","2,007.85","1,868.77","1.21B","-3.84%"
"Mar 19, 2020","1,947.91","1,914.99","2,012.09","1,873.28","1.07B","1.79%"
"Mar 18, 2020","1,913.64","1,879.49","1,959.12","1,821.67","1.18B","-4.05%"
"Mar 17, 2020","1,994.51","1,915.75","2,015.36","1,847.07","1.14B","6.54%"
"Mar 16, 2020","1,872.00","1,962.97","2,029.78","1,863.63","1.13B","-13.58%"
"Mar 13, 2020","2,166.25","2,056.79","2,166.28","1,967.16","1.13B","11.29%"
"Mar 12, 2020","1,946.52","2,019.10","2,109.06","1,944.98","1.23B","-9.81%"
"Mar 11, 2020","2,158.16","2,210.17","2,220.19","2,127.15","977.79M","-4.81%"
"Mar 10, 2020","2,267.22","2,217.30","2,267.22","2,145.54","973.26M","6.02%"
"Mar 09, 2020","2,138.40","2,146.08","2,225.74","2,134.75","1.03B","-7.34%"
"Mar 06, 2020","2,307.79","2,287.27","2,320.80","2,245.46","1.01B","-2.18%"
"Mar 05, 2020","2,359.24","2,378.15","2,417.31","2,345.19","856.76M","-3.26%"
"Mar 04, 2020","2,438.82","2,391.72","2,439.60","2,362.30","755.50M","4.01%"
"Mar 03, 2020","2,344.82","2,446.75","2,464.59","2,321.58","1.00B","-3.75%"
