"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","168.76","170.72","170.74","168.14","64.02M","-2.07%"
"Apr 29, 2020","172.32","171.75","173.81","171.26","55.53M","1.51%"
"Apr 28, 2020","169.76","171.00","171.67","169.60","48.17M","-0.04%"
"Apr 27, 2020","169.83","168.60","170.56","167.01","53.85M","1.14%"
"Apr 24, 2020","167.91","166.99","167.96","164.99","54.90M","0.64%"
"Apr 23, 2020","166.85","167.17","169.50","166.69","54.84M","-0.26%"
"Apr 22, 2020","167.28","169.54","169.91","166.16","68.01M","0.62%"
"Apr 21, 2020","166.25","168.69","169.39","165.63","62.00M","-2.91%"
"Apr 20, 2020","171.23","170.70","173.50","170.41","48.13M","-0.71%"
"Apr 17, 2020","172.45","171.30","172.60","170.24","53.67M","2.30%"
"Apr 16, 2020","168.57","167.99","169.26","166.15","55.87M","0.89%"
"Apr 15, 2020","167.08","169.00","170.78","166.61","62.30M","-2.62%"
"Apr 14, 2020","171.57","169.13","171.73","167.82","53.98M","2.91%"
"Apr 13, 2020","166.72","168.20","169.16","165.57","51.77M","-1.40%"
"Apr 09, 2020","169.09","167.29","170.50","166.99","76.86M","0.87%"
"Apr 08, 2020","167.63","166.92","168.10","164.07","63.17M","0.47%"
"Apr 07, 2020","166.85","168.18","169.72","166.18","81.78M","1.23%"
"Apr 06, 2020","164.83","160.80","165.73","159.37","79.98M","5.30%"
"Apr 03, 2020","156.53","159.96","160.65","155.50","86.00M","-2.66%"
"Apr 02, 2020","160.81","156.75","161.40","156.25","78.44M","3.17%"
"Apr 01, 2020","155.87","154.99","157.68","154.04","85.84M","-2.36%"
"Mar 31, 2020","159.63","162.38","162.93","159.17","125.86M","-2.47%"
"Mar 30, 2020","163.67","160.78","164.35","159.47","93.13M","2.49%"
"Mar 27, 2020","159.70","158.11","163.81","157.24","98.06M","-2.07%"
"Mar 26, 2020","163.07","152.21","164.42","152.21","123.71M","7.43%"
"Mar 25, 2020","151.79","150.76","159.12","147.67","143.79M","0.48%"
"Mar 24, 2020","151.07","153.14","153.24","146.87","146.76M","2.23%"
"Mar 23, 2020","147.77","149.48","153.89","144.74","180.49M","-3.99%"
"Mar 20, 2020","153.91","161.01","161.20","152.18","207.51M","-6.11%"
"Mar 19, 2020","163.92","163.95","168.85","161.88","150.91M","-2.68%"
"Mar 18, 2020","168.43","165.82","169.17","156.37","157.35M","-1.61%"
"Mar 17, 2020","171.18","163.15","173.69","163.15","130.93M","6.07%"
"Mar 16, 2020","161.38","159.63","169.78","156.74","119.36M","-7.07%"
"Mar 13, 2020","173.65","167.39","173.86","162.62","137.12M","8.21%"
"Mar 12, 2020","160.47","163.57","170.21","159.66","185.96M","-8.21%"
"Mar 11, 2020","174.82","175.95","176.57","172.84","115.80M","-3.06%"
"Mar 10, 2020","180.34","178.28","180.66","172.67","124.74M","2.58%"
"Mar 09, 2020","175.80","178.78","182.17","174.17","147.82M","-4.58%"
"Mar 06, 2020","184.23","180.58","185.26","180.06","100.19M","-0.56%"
"Mar 05, 2020","185.26","185.62","187.78","183.85","95.01M","-2.32%"
"Mar 04, 2020","189.66","184.15","189.87","183.00","86.80M","4.79%"
"Mar 03, 2020","180.99","185.72","188.97","179.30","120.77M","-2.69%"
"Mar 02, 2020","185.99","177.92","186.68","177.50","129.80M","5.53%"
"Feb 28, 2020","176.24","172.43","177.22","169.23","218.91M","-1.49%"
