"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","284.63","289.90","289.90","282.55","112.40M","-2.51%"
"Apr 29, 2020","291.95","299.03","299.03","290.59","93.83M","-0.75%"
"Apr 28, 2020","294.15","297.37","300.28","292.85","85.53M","0.43%"
"Apr 27, 2020","292.89","291.47","294.86","291.06","79.38M","1.17%"
"Apr 24, 2020","289.50","287.86","290.77","284.62","84.45M","0.66%"
"Apr 23, 2020","287.59","292.63","294.01","286.12","81.08M","-1.67%"
"Apr 22, 2020","292.46","289.26","294.40","287.61","80.75M","2.85%"
"Apr 21, 2020","284.35","283.78","287.33","281.14","94.41M","-1.48%"
"Apr 20, 2020","288.61","297.35","297.35","288.23","87.21M","-3.90%"
"Apr 17, 2020","300.32","296.57","301.69","293.26","87.07M","3.31%"
"Apr 16, 2020","290.70","292.28","293.25","287.85","97.69M","0.06%"
"Apr 15, 2020","290.52","294.70","295.68","289.24","93.98M","-3.47%"
"Apr 14, 2020","300.96","299.11","301.40","295.95","86.46M","2.87%"
"Apr 13, 2020","292.55","299.63","300.24","289.79","76.60M","-3.32%"
"Apr 09, 2020","302.60","292.28","306.76","292.28","130.36M","4.68%"
"Apr 08, 2020","289.06","276.11","291.19","273.70","98.48M","5.31%"
"Apr 07, 2020","274.49","285.50","285.64","273.95","119.05M","-1.21%"
"Apr 06, 2020","277.86","267.44","280.34","267.11","113.53M","7.82%"
"Apr 03, 2020","257.70","263.97","267.37","255.89","134.42M","-3.52%"
"Apr 02, 2020","267.11","255.38","268.86","255.38","126.54M","3.15%"
"Apr 01, 2020","258.96","264.49","268.07","254.27","122.88M","-6.09%"
"Mar 31, 2020","275.76","283.89","283.94","274.80","149.37M","-3.91%"
"Mar 30, 2020","286.98","280.91","288.40","277.82","129.75M","3.69%"
"Mar 27, 2020","276.77","266.33","286.66","266.03","125.34M","0.46%"
"Mar 26, 2020","275.50","254.52","278.26","254.45","127.62M","8.39%"
