"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,761.47","2,621.17","2,768.57","2,621.17","-","5.35%"
"Apr 29, 2020","2,621.17","2,518.94","2,654.22","2,501.06","-","4.06%"
"Apr 28, 2020","2,518.94","2,569.21","2,636.21","2,496.55","-","-1.96%"
"Apr 27, 2020","2,569.21","2,554.69","2,646.41","2,512.03","-","0.57%"
"Apr 24, 2020","2,554.69","2,475.47","2,653.82","2,475.47","-","3.20%"
"Apr 23, 2020","2,475.47","2,387.87","2,570.92","2,311.52","-","3.67%"
"Apr 22, 2020","2,387.87","2,393.04","2,494.89","2,334.47","-","-0.22%"
"Apr 21, 2020","2,393.04","2,628.21","2,685.97","2,363.31","-","-8.95%"
"Apr 20, 2020","2,628.21","2,615.10","2,822.43","2,559.74","-","0.50%"
"Apr 17, 2020","2,615.10","2,620.01","2,746.55","2,542.82","-","-0.19%"
"Apr 16, 2020","2,620.01","2,918.59","2,928.03","2,598.88","-","-10.23%"
"Apr 15, 2020","2,918.59","3,045.77","3,109.89","2,811.63","-","-4.18%"
"Apr 14, 2020","3,045.77","3,085.88","3,129.62","2,998.85","-","-1.30%"
"Apr 09, 2020","3,085.88","3,109.36","3,180.16","3,002.88","-","-0.76%"
"Apr 08, 2020","3,109.36","3,172.32","3,194.30","2,996.96","-","-1.98%"
"Apr 07, 2020","3,172.32","2,961.86","3,281.99","2,961.86","-","7.11%"
"Apr 06, 2020","2,961.86","2,801.55","2,995.45","2,773.17","-","5.72%"
"Apr 03, 2020","2,801.55","2,997.56","3,173.27","2,662.18","-","-6.54%"
"Apr 02, 2020","2,997.56","3,278.39","3,426.79","2,877.81","-","-8.57%"
"Apr 01, 2020","3,278.39","2,709.27","3,555.44","2,706.02","-","21.01%"
"Mar 31, 2020","2,709.27","2,684.08","2,829.33","2,620.71","-","0.94%"
"Mar 30, 2020","2,684.08","3,099.79","3,099.79","2,683.30","-","-13.41%"
"Mar 27, 2020","3,099.79","3,530.87","3,530.87","3,056.08","-","-12.21%"
"Mar 26, 2020","3,530.87","3,316.38","3,539.57","3,217.99","-","6.47%"
"Mar 25, 2020","3,316.38","2,942.65","3,323.74","2,942.65","-","12.70%"
"Mar 24, 2020","2,942.65","2,582.44","2,948.31","2,582.44","-","13.95%"
"Mar 23, 2020","2,582.44","2,520.32","2,712.65","2,453.03","-","2.46%"
"Mar 20, 2020","2,520.32","2,342.65","2,684.56","2,342.65","-","7.58%"
"Mar 19, 2020","2,342.65","2,328.23","2,388.82","2,264.45","-","0.62%"
"Mar 18, 2020","2,328.23","2,467.33","2,524.56","2,263.58","-","-5.64%"
"Mar 17, 2020","2,467.33","2,284.94","2,572.35","2,193.62","-","7.98%"
"Mar 16, 2020","2,284.94","2,782.90","2,782.90","2,138.80","-","-17.89%"
"Mar 13, 2020","2,782.90","2,784.78","3,014.76","2,661.98","-","-0.07%"
"Mar 12, 2020","2,784.78","3,160.08","3,160.08","2,727.34","-","-11.88%"
"Mar 11, 2020","3,160.08","3,018.86","3,180.92","2,975.09","-","4.68%"
"Mar 10, 2020","3,018.86","3,064.66","3,305.55","3,014.20","-","-1.49%"
"Mar 09, 2020","3,064.66","3,489.07","3,489.07","3,056.27","-","-12.16%"
"Mar 06, 2020","3,489.07","3,704.33","3,704.33","3,423.16","-","-5.81%"
"Mar 05, 2020","3,704.33","3,858.90","3,897.30","3,630.00","-","-4.01%"
"Mar 04, 2020","3,858.90","3,704.19","3,858.90","3,654.86","-","4.18%"
"Mar 03, 2020","3,704.19","3,623.98","3,828.69","3,623.98","-","2.21%"
"Mar 02, 2020","3,623.98","3,946.84","4,102.50","3,618.78","-","-8.18%"
"Feb 28, 2020","3,946.84","4,057.41","4,153.17","3,757.48","-","-2.73%"
"Feb 27, 2020","4,057.41","4,236.12","4,304.51","3,944.23","-","-4.22%"
"Feb 26, 2020","4,236.12","4,213.34","4,264.30","4,134.73","-","0.54%"
"Feb 25, 2020","4,213.34","4,408.84","4,479.55","4,200.37","-","-4.43%"
"Feb 24, 2020","4,408.84","4,594.91","4,645.75","4,391.78","-","-4.05%"
"Feb 21, 2020","4,594.91","4,717.81","4,761.84","4,582.64","-","-2.61%"
"Feb 20, 2020","4,717.81","4,676.21","4,789.69","4,676.21","-","0.89%"
"Feb 19, 2020","4,676.21","4,669.70","4,692.94","4,608.52","-","0.14%"
"Feb 18, 2020","4,669.70","4,807.48","4,832.49","4,645.36","-","-2.87%"
"Feb 17, 2020","4,807.48","4,700.25","4,807.48","4,687.54","-","2.28%"
"Feb 14, 2020","4,700.25","4,840.30","4,866.16","4,671.69","-","-2.89%"
"Feb 13, 2020","4,840.30","5,016.65","5,016.65","4,798.70","-","-3.52%"
"Feb 12, 2020","5,016.65","4,876.87","5,031.24","4,871.94","-","2.87%"
"Feb 11, 2020","4,876.87","4,808.04","4,913.62","4,775.84","-","1.43%"
