"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","15,873.07","16,464.09","16,542.89","15,873.07","-","-3.59%"
"Apr 29, 2020","16,464.09","15,940.62","16,464.09","15,726.72","-","3.28%"
"Apr 28, 2020","15,940.62","15,569.12","15,957.50","15,512.83","-","2.39%"
"Apr 27, 2020","15,569.12","14,859.90","15,569.12","14,859.90","-","4.77%"
"Apr 24, 2020","14,859.90","15,175.11","15,175.11","14,843.01","-","-2.08%"
"Apr 23, 2020","15,175.11","14,933.07","15,175.11","14,809.24","-","1.62%"
"Apr 22, 2020","14,933.07","14,752.95","15,045.65","14,707.92","-","1.22%"
"Apr 21, 2020","14,752.95","14,927.44","14,961.21","14,640.38","-","-1.17%"
"Apr 20, 2020","14,927.44","15,101.93","15,180.74","14,707.92","-","-1.16%"
"Apr 17, 2020","15,101.93","14,403.97","15,265.17","14,403.97","-","4.85%"
"Apr 16, 2020","14,403.97","14,364.57","14,668.52","14,325.17","-","0.27%"
"Apr 15, 2020","14,364.57","15,034.39","15,062.53","14,347.68","-","-4.46%"
"Apr 14, 2020","15,034.39","15,197.62","15,265.17","14,871.15","-","-1.07%"
"Apr 09, 2020","15,197.62","15,180.74","15,608.52","14,792.35","-","0.11%"
"Apr 08, 2020","15,180.74","14,843.01","15,180.74","14,617.86","-","2.28%"
"Apr 07, 2020","14,843.01","14,426.48","15,276.42","14,426.48","-","2.89%"
"Apr 06, 2020","14,426.48","13,773.55","14,426.48","13,773.55","-","4.74%"
"Apr 03, 2020","13,773.55","14,223.85","14,313.91","13,773.55","-","-3.17%"
"Apr 02, 2020","14,223.85","15,000.62","15,000.62","14,218.22","-","-5.18%"
"Apr 01, 2020","15,000.62","15,546.60","15,546.60","14,736.06","-","-3.51%"
"Mar 31, 2020","15,546.60","15,068.16","15,653.55","15,068.16","-","3.18%"
"Mar 30, 2020","15,068.16","14,938.70","15,096.30","14,353.31","-","0.87%"
"Mar 27, 2020","14,938.70","15,608.52","15,608.52","14,392.71","-","-4.29%"
"Mar 26, 2020","15,608.52","14,927.44","15,608.52","14,229.48","-","4.56%"
"Mar 25, 2020","14,927.44","14,218.22","14,927.44","14,049.36","-","4.99%"
"Mar 24, 2020","14,218.22","13,317.62","14,218.22","13,317.62","-","6.76%"
"Mar 23, 2020","13,317.62","14,145.05","14,145.05","13,193.79","-","-5.85%"
"Mar 20, 2020","14,145.05","13,953.67","14,730.44","13,953.67","-","1.37%"
"Mar 19, 2020","13,953.67","13,796.06","14,116.90","13,019.30","-","1.14%"
"Mar 18, 2020","13,796.06","15,028.76","15,028.76","13,599.06","-","-8.20%"
"Mar 17, 2020","15,028.76","14,387.08","15,225.77","14,206.96","-","4.46%"
"Mar 16, 2020","14,387.08","15,248.28","15,248.28","13,554.03","-","-5.65%"
"Mar 13, 2020","15,248.28","14,634.75","16,250.20","14,634.75","-","4.19%"
"Mar 12, 2020","14,634.75","16,402.17","16,402.17","14,634.75","-","-10.78%"
"Mar 11, 2020","16,402.17","16,807.44","17,285.89","16,317.74","-","-2.41%"
"Mar 10, 2020","16,807.44","16,756.79","17,820.62","16,756.79","-","0.30%"
"Mar 09, 2020","16,756.79","17,910.68","17,910.68","16,317.74","-","-6.44%"
"Mar 06, 2020","17,910.68","18,327.21","18,327.21","17,736.19","-","-2.27%"
"Mar 05, 2020","18,327.21","18,681.82","18,890.08","18,242.78","-","-1.90%"
"Mar 04, 2020","18,681.82","18,135.83","18,693.08","18,135.83","-","3.01%"
"Mar 03, 2020","18,135.83","17,696.79","18,557.99","17,696.79","-","2.48%"
"Mar 02, 2020","17,696.79","17,584.21","18,107.69","17,223.97","-","0.64%"
"Feb 28, 2020","17,584.21","18,231.52","18,231.52","17,032.59","-","-3.55%"
"Feb 27, 2020","18,231.52","18,237.15","18,512.96","17,854.39","-","-0.03%"
"Feb 26, 2020","18,237.15","18,135.83","18,237.15","17,606.73","-","0.56%"
"Feb 25, 2020","18,135.83","18,417.27","18,580.50","18,040.14","-","-1.53%"
"Feb 24, 2020","18,417.27","19,329.12","19,329.12","18,321.58","-","-4.72%"
"Feb 21, 2020","19,329.12","19,098.35","19,329.12","18,833.79","-","1.21%"
"Feb 20, 2020","19,098.35","18,805.65","19,149.00","18,726.85","-","1.56%"
"Feb 19, 2020","18,805.65","18,501.70","18,805.65","18,501.70","-","1.64%"
"Feb 18, 2020","18,501.70","18,709.96","18,709.96","18,451.04","-","-1.11%"
"Feb 17, 2020","18,709.96","18,715.59","18,873.20","18,670.56","-","-0.03%"
"Feb 14, 2020","18,715.59","18,822.54","18,861.94","18,664.93","-","-0.57%"
"Feb 13, 2020","18,822.54","19,413.56","19,413.56","18,631.16","-","-3.04%"
"Feb 12, 2020","19,413.56","19,081.46","19,458.59","19,025.17","-","1.74%"
"Feb 11, 2020","19,081.46","18,726.85","19,149.00","18,726.85","-","1.89%"
"Feb 10, 2020","18,726.85","18,569.24","18,726.85","18,439.78","-","0.85%"
"Feb 07, 2020","18,569.24","18,766.25","18,777.51","18,462.30","-","-1.05%"
"Feb 06, 2020","18,766.25","18,659.30","19,008.29","18,648.05","-","0.57%"
"Feb 05, 2020","18,659.30","17,753.07","18,670.56","17,679.90","-","5.10%"
"Feb 04, 2020","17,753.07","17,640.50","17,933.19","17,640.50","-","0.64%"
"Feb 03, 2020","17,640.50","17,404.09","17,724.93","17,404.09","-","1.36%"
"Jan 31, 2020","17,404.09","17,927.57","17,966.97","17,364.69","-","-2.92%"
"Jan 30, 2020","17,927.57","18,192.12","18,192.12","17,786.85","-","-1.45%"
"Jan 29, 2020","18,192.12","17,854.39","18,265.29","17,854.39","-","1.89%"
"Jan 28, 2020","17,854.39","17,769.96","17,916.31","17,646.13","-","0.48%"
"Jan 27, 2020","17,769.96","18,315.95","18,315.95","17,668.64","-","-2.98%"
"Jan 24, 2020","18,315.95","18,248.40","18,445.41","18,237.15","-","0.37%"
"Jan 23, 2020","18,248.40","18,445.41","18,445.41","18,186.49","-","-1.07%"
"Jan 22, 2020","18,445.41","18,107.69","18,445.41","18,062.66","-","1.87%"
"Jan 21, 2020","18,107.69","18,265.29","18,265.29","17,921.94","-","-0.86%"
"Jan 20, 2020","18,265.29","18,057.03","18,287.81","17,961.34","-","1.15%"
"Jan 17, 2020","18,057.03","17,933.19","18,113.31","17,921.94","-","0.69%"
"Jan 16, 2020","17,933.19","18,124.57","18,124.57","17,764.33","-","-1.06%"
"Jan 15, 2020","18,124.57","18,349.72","18,355.35","17,871.28","-","-1.23%"
"Jan 14, 2020","18,349.72","18,833.79","18,833.79","18,169.60","-","-2.57%"
"Jan 13, 2020","18,833.79","18,890.08","18,890.08","18,580.50","-","-0.30%"
"Jan 10, 2020","18,890.08","19,272.84","19,351.64","18,614.27","-","-1.99%"
"Jan 09, 2020","19,272.84","19,424.81","19,689.36","19,272.84","-","-0.78%"
