"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,634.96","2,758.82","2,777.50","2,621.07","-","-4.49%"
"Apr 29, 2020","2,758.82","2,502.50","2,758.82","2,492.24","-","10.24%"
"Apr 28, 2020","2,502.50","2,551.54","2,591.77","2,497.16","-","-1.92%"
"Apr 27, 2020","2,551.54","2,478.34","2,572.06","2,478.34","-","2.95%"
"Apr 24, 2020","2,478.34","2,573.41","2,573.41","2,478.34","-","-3.69%"
"Apr 23, 2020","2,573.41","2,411.68","2,590.78","2,405.45","-","6.71%"
"Apr 22, 2020","2,411.68","2,372.86","2,478.91","2,372.86","-","1.64%"
"Apr 21, 2020","2,372.86","2,612.53","2,612.53","2,372.86","-","-9.17%"
"Apr 20, 2020","2,612.53","2,594.55","2,628.76","2,505.38","-","0.69%"
"Apr 17, 2020","2,594.55","2,488.53","2,657.52","2,488.53","-","4.26%"
"Apr 16, 2020","2,488.53","2,345.63","2,532.44","2,345.63","-","6.09%"
"Apr 15, 2020","2,345.63","2,534.79","2,534.79","2,325.62","-","-7.46%"
"Apr 14, 2020","2,534.79","2,646.91","2,715.54","2,523.90","-","-4.24%"
"Apr 09, 2020","2,646.91","2,598.38","2,750.52","2,579.98","-","1.87%"
"Apr 08, 2020","2,598.38","2,484.34","2,602.63","2,423.18","-","4.59%"
"Apr 07, 2020","2,484.34","2,310.94","2,565.16","2,310.94","-","7.50%"
"Apr 06, 2020","2,310.94","2,256.82","2,384.18","2,256.82","-","2.40%"
"Apr 03, 2020","2,256.82","2,273.86","2,299.48","2,195.23","-","-0.75%"
"Apr 02, 2020","2,273.86","2,225.40","2,351.56","2,212.34","-","2.18%"
"Apr 01, 2020","2,225.40","2,290.41","2,290.61","2,190.67","-","-2.84%"
"Mar 31, 2020","2,290.41","2,238.20","2,386.19","2,234.01","-","2.33%"
"Mar 30, 2020","2,238.20","2,336.27","2,372.60","2,195.33","-","-4.20%"
"Mar 27, 2020","2,336.27","2,442.95","2,462.76","2,248.62","-","-4.37%"
"Mar 26, 2020","2,442.95","2,492.82","2,493.45","2,324.78","-","-2.00%"
