"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,538.57","2,689.25","2,732.90","2,537.91","-","-5.60%"
"Apr 29, 2020","2,689.25","2,558.92","2,691.33","2,543.28","-","5.09%"
"Apr 28, 2020","2,558.92","2,509.13","2,564.46","2,496.49","-","1.98%"
"Apr 27, 2020","2,509.13","2,474.36","2,528.16","2,474.36","-","1.41%"
"Apr 24, 2020","2,474.36","2,436.88","2,489.95","2,388.11","-","1.54%"
"Apr 23, 2020","2,436.88","2,429.43","2,469.32","2,392.06","-","0.31%"
"Apr 22, 2020","2,429.43","2,395.58","2,436.53","2,388.66","-","1.41%"
"Apr 21, 2020","2,395.58","2,511.29","2,511.29","2,395.58","-","-4.61%"
"Apr 20, 2020","2,511.29","2,467.96","2,535.73","2,464.16","-","1.76%"
"Apr 17, 2020","2,467.96","2,427.41","2,511.54","2,426.84","-","1.67%"
"Apr 16, 2020","2,427.41","2,445.61","2,473.09","2,405.93","-","-0.74%"
"Apr 15, 2020","2,445.61","2,539.00","2,567.86","2,441.11","-","-3.68%"
"Apr 14, 2020","2,539.00","2,562.89","2,600.67","2,527.67","-","-0.93%"
"Apr 09, 2020","2,562.89","2,510.24","2,584.61","2,510.24","-","2.10%"
"Apr 08, 2020","2,510.24","2,616.96","2,637.46","2,487.05","-","-4.08%"
"Apr 07, 2020","2,616.96","2,638.47","2,737.18","2,600.09","-","-0.82%"
"Apr 06, 2020","2,638.47","2,512.22","2,641.81","2,511.85","-","5.03%"
"Apr 03, 2020","2,512.22","2,497.41","2,516.19","2,434.19","-","0.59%"
"Apr 02, 2020","2,497.41","2,479.54","2,535.09","2,445.96","-","0.72%"
"Apr 01, 2020","2,479.54","2,560.93","2,560.93","2,450.44","-","-3.18%"
"Mar 31, 2020","2,560.93","2,586.28","2,661.71","2,528.53","-","-0.98%"
"Mar 30, 2020","2,586.28","2,631.65","2,671.27","2,515.92","-","-1.72%"
"Mar 27, 2020","2,631.65","2,800.41","2,800.41","2,555.39","-","-6.03%"
"Mar 26, 2020","2,800.41","2,655.06","2,800.41","2,549.59","-","5.47%"
"Mar 25, 2020","2,655.06","2,524.41","2,704.97","2,505.44","-","5.18%"
"Mar 24, 2020","2,524.41","2,494.35","2,604.83","2,458.40","-","1.21%"
"Mar 23, 2020","2,494.35","2,544.02","2,579.41","2,411.47","-","-1.95%"
"Mar 20, 2020","2,544.02","2,613.53","2,832.03","2,516.16","-","-2.66%"
