"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","455.85","466.08","471.50","454.22","-","-2.19%"
"Apr 29, 2020","466.08","449.82","467.23","449.09","-","3.61%"
"Apr 28, 2020","449.82","440.78","453.11","440.78","-","2.05%"
"Apr 27, 2020","440.78","440.51","452.62","440.06","-","0.06%"
"Apr 24, 2020","440.51","443.03","443.70","436.38","-","-0.57%"
"Apr 23, 2020","443.03","438.78","446.06","437.67","-","0.97%"
"Apr 22, 2020","438.78","435.03","445.98","434.75","-","0.86%"
"Apr 21, 2020","435.03","444.12","444.12","434.68","-","-2.05%"
"Apr 20, 2020","444.12","448.83","450.33","442.60","-","-1.05%"
"Apr 17, 2020","448.83","436.54","451.89","436.54","-","2.82%"
"Apr 16, 2020","436.54","439.60","443.13","433.86","-","-0.70%"
"Apr 15, 2020","439.60","458.64","458.83","439.31","-","-4.15%"
"Apr 14, 2020","458.64","471.17","472.98","454.53","-","-2.66%"
"Apr 09, 2020","471.17","448.96","471.17","448.94","-","4.95%"
"Apr 08, 2020","448.96","437.63","448.96","431.70","-","2.59%"
"Apr 07, 2020","437.63","419.30","447.31","419.30","-","4.37%"
"Apr 06, 2020","419.30","403.85","423.88","403.85","-","3.83%"
"Apr 03, 2020","403.85","413.28","414.06","399.79","-","-2.28%"
"Apr 02, 2020","413.28","411.75","422.84","409.46","-","0.37%"
"Apr 01, 2020","411.75","429.18","429.18","408.16","-","-4.06%"
"Mar 31, 2020","429.18","415.36","430.44","415.24","-","3.33%"
"Mar 30, 2020","415.36","423.28","425.92","403.63","-","-1.87%"
"Mar 27, 2020","423.28","435.39","435.41","414.22","-","-2.78%"
"Mar 26, 2020","435.39","429.88","435.39","416.99","-","1.28%"
"Mar 25, 2020","429.88","418.38","437.96","414.13","-","2.75%"
"Mar 24, 2020","418.38","385.68","418.38","385.68","-","8.48%"
"Mar 23, 2020","385.68","398.43","398.43","379.36","-","-3.20%"
"Mar 20, 2020","398.43","376.00","399.26","376.00","-","5.97%"
"Mar 19, 2020","376.00","389.52","389.52","361.97","-","-3.47%"
"Mar 18, 2020","389.52","406.82","406.82","382.36","-","-4.25%"
"Mar 17, 2020","406.82","420.50","427.96","395.73","-","-3.25%"
"Mar 16, 2020","420.50","456.31","456.31","403.64","-","-7.85%"
"Mar 13, 2020","456.31","454.94","479.51","452.93","-","0.30%"
"Mar 12, 2020","454.94","504.27","504.30","448.33","-","-9.78%"
"Mar 11, 2020","504.27","504.53","519.60","504.27","-","-0.05%"
"Mar 10, 2020","504.53","508.07","525.05","504.00","-","-0.70%"
"Mar 09, 2020","508.07","531.36","531.36","501.94","-","-4.38%"
"Mar 06, 2020","531.36","546.05","546.05","523.63","-","-2.69%"
"Mar 05, 2020","546.05","553.05","555.24","541.36","-","-1.27%"
"Mar 04, 2020","553.05","549.15","557.35","543.85","-","0.71%"
"Mar 03, 2020","549.15","533.03","553.93","533.03","-","3.02%"
"Mar 02, 2020","533.03","532.96","545.88","524.48","-","0.01%"
"Feb 28, 2020","532.96","549.52","549.52","523.87","-","-3.01%"
"Feb 27, 2020","549.52","574.64","574.87","546.70","-","-4.37%"
"Feb 26, 2020","574.64","581.18","581.31","568.01","-","-1.13%"
"Feb 25, 2020","581.18","589.76","598.30","580.27","-","-1.45%"
"Feb 24, 2020","589.76","600.65","600.65","586.77","-","-1.81%"
"Feb 21, 2020","600.65","599.39","603.70","598.22","-","0.21%"
"Feb 20, 2020","599.39","601.93","604.09","598.97","-","-0.42%"
"Feb 19, 2020","601.93","600.25","604.30","600.25","-","0.28%"
"Feb 18, 2020","600.25","602.77","605.99","599.89","-","-0.42%"
"Feb 17, 2020","602.77","608.82","609.45","602.31","-","-0.99%"
"Feb 14, 2020","608.82","596.33","608.82","596.33","-","2.09%"
"Feb 13, 2020","596.33","599.02","599.54","592.17","-","-0.45%"
"Feb 12, 2020","599.02","595.99","601.11","593.55","-","0.51%"
"Feb 11, 2020","595.99","591.90","597.60","591.90","-","0.69%"
"Feb 10, 2020","591.90","586.11","592.59","584.41","-","0.99%"
"Feb 07, 2020","586.11","587.54","588.97","584.11","-","-0.24%"
"Feb 06, 2020","587.54","588.01","591.87","585.91","-","-0.08%"
"Feb 05, 2020","588.01","587.43","589.45","585.40","-","0.10%"
"Feb 04, 2020","587.43","583.93","589.99","583.22","-","0.60%"
"Feb 03, 2020","583.93","583.94","587.14","582.92","-","-0.00%"
"Jan 31, 2020","583.94","588.46","591.42","583.94","-","-0.77%"
"Jan 30, 2020","588.46","591.02","592.92","585.92","-","-0.43%"
"Jan 29, 2020","591.02","588.88","591.71","588.51","-","0.36%"
"Jan 28, 2020","588.88","585.25","589.09","584.94","-","0.62%"
"Jan 27, 2020","585.25","597.94","597.99","584.79","-","-2.12%"
"Jan 24, 2020","597.94","588.85","598.77","588.85","-","1.54%"
"Jan 23, 2020","588.85","590.97","593.73","588.62","-","-0.36%"
"Jan 22, 2020","590.97","588.24","591.34","586.67","-","0.46%"
"Jan 21, 2020","588.24","591.35","591.35","585.81","-","-0.53%"
"Jan 20, 2020","591.35","594.73","596.27","590.63","-","-0.57%"
"Jan 17, 2020","594.73","588.41","595.07","587.28","-","1.07%"
"Jan 16, 2020","588.41","585.48","588.41","584.29","-","0.50%"
"Jan 15, 2020","585.48","582.87","585.48","579.25","-","0.45%"
"Jan 14, 2020","582.87","583.65","586.82","582.61","-","-0.13%"
"Jan 13, 2020","583.65","580.04","586.96","580.04","-","0.62%"
"Jan 10, 2020","580.04","582.24","585.04","580.04","-","-0.38%"
"Jan 09, 2020","582.24","586.72","589.61","581.09","-","-0.76%"
"Jan 08, 2020","586.72","595.45","595.50","585.29","-","-1.47%"
"Jan 07, 2020","595.45","593.93","596.91","593.18","-","0.26%"
"Jan 06, 2020","593.93","600.75","600.75","590.91","-","-1.14%"
"Jan 03, 2020","600.75","602.06","602.41","596.33","-","-0.22%"
"Jan 02, 2020","602.06","602.06","605.61","600.93","-","0.00%"
"Dec 31, 2019","602.06","600.02","602.07","597.64","-","0.34%"
"Dec 30, 2019","600.02","601.36","602.54","598.79","-","-0.22%"
"Dec 27, 2019","601.36","593.41","601.36","592.05","-","1.34%"
"Dec 24, 2019","593.41","590.38","593.41","588.42","-","0.51%"
"Dec 23, 2019","590.38","582.89","592.76","582.89","-","1.28%"
"Dec 20, 2019","582.89","585.84","587.02","582.02","-","-0.50%"
"Dec 19, 2019","585.84","581.64","586.53","580.82","-","0.72%"
"Dec 18, 2019","581.64","583.27","584.04","575.83","-","-0.28%"
"Dec 17, 2019","583.27","596.73","597.15","580.78","-","-2.26%"
"Dec 16, 2019","596.73","589.03","599.34","589.03","-","1.31%"
"Dec 13, 2019","589.03","566.14","603.50","566.14","-","4.04%"
"Dec 12, 2019","566.14","569.90","570.90","564.95","-","-0.66%"
"Dec 11, 2019","569.90","580.14","580.14","562.50","-","-1.77%"
"Dec 10, 2019","580.14","585.29","585.71","577.08","-","-0.88%"
"Dec 09, 2019","585.29","583.12","585.32","580.17","-","0.37%"
"Dec 06, 2019","583.12","572.53","583.12","572.53","-","1.85%"
"Dec 05, 2019","572.53","567.86","574.19","567.06","-","0.82%"
"Dec 04, 2019","567.86","564.84","567.86","562.64","-","0.53%"
"Dec 03, 2019","564.84","566.00","569.23","562.43","-","-0.20%"
"Dec 02, 2019","566.00","574.70","575.32","565.01","-","-1.51%"
"Nov 29, 2019","574.70","579.19","580.26","574.70","-","-0.78%"
"Nov 28, 2019","579.19","573.25","580.08","573.25","-","1.04%"
"Nov 27, 2019","573.25","570.37","574.14","568.52","-","0.50%"
"Nov 26, 2019","570.37","566.04","571.82","564.60","-","0.76%"
"Nov 25, 2019","566.04","559.16","566.04","558.93","-","1.23%"
"Nov 22, 2019","559.16","556.64","560.80","555.83","-","0.45%"
