"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","3,490.57","3,686.37","3,771.29","3,490.57","-","-5.31%"
"Apr 29, 2020","3,686.37","3,474.12","3,697.59","3,474.12","-","6.11%"
"Apr 28, 2020","3,474.12","3,455.54","3,518.36","3,453.90","-","0.54%"
"Apr 27, 2020","3,455.54","3,405.18","3,494.20","3,405.18","-","1.48%"
"Apr 24, 2020","3,405.18","3,461.03","3,461.03","3,388.28","-","-1.61%"
"Apr 23, 2020","3,461.03","3,408.76","3,482.39","3,408.00","-","1.53%"
"Apr 22, 2020","3,408.76","3,499.67","3,510.07","3,385.01","-","-2.60%"
"Apr 21, 2020","3,499.67","3,613.91","3,613.91","3,499.67","-","-3.16%"
"Apr 20, 2020","3,613.91","3,679.70","3,705.88","3,567.09","-","-1.79%"
"Apr 17, 2020","3,679.70","3,467.54","3,696.08","3,467.54","-","6.12%"
"Apr 16, 2020","3,467.54","3,430.55","3,511.61","3,427.57","-","1.08%"
"Apr 15, 2020","3,430.55","3,579.56","3,591.94","3,411.45","-","-4.16%"
"Apr 14, 2020","3,579.56","3,660.66","3,683.30","3,538.13","-","-2.22%"
"Apr 09, 2020","3,660.66","3,553.07","3,682.83","3,552.67","-","3.03%"
"Apr 08, 2020","3,553.07","3,553.20","3,553.20","3,424.25","-","-0.00%"
"Apr 07, 2020","3,553.20","3,397.06","3,652.58","3,397.06","-","4.60%"
"Apr 06, 2020","3,397.06","3,189.35","3,440.08","3,189.35","-","6.51%"
"Apr 03, 2020","3,189.35","3,262.43","3,280.37","3,156.18","-","-2.24%"
"Apr 02, 2020","3,262.43","3,305.72","3,322.13","3,216.34","-","-1.31%"
"Apr 01, 2020","3,305.72","3,553.96","3,553.96","3,291.77","-","-6.98%"
"Mar 31, 2020","3,553.96","3,418.91","3,554.50","3,418.91","-","3.95%"
"Mar 30, 2020","3,418.91","3,578.79","3,578.79","3,335.38","-","-4.47%"
"Mar 27, 2020","3,578.79","3,783.31","3,783.31","3,500.88","-","-5.41%"
"Mar 26, 2020","3,783.31","3,650.29","3,783.31","3,538.85","-","3.64%"
"Mar 25, 2020","3,650.29","3,380.52","3,650.29","3,369.11","-","7.98%"
"Mar 24, 2020","3,380.52","3,105.21","3,380.52","3,105.21","-","8.87%"
"Mar 23, 2020","3,105.21","3,273.40","3,273.88","3,007.15","-","-5.14%"
"Mar 20, 2020","3,273.40","3,327.95","3,498.22","3,232.19","-","-1.64%"
"Mar 19, 2020","3,327.95","3,241.96","3,363.22","3,131.15","-","2.65%"
"Mar 18, 2020","3,241.96","3,450.54","3,450.54","3,123.90","-","-6.04%"
"Mar 17, 2020","3,450.54","3,642.47","3,765.39","3,410.25","-","-5.27%"
"Mar 16, 2020","3,642.47","3,899.59","3,899.59","3,385.70","-","-6.59%"
"Mar 13, 2020","3,899.59","3,780.48","4,040.30","3,776.85","-","3.15%"
