"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","2,349.69","2,476.52","2,505.14","2,349.69","-","-5.12%"
"Apr 29, 2020","2,476.52","2,369.35","2,479.48","2,358.80","-","4.52%"
"Apr 28, 2020","2,369.35","2,293.34","2,370.46","2,265.95","-","3.31%"
"Apr 27, 2020","2,293.34","2,224.14","2,293.34","2,224.14","-","3.11%"
"Apr 24, 2020","2,224.14","2,273.93","2,273.93","2,224.14","-","-2.19%"
"Apr 23, 2020","2,273.93","2,237.72","2,276.30","2,220.55","-","1.62%"
"Apr 22, 2020","2,237.72","2,202.77","2,253.44","2,202.77","-","1.59%"
"Apr 21, 2020","2,202.77","2,301.13","2,301.13","2,202.77","-","-4.27%"
"Apr 20, 2020","2,301.13","2,295.45","2,313.19","2,258.42","-","0.25%"
"Apr 17, 2020","2,295.45","2,235.19","2,315.49","2,235.19","-","2.70%"
"Apr 16, 2020","2,235.19","2,247.80","2,291.09","2,211.90","-","-0.56%"
"Apr 15, 2020","2,247.80","2,378.05","2,378.05","2,244.91","-","-5.48%"
"Apr 14, 2020","2,378.05","2,431.21","2,435.40","2,370.94","-","-2.19%"
"Apr 09, 2020","2,431.21","2,356.47","2,431.21","2,353.51","-","3.17%"
"Apr 08, 2020","2,356.47","2,351.51","2,356.47","2,294.71","-","0.21%"
"Apr 07, 2020","2,351.51","2,280.47","2,395.27","2,280.47","-","3.12%"
"Apr 06, 2020","2,280.47","2,165.80","2,289.26","2,165.80","-","5.29%"
"Apr 03, 2020","2,165.80","2,185.13","2,188.69","2,149.01","-","-0.88%"
"Apr 02, 2020","2,185.13","2,238.65","2,250.57","2,139.11","-","-2.39%"
"Apr 01, 2020","2,238.65","2,480.67","2,480.67","2,233.12","-","-9.76%"
"Mar 31, 2020","2,480.67","2,532.29","2,551.73","2,461.22","-","-2.04%"
"Mar 30, 2020","2,532.29","2,572.38","2,572.96","2,493.93","-","-1.56%"
"Mar 27, 2020","2,572.38","2,762.62","2,762.62","2,550.83","-","-6.89%"
"Mar 26, 2020","2,762.62","2,782.22","2,782.22","2,654.28","-","-0.70%"
"Mar 25, 2020","2,782.22","2,708.91","2,840.01","2,671.51","-","2.71%"
"Mar 24, 2020","2,708.91","2,535.13","2,708.91","2,534.70","-","6.85%"
"Mar 23, 2020","2,535.13","2,614.67","2,671.55","2,487.03","-","-3.04%"
"Mar 20, 2020","2,614.67","2,607.96","2,705.48","2,568.65","-","0.26%"
"Mar 19, 2020","2,607.96","2,599.80","2,692.61","2,544.04","-","0.31%"
"Mar 18, 2020","2,599.80","2,656.50","2,656.50","2,529.98","-","-2.13%"
"Mar 17, 2020","2,656.50","2,546.61","2,658.54","2,476.31","-","4.32%"
"Mar 16, 2020","2,546.61","2,628.07","2,628.07","2,383.40","-","-3.10%"
"Mar 13, 2020","2,628.07","2,519.31","2,751.77","2,519.31","-","4.32%"
"Mar 12, 2020","2,519.31","2,815.58","2,815.58","2,503.22","-","-10.52%"
"Mar 11, 2020","2,815.58","2,794.18","2,879.78","2,781.37","-","0.77%"
"Mar 10, 2020","2,794.18","2,745.07","2,906.43","2,745.07","-","1.79%"
"Mar 09, 2020","2,745.07","2,959.10","2,959.10","2,717.99","-","-7.23%"
"Mar 06, 2020","2,959.10","3,037.65","3,037.65","2,935.29","-","-2.59%"
"Mar 05, 2020","3,037.65","3,103.00","3,119.46","3,021.27","-","-2.11%"
"Mar 04, 2020","3,103.00","3,095.21","3,139.04","3,069.37","-","0.25%"
"Mar 03, 2020","3,095.21","3,156.59","3,212.39","3,084.59","-","-1.94%"
"Mar 02, 2020","3,156.59","3,203.60","3,256.37","3,100.02","-","-1.47%"
"Feb 28, 2020","3,203.60","3,248.00","3,248.00","3,129.61","-","-1.37%"
"Feb 27, 2020","3,248.00","3,403.76","3,403.76","3,213.93","-","-4.58%"
"Feb 26, 2020","3,403.76","3,353.01","3,410.53","3,343.02","-","1.51%"
"Feb 25, 2020","3,353.01","3,427.81","3,460.89","3,343.83","-","-2.18%"
"Feb 24, 2020","3,427.81","3,535.35","3,535.35","3,399.43","-","-3.04%"
"Feb 21, 2020","3,535.35","3,546.61","3,549.68","3,515.48","-","-0.32%"
"Feb 20, 2020","3,546.61","3,521.94","3,574.35","3,521.94","-","0.70%"
"Feb 19, 2020","3,521.94","3,497.16","3,565.92","3,497.16","-","0.71%"
"Feb 18, 2020","3,497.16","3,650.54","3,650.54","3,494.44","-","-4.20%"
"Feb 17, 2020","3,650.54","3,626.01","3,666.61","3,626.01","-","0.68%"
"Feb 14, 2020","3,626.01","3,673.56","3,675.14","3,626.01","-","-1.29%"
"Feb 13, 2020","3,673.56","3,694.94","3,694.94","3,622.55","-","-0.58%"
"Feb 12, 2020","3,694.94","3,666.07","3,698.77","3,664.01","-","0.79%"
"Feb 11, 2020","3,666.07","3,611.50","3,673.92","3,611.50","-","1.51%"
