"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","21,499.55","21,674.86","21,886.80","21,374.36","-","-0.81%"
"Apr 29, 2020","21,674.86","21,626.48","21,739.86","21,385.94","-","0.22%"
"Apr 28, 2020","21,626.48","21,311.33","21,692.54","21,113.99","-","1.48%"
"Apr 27, 2020","21,311.33","20,784.32","21,315.09","20,784.32","-","2.54%"
"Apr 24, 2020","20,784.32","20,996.87","20,996.87","20,588.47","-","-1.01%"
"Apr 23, 2020","20,996.87","20,781.96","20,996.87","20,539.83","-","1.03%"
"Apr 22, 2020","20,781.96","20,187.86","20,799.41","20,183.91","-","2.94%"
"Apr 21, 2020","20,187.86","21,103.27","21,112.58","20,187.86","-","-4.34%"
"Apr 20, 2020","21,103.27","21,219.83","21,226.79","20,824.41","-","-0.55%"
"Apr 17, 2020","21,219.83","20,659.95","21,629.65","20,659.95","-","2.71%"
"Apr 16, 2020","20,659.95","20,485.60","20,791.35","20,394.02","-","0.85%"
"Apr 15, 2020","20,485.60","20,582.49","20,929.44","20,313.49","-","-0.47%"
"Apr 14, 2020","20,582.49","20,681.31","20,738.81","20,261.51","-","-0.48%"
"Apr 09, 2020","20,681.31","19,820.91","20,681.31","19,814.84","-","4.34%"
"Apr 08, 2020","19,820.91","20,159.50","20,249.90","19,599.09","-","-1.68%"
"Apr 07, 2020","20,159.50","19,960.89","20,513.77","19,843.63","-","0.99%"
"Apr 06, 2020","19,960.89","19,144.92","19,960.89","19,144.92","-","4.26%"
"Apr 03, 2020","19,144.92","19,250.22","19,283.98","18,918.92","-","-0.55%"
"Apr 02, 2020","19,250.22","19,210.82","19,535.53","19,047.55","-","0.21%"
"Apr 01, 2020","19,210.82","20,154.60","20,154.60","19,006.11","-","-4.68%"
"Mar 31, 2020","20,154.60","19,966.09","20,217.18","19,456.02","-","0.94%"
"Mar 30, 2020","19,966.09","19,523.98","20,075.01","18,948.52","-","2.26%"
"Mar 27, 2020","19,523.98","20,812.24","20,812.24","19,234.56","-","-6.19%"
"Mar 26, 2020","20,812.24","19,577.40","20,812.24","18,921.86","-","6.31%"
"Mar 25, 2020","19,577.40","18,746.07","19,720.56","18,320.76","-","4.43%"
"Mar 24, 2020","18,746.07","17,339.03","18,746.07","17,141.97","-","8.11%"
"Mar 23, 2020","17,339.03","18,904.41","18,904.41","17,009.64","-","-8.28%"
"Mar 20, 2020","18,904.41","18,631.72","19,760.87","18,453.91","-","1.46%"
"Mar 19, 2020","18,631.72","17,198.41","18,694.12","17,093.31","-","8.33%"
"Mar 18, 2020","17,198.41","18,210.85","18,210.85","16,683.14","-","-5.56%"
"Mar 17, 2020","18,210.85","18,415.20","19,120.49","17,242.84","-","-1.11%"
"Mar 16, 2020","18,415.20","19,270.47","19,270.47","17,553.49","-","-4.44%"
"Mar 13, 2020","19,270.47","18,703.58","20,265.36","18,703.58","-","3.03%"
"Mar 12, 2020","18,703.58","20,193.67","20,193.67","18,371.41","-","-7.38%"
"Mar 11, 2020","20,193.67","20,687.84","21,044.39","20,175.87","-","-2.39%"
"Mar 10, 2020","20,687.84","20,852.60","21,298.22","20,540.76","-","-0.79%"
"Mar 09, 2020","20,852.60","21,926.21","21,926.21","20,540.11","-","-4.90%"
"Mar 06, 2020","21,926.21","22,501.08","22,501.08","21,628.66","-","-2.55%"
"Mar 05, 2020","22,501.08","22,715.61","22,834.08","22,186.29","-","-0.94%"
"Mar 04, 2020","22,715.61","22,596.35","23,020.36","22,492.68","-","0.53%"
"Mar 03, 2020","22,596.35","22,477.96","22,971.37","22,477.96","-","0.53%"
"Mar 02, 2020","22,477.96","22,115.61","22,942.68","22,009.65","-","1.64%"
