"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","10,488.66","10,713.37","10,796.90","10,472.24","-","-2.10%"
"Apr 29, 2020","10,713.37","10,567.51","10,846.30","10,546.09","-","1.38%"
"Apr 28, 2020","10,567.51","10,355.07","10,597.74","10,351.25","-","2.05%"
"Apr 27, 2020","10,355.07","10,162.66","10,369.85","10,162.66","-","1.89%"
"Apr 24, 2020","10,162.66","10,338.65","10,338.65","10,097.95","-","-1.70%"
"Apr 23, 2020","10,338.65","10,141.93","10,364.52","10,114.82","-","1.94%"
"Apr 22, 2020","10,141.93","9,929.37","10,193.50","9,897.85","-","2.14%"
"Apr 21, 2020","9,929.37","10,159.07","10,192.09","9,929.37","-","-2.26%"
"Apr 20, 2020","10,159.07","10,140.92","10,280.94","9,961.22","-","0.18%"
"Apr 17, 2020","10,140.92","9,839.50","10,236.41","9,839.50","-","3.06%"
"Apr 16, 2020","9,839.50","9,694.75","9,901.92","9,647.31","-","1.49%"
"Apr 15, 2020","9,694.75","10,314.15","10,374.68","9,686.94","-","-6.01%"
"Apr 14, 2020","10,314.15","9,974.71","10,328.24","9,936.80","-","3.40%"
"Apr 09, 2020","9,974.71","9,576.03","9,974.71","9,535.48","-","4.16%"
"Apr 08, 2020","9,576.03","9,450.61","9,576.03","9,313.10","-","1.33%"
"Apr 07, 2020","9,450.61","9,233.67","9,533.98","9,233.67","-","2.35%"
"Apr 06, 2020","9,233.67","8,870.43","9,258.48","8,870.43","-","4.09%"
"Apr 03, 2020","8,870.43","8,926.86","8,943.46","8,808.60","-","-0.63%"
"Apr 02, 2020","8,926.86","9,030.32","9,100.30","8,831.63","-","-1.15%"
"Apr 01, 2020","9,030.32","9,340.75","9,340.75","8,814.16","-","-3.32%"
"Mar 31, 2020","9,340.75","9,282.63","9,482.67","9,173.50","-","0.63%"
"Mar 30, 2020","9,282.63","9,172.70","9,346.75","9,104.89","-","1.20%"
"Mar 27, 2020","9,172.70","9,590.10","9,590.10","8,982.60","-","-4.35%"
"Mar 26, 2020","9,590.10","9,499.36","9,590.10","9,215.96","-","0.96%"
"Mar 25, 2020","9,499.36","9,341.39","9,507.30","9,060.80","-","1.69%"
"Mar 24, 2020","9,341.39","9,130.46","9,418.33","8,940.85","-","2.31%"
"Mar 23, 2020","9,130.46","9,544.32","9,544.32","8,783.73","-","-4.34%"
"Mar 20, 2020","9,544.32","9,860.69","10,302.36","9,434.71","-","-3.21%"
"Mar 19, 2020","9,860.69","9,622.71","10,201.70","9,392.63","-","2.47%"
"Mar 18, 2020","9,622.71","9,704.14","9,706.86","9,069.31","-","-0.84%"
"Mar 17, 2020","9,704.14","9,356.69","9,756.41","9,116.00","-","3.71%"
"Mar 16, 2020","9,356.69","9,533.17","9,533.17","8,750.06","-","-1.85%"
"Mar 13, 2020","9,533.17","9,378.45","10,044.96","9,378.45","-","1.65%"
"Mar 12, 2020","9,378.45","10,272.91","10,272.91","9,311.77","-","-8.71%"
"Mar 11, 2020","10,272.91","10,388.33","10,577.91","10,203.94","-","-1.11%"
"Mar 10, 2020","10,388.33","10,232.36","10,780.12","10,232.36","-","1.52%"
"Mar 09, 2020","10,232.36","10,786.66","10,786.66","10,024.23","-","-5.14%"
"Mar 06, 2020","10,786.66","11,143.44","11,143.44","10,659.48","-","-3.20%"
"Mar 05, 2020","11,143.44","11,333.48","11,452.50","11,099.28","-","-1.68%"
"Mar 04, 2020","11,333.48","11,340.73","11,603.94","11,318.83","-","-0.06%"
"Mar 03, 2020","11,340.73","11,203.99","11,564.71","11,203.99","-","1.22%"
"Mar 02, 2020","11,203.99","11,169.61","11,466.72","10,988.58","-","0.31%"
"Feb 28, 2020","11,169.61","11,263.23","11,263.23","10,745.31","-","-0.83%"
"Feb 27, 2020","11,263.23","11,768.27","11,768.27","11,174.44","-","-4.29%"
"Feb 26, 2020","11,768.27","11,789.18","11,800.60","11,506.60","-","-0.18%"
